date,증여상속
2020-03-20,10.39426
2020-03-21,5.01792
2020-03-22,9.67741
2020-03-23,13.62007
2020-03-24,14.69534
2020-03-25,9.67741
2020-03-26,16.12903
2020-03-27,12.90322
2020-03-28,6.45161
2020-03-29,11.11111
2020-03-30,8.24372
2020-03-31,16.12903
2020-04-01,11.11111
2020-04-02,16.12903
2020-04-03,12.18637
2020-04-04,6.09318
2020-04-05,7.8853
2020-04-06,12.5448
2020-04-07,13.62007
2020-04-08,13.62007
2020-04-09,14.69534
2020-04-10,12.18637
2020-04-11,7.16845
2020-04-12,12.18637
2020-04-13,16.84587
2020-04-14,12.90322
2020-04-15,7.8853
2020-04-16,14.33691
2020-04-17,11.82795
2020-04-18,10.39426
2020-04-19,10.39426
2020-04-20,17.56272
2020-04-21,25.0896
2020-04-22,16.48745
2020-04-23,15.41218
2020-04-24,12.18637
2020-04-25,12.5448
2020-04-26,16.12903
2020-04-27,18.99641
2020-04-28,20.78853
2020-04-29,20.07168
2020-04-30,17.56272
2020-05-01,15.41218
2020-05-02,13.62007
2020-05-03,12.90322
2020-05-04,20.78853
2020-05-05,13.26164
2020-05-06,24.37275
2020-05-07,26.88172
2020-05-08,19.71326
2020-05-09,16.48745
2020-05-10,12.90322
2020-05-11,16.12903
2020-05-12,10.39426
2020-05-13,13.97849
2020-05-14,10.75268
2020-05-15,11.46953
2020-05-16,5.73476
2020-05-17,15.05376
2020-05-18,18.27956
2020-05-19,18.99641
2020-05-20,18.63799
2020-05-21,12.90322
2020-05-22,13.97849
2020-05-23,8.96057
2020-05-24,6.45161
2020-05-25,19.35483
2020-05-26,15.41218
2020-05-27,13.26164
2020-05-28,12.5448
2020-05-29,9.67741
2020-05-30,11.46953
2020-05-31,9.67741
2020-06-01,14.69534
2020-06-02,13.97849
2020-06-03,13.97849
2020-06-04,15.05376
2020-06-05,10.03584
2020-06-06,11.11111
2020-06-07,7.52688
2020-06-08,17.92114
2020-06-09,17.2043
2020-06-10,17.2043
2020-06-11,14.33691
2020-06-12,14.33691
2020-06-13,13.97849
2020-06-14,10.03584
2020-06-15,21.86379
2020-06-16,18.27956
2020-06-17,17.92114
2020-06-18,18.27956
2020-06-19,18.99641
2020-06-20,4.30107
2020-06-21,11.46953
2020-06-22,21.50537
2020-06-23,26.16487
2020-06-24,18.63799
2020-06-25,15.41218
2020-06-26,10.03584
2020-06-27,10.03584
2020-06-28,13.97849
2020-06-29,20.07168
2020-06-30,19.71326
2020-07-01,17.92114
2020-07-02,11.11111
2020-07-03,15.7706
2020-07-04,17.56272
2020-07-05,9.31899
2020-07-06,20.78853
2020-07-07,19.71326
2020-07-08,21.14695
2020-07-09,22.93906
2020-07-10,23.29749
2020-07-11,30.10752
2020-07-12,26.52329
2020-07-13,42.65232
2020-07-14,37.27598
2020-07-15,22.93906
2020-07-16,13.97849
2020-07-17,21.50537
2020-07-18,15.41218
2020-07-19,12.5448
2020-07-20,24.01433
2020-07-21,19.35483
2020-07-22,22.93906
2020-07-23,25.44802
2020-07-24,20.07168
2020-07-25,14.33691
2020-07-26,12.90322
2020-07-27,24.37275
2020-07-28,20.78853
2020-07-29,25.0896
2020-07-30,24.73118
2020-07-31,15.05376
2020-08-01,9.67741
2020-08-02,13.62007
2020-08-03,21.14695
2020-08-04,18.63799
2020-08-05,18.99641
2020-08-06,25.80645
2020-08-07,16.84587
2020-08-08,14.33691
2020-08-09,11.11111
2020-08-10,18.99641
2020-08-11,15.05376
2020-08-12,16.84587
2020-08-13,15.41218
2020-08-14,10.39426
2020-08-15,8.96057
2020-08-16,13.97849
2020-08-17,13.26164
2020-08-18,13.62007
2020-08-19,17.2043
2020-08-20,18.27956
