date,지분경매
2020-03-20,20.10869
2020-03-21,15.21739
2020-03-22,8.15217
2020-03-23,13.58695
2020-03-24,16.30434
2020-03-25,11.95652
2020-03-26,16.30434
2020-03-27,14.13043
2020-03-28,19.56521
2020-03-29,14.67391
2020-03-30,11.41304
2020-03-31,23.36956
2020-04-01,22.2826
2020-04-02,16.84782
2020-04-03,17.3913
2020-04-04,17.3913
2020-04-05,20.10869
2020-04-06,23.91304
2020-04-07,16.84782
2020-04-08,14.67391
2020-04-09,16.30434
2020-04-10,16.30434
2020-04-11,9.23913
2020-04-12,11.41304
2020-04-13,27.71739
2020-04-14,22.82608
2020-04-15,10.32608
2020-04-16,17.93478
2020-04-17,21.73913
2020-04-18,8.15217
2020-04-19,35.86956
2020-04-20,17.3913
2020-04-21,22.82608
2020-04-22,24.45652
2020-04-23,10.86956
2020-04-24,12.5
2020-04-25,28.80434
2020-04-26,12.5
2020-04-27,19.02173
2020-04-28,29.34782
2020-04-29,19.56521
2020-04-30,14.67391
2020-05-01,26.08695
2020-05-02,14.67391
2020-05-03,22.82608
2020-05-04,21.73913
2020-05-05,25.0
2020-05-06,17.3913
2020-05-07,24.45652
2020-05-08,21.19565
2020-05-09,15.76086
2020-05-10,26.63043
2020-05-11,25.54347
2020-05-12,27.17391
2020-05-13,18.47826
2020-05-14,20.10869
2020-05-15,19.56521
2020-05-16,22.2826
2020-05-17,25.54347
2020-05-18,32.60869
2020-05-19,19.02173
2020-05-20,26.63043
2020-05-21,21.19565
2020-05-22,23.91304
2020-05-23,10.86956
2020-05-24,17.3913
2020-05-25,35.86956
2020-05-26,15.76086
2020-05-27,25.0
2020-05-28,21.19565
2020-05-29,21.19565
2020-05-30,18.47826
2020-05-31,11.41304
2020-06-01,25.0
2020-06-02,29.34782
2020-06-03,22.2826
2020-06-04,21.19565
2020-06-05,23.36956
2020-06-06,14.13043
2020-06-07,14.67391
2020-06-08,25.0
2020-06-09,26.63043
2020-06-10,19.56521
2020-06-11,19.56521
2020-06-12,14.13043
2020-06-13,15.21739
2020-06-14,17.93478
2020-06-15,16.30434
2020-06-16,26.63043
2020-06-17,18.47826
2020-06-18,27.17391
2020-06-19,27.71739
2020-06-20,16.30434
2020-06-21,21.19565
2020-06-22,28.80434
2020-06-23,13.04347
2020-06-24,28.26086
2020-06-25,24.45652
2020-06-26,25.54347
2020-06-27,14.13043
2020-06-28,14.67391
2020-06-29,24.45652
2020-06-30,27.17391
2020-07-01,19.02173
2020-07-02,25.0
2020-07-03,23.36956
2020-07-04,12.5
2020-07-05,21.73913
2020-07-06,23.36956
2020-07-07,32.60869
2020-07-08,23.91304
2020-07-09,22.82608
2020-07-10,19.56521
2020-07-11,13.58695
2020-07-12,9.7826
2020-07-13,26.08695
2020-07-14,22.82608
2020-07-15,21.19565
2020-07-16,16.30434
2020-07-17,19.56521
2020-07-18,16.84782
2020-07-19,23.36956
2020-07-20,21.73913
2020-07-21,21.19565
2020-07-22,16.30434
2020-07-23,21.73913
2020-07-24,16.84782
2020-07-25,14.67391
2020-07-26,18.47826
2020-07-27,14.13043
2020-07-28,27.71739
2020-07-29,16.30434
2020-07-30,19.56521
2020-07-31,9.7826
2020-08-01,10.32608
2020-08-02,11.41304
2020-08-03,16.84782
2020-08-04,19.56521
2020-08-05,14.67391
2020-08-06,19.56521
2020-08-07,12.5
2020-08-08,7.06521
2020-08-09,14.13043
2020-08-10,19.56521
2020-08-11,19.56521
2020-08-12,17.93478
2020-08-13,16.84782
2020-08-14,19.56521
2020-08-15,9.7826
2020-08-16,15.21739
2020-08-17,19.02173
2020-08-18,10.86956
2020-08-19,15.76086
2020-08-20,13.58695
2020-08-21,10.86956
2020-08-22,9.23913
2020-08-23,14.67391
2020-08-24,13.04347
2020-08-25,13.04347
2020-08-26,15.76086
2020-08-27,13.04347
2020-08-28,17.93478
2020-08-29,13.58695
2020-08-30,11.41304
2020-08-31,17.3913
2020-09-01,19.02173
2020-09-02,17.3913
2020-09-03,15.76086
2020-09-04,16.30434
2020-09-05,17.3913
2020-09-06,13.04347
2020-09-07,26.63043
2020-09-08,19.56521
2020-09-09,22.82608
2020-09-10,11.95652
2020-09-11,13.58695
2020-09-12,10.86956
2020-09-13,3.26086
2020-09-14,20.65217
2020-09-15,15.76086
2020-09-16,11.95652
2020-09-17,26.63043
2020-09-18,13.58695
2020-09-19,8.69565
2020-09-20,15.21739
2020-09-21,7.60869
2020-09-22,11.95652
2020-09-23,16.30434
2020-09-24,19.02173
2020-09-25,11.95652
2020-09-26,4.34782
2020-09-27,12.5
2020-09-28,14.67391
2020-09-29,7.06521
2020-09-30,5.43478
2020-10-01,13.58695
2020-10-02,10.86956
2020-10-03,9.7826
2020-10-04,11.95652
2020-10-05,25.54347
2020-10-06,19.56521
2020-10-07,17.93478
2020-10-08,20.10869
2020-10-09,10.32608
2020-10-10,9.23913
2020-10-11,16.30434
2020-10-12,14.67391
2020-10-13,21.73913
2020-10-14,19.56521
2020-10-15,19.56521
2020-10-16,4.34782
2020-10-17,7.60869
2020-10-18,7.60869
2020-10-19,11.41304
2020-10-20,17.3913
2020-10-21,19.56521
2020-10-22,13.04347
2020-10-23,15.76086
2020-10-24,11.41304
2020-10-25,16.30434
2020-10-26,15.21739
2020-10-27,19.56521
2020-10-28,21.19565
2020-10-29,25.54347
2020-10-30,19.56521
2020-10-31,10.32608
2020-11-01,22.2826
2020-11-02,26.08695
2020-11-03,13.04347
2020-11-04,17.93478
2020-11-05,14.67391
2020-11-06,14.13043
2020-11-07,8.15217
2020-11-08,10.86956
2020-11-09,15.76086
2020-11-10,16.30434
2020-11-11,19.02173
2020-11-12,25.54347
2020-11-13,14.67391
2020-11-14,24.45652
2020-11-15,18.47826
2020-11-16,19.02173
2020-11-17,25.0
2020-11-18,22.2826
2020-11-19,17.3913
2020-11-20,14.67391
2020-11-21,14.13043
2020-11-22,14.67391
2020-11-23,17.3913
2020-11-24,17.3913
2020-11-25,19.56521
2020-11-26,14.13043
2020-11-27,15.76086
2020-11-28,10.32608
2020-11-29,14.13043
2020-11-30,15.21739
2020-12-01,23.91304
2020-12-02,21.73913
2020-12-03,21.19565
2020-12-04,17.3913
2020-12-05,9.23913
2020-12-06,11.41304
2020-12-07,15.76086
2020-12-08,14.67391
2020-12-09,22.2826
2020-12-10,19.02173
2020-12-11,21.73913
2020-12-12,14.67391
2020-12-13,16.84782
2020-12-14,17.3913
2020-12-15,22.2826
2020-12-16,20.10869
2020-12-17,20.65217
2020-12-18,17.3913
2020-12-19,15.76086
2020-12-20,7.60869
2020-12-21,13.04347
2020-12-22,16.30434
2020-12-23,18.47826
2020-12-24,17.3913
2020-12-25,10.32608
2020-12-26,23.91304
2020-12-27,21.73913
2020-12-28,22.82608
2020-12-29,26.63043
2020-12-30,17.93478
2020-12-31,11.41304
2021-01-01,13.58695
2021-01-02,17.3913
2021-01-03,19.02173
2021-01-04,16.30434
2021-01-05,29.34782
2021-01-06,20.10869
2021-01-07,20.10869
2021-01-08,15.76086
2021-01-09,19.02173
2021-01-10,14.67391
2021-01-11,21.19565
2021-01-12,19.02173
2021-01-13,23.36956
2021-01-14,26.63043
2021-01-15,24.45652
2021-01-16,19.02173
2021-01-17,18.47826
2021-01-18,23.91304
2021-01-19,23.36956
2021-01-20,24.45652
2021-01-21,16.30434
2021-01-22,27.71739
2021-01-23,18.47826
2021-01-24,16.30434
2021-01-25,20.65217
2021-01-26,19.56521
2021-01-27,22.2826
2021-01-28,15.21739
2021-01-29,18.47826
2021-01-30,16.30434
2021-01-31,22.82608
2021-02-01,13.58695
2021-02-02,17.93478
2021-02-03,24.45652
2021-02-04,16.30434
2021-02-05,13.04347
2021-02-06,14.67391
2021-02-07,17.93478
2021-02-08,17.93478
2021-02-09,11.41304
2021-02-10,9.23913
2021-02-11,11.95652
2021-02-12,9.23913
2021-02-13,9.23913
2021-02-14,15.21739
2021-02-15,20.10869
2021-02-16,25.54347
2021-02-17,22.2826
2021-02-18,21.19565
2021-02-19,15.76086
2021-02-20,15.76086
2021-02-21,19.02173
2021-02-22,25.0
2021-02-23,21.73913
2021-02-24,21.73913
2021-02-25,19.02173
2021-02-26,19.56521
2021-02-27,27.17391
2021-02-28,21.73913
2021-03-01,25.0
2021-03-02,26.63043
2021-03-03,29.34782
2021-03-04,30.97826
2021-03-05,18.47826
2021-03-06,13.58695
2021-03-07,11.41304
2021-03-08,23.36956
2021-03-09,22.82608
2021-03-10,17.93478
2021-03-11,22.82608
2021-03-12,20.65217
2021-03-13,11.41304
2021-03-14,11.95652
2021-03-15,21.73913
2021-03-16,23.36956
2021-03-17,32.60869
2021-03-18,38.04347
2021-03-19,38.04347
2021-03-20,27.71739
2021-03-21,25.0
2021-03-22,31.52173
2021-03-23,23.91304
2021-03-24,27.17391
2021-03-25,19.56521
2021-03-26,14.13043
2021-03-27,15.21739
2021-03-28,16.84782
2021-03-29,20.10869
2021-03-30,20.10869
2021-03-31,20.65217
2021-04-01,22.82608
2021-04-02,16.84782
2021-04-03,19.02173
2021-04-04,15.76086
2021-04-05,26.63043
2021-04-06,26.63043
2021-04-07,21.19565
2021-04-08,14.13043
2021-04-09,24.45652
2021-04-10,14.13043
2021-04-11,15.21739
2021-04-12,24.45652
2021-04-13,18.47826
2021-04-14,20.10869
2021-04-15,16.84782
2021-04-16,23.36956
2021-04-17,13.58695
2021-04-18,11.95652
2021-04-19,29.34782
2021-04-20,17.93478
2021-04-21,15.76086
2021-04-22,20.10869
2021-04-23,19.56521
2021-04-24,7.06521
2021-04-25,15.76086
2021-04-26,11.41304
2021-04-27,25.54347
2021-04-28,17.93478
2021-04-29,25.54347
2021-04-30,21.19565
2021-05-01,25.0
2021-05-02,14.13043
2021-05-03,16.84782
2021-05-04,14.13043
2021-05-05,13.04347
2021-05-06,14.67391
2021-05-07,17.3913
2021-05-08,9.23913
2021-05-09,15.76086
2021-05-10,16.30434
2021-05-11,22.2826
2021-05-12,19.02173
2021-05-13,12.5
2021-05-14,18.47826
2021-05-15,7.06521
2021-05-16,13.04347
2021-05-17,23.36956
2021-05-18,19.02173
2021-05-19,8.15217
2021-05-20,14.13043
2021-05-21,20.10869
2021-05-22,9.23913
2021-05-23,17.93478
2021-05-24,24.45652
2021-05-25,17.3913
2021-05-26,16.30434
2021-05-27,21.73913
2021-05-28,19.02173
2021-05-29,14.67391
2021-05-30,3.80434
2021-05-31,22.82608
2021-06-01,21.19565
2021-06-02,23.36956
2021-06-03,22.82608
2021-06-04,15.21739
2021-06-05,16.84782
2021-06-06,11.41304
2021-06-07,19.56521
2021-06-08,29.8913
2021-06-09,19.56521
2021-06-10,19.56521
2021-06-11,9.7826
2021-06-12,15.21739
2021-06-13,16.84782
2021-06-14,16.84782
2021-06-15,14.67391
2021-06-16,17.3913
2021-06-17,19.02173
2021-06-18,20.10869
2021-06-19,9.7826
2021-06-20,21.19565
2021-06-21,17.93478
2021-06-22,22.82608
2021-06-23,21.19565
2021-06-24,17.93478
2021-06-25,17.3913
2021-06-26,7.60869
2021-06-27,10.86956
2021-06-28,11.41304
2021-06-29,20.65217
2021-06-30,19.02173
2021-07-01,20.65217
2021-07-02,16.30434
2021-07-03,13.04347
2021-07-04,11.41304
2021-07-05,14.13043
2021-07-06,14.13043
2021-07-07,16.84782
2021-07-08,20.65217
2021-07-09,11.95652
2021-07-10,11.41304
2021-07-11,17.93478
2021-07-12,26.63043
2021-07-13,21.73913
2021-07-14,16.30434
2021-07-15,15.76086
2021-07-16,23.36956
2021-07-17,5.43478
2021-07-18,13.58695
2021-07-19,11.95652
2021-07-20,15.76086
2021-07-21,8.15217
2021-07-22,11.95652
2021-07-23,14.13043
2021-07-24,10.32608
2021-07-25,8.15217
2021-07-26,15.76086
2021-07-27,16.84782
2021-07-28,18.47826
2021-07-29,14.13043
2021-07-30,14.67391
2021-07-31,12.5
2021-08-01,11.41304
2021-08-02,11.41304
2021-08-03,17.93478
2021-08-04,19.02173
2021-08-05,21.19565
2021-08-06,13.58695
2021-08-07,11.41304
2021-08-08,12.5
2021-08-09,14.13043
2021-08-10,22.2826
2021-08-11,19.56521
2021-08-12,17.3913
2021-08-13,26.08695
2021-08-14,9.7826
2021-08-15,9.23913
2021-08-16,11.41304
2021-08-17,17.93478
2021-08-18,18.47826
2021-08-19,19.02173
2021-08-20,15.21739
2021-08-21,16.30434
2021-08-22,10.32608
2021-08-23,16.30434
2021-08-24,19.02173
2021-08-25,17.93478
2021-08-26,17.93478
2021-08-27,12.5
2021-08-28,13.58695
2021-08-29,19.56521
2021-08-30,17.93478
2021-08-31,33.69565
2021-09-01,14.13043
2021-09-02,17.3913
2021-09-03,20.65217
2021-09-04,14.67391
2021-09-05,12.5
2021-09-06,17.3913
2021-09-07,20.10869
2021-09-08,14.67391
2021-09-09,16.84782
