date,직장인투잡
2020-03-20,58.86178
2020-03-21,42.60162
2020-03-22,62.92682
2020-03-23,81.62601
2020-03-24,71.86991
2020-03-25,72.19512
2020-03-26,66.01626
2020-03-27,51.05691
2020-03-28,41.30081
2020-03-29,52.03252
2020-03-30,79.18699
2020-03-31,65.85365
2020-04-01,65.52845
2020-04-02,64.22764
2020-04-03,53.65853
2020-04-04,34.79674
2020-04-05,53.98373
2020-04-06,73.49593
2020-04-07,72.68292
2020-04-08,66.82926
2020-04-09,52.19512
2020-04-10,46.66666
2020-04-11,32.35772
2020-04-12,50.5691
2020-04-13,77.72357
2020-04-14,56.74796
2020-04-15,47.64227
2020-04-16,63.25203
2020-04-17,50.7317
2020-04-18,34.14634
2020-04-19,55.28455
2020-04-20,72.35772
2020-04-21,64.55284
2020-04-22,63.73983
2020-04-23,57.39837
2020-04-24,57.23577
2020-04-25,33.33333
2020-04-26,52.52032
2020-04-27,66.01626
2020-04-28,66.34146
2020-04-29,55.12195
2020-04-30,37.23577
2020-05-01,38.37398
2020-05-02,34.79674
2020-05-03,49.10569
2020-05-04,57.23577
2020-05-05,64.06504
2020-05-06,75.12195
2020-05-07,62.92682
2020-05-08,52.68292
2020-05-09,36.42276
2020-05-10,43.73983
2020-05-11,67.96747
2020-05-12,67.31707
2020-05-13,60.4878
2020-05-14,58.21138
2020-05-15,49.91869
2020-05-16,35.12195
2020-05-17,47.96747
2020-05-18,73.98373
2020-05-19,71.05691
2020-05-20,58.37398
2020-05-21,55.44715
2020-05-22,46.01626
2020-05-23,31.38211
2020-05-24,51.70731
2020-05-25,78.86178
2020-05-26,71.05691
2020-05-27,60.4878
2020-05-28,63.90243
2020-05-29,50.8943
2020-05-30,27.80487
2020-05-31,50.2439
2020-06-01,66.99186
2020-06-02,64.39024
2020-06-03,59.51219
2020-06-04,59.34959
2020-06-05,48.13008
2020-06-06,26.50406
2020-06-07,40.3252
2020-06-08,63.41463
2020-06-09,61.13821
2020-06-10,70.5691
2020-06-11,61.78861
2020-06-12,47.96747
2020-06-13,35.12195
2020-06-14,46.17886
2020-06-15,76.91056
2020-06-16,67.31707
2020-06-17,63.08943
2020-06-18,56.58536
2020-06-19,51.38211
2020-06-20,36.26016
2020-06-21,43.08943
2020-06-22,74.30894
2020-06-23,63.90243
2020-06-24,62.43902
2020-06-25,64.22764
2020-06-26,45.85365
2020-06-27,39.18699
2020-06-28,56.91056
2020-06-29,78.21138
2020-06-30,60.9756
2020-07-01,59.83739
2020-07-02,53.49593
2020-07-03,52.35772
2020-07-04,30.0813
2020-07-05,45.52845
2020-07-06,72.03252
2020-07-07,77.56097
2020-07-08,55.12195
2020-07-09,56.26016
2020-07-10,43.41463
2020-07-11,33.17073
2020-07-12,49.26829
2020-07-13,66.34146
2020-07-14,67.96747
2020-07-15,56.42276
2020-07-16,48.45528
2020-07-17,36.74796
2020-07-18,28.13008
2020-07-19,39.67479
2020-07-20,72.84552
2020-07-21,61.62601
2020-07-22,58.53658
2020-07-23,54.14634
2020-07-24,45.69105
2020-07-25,34.47154
2020-07-26,46.01626
2020-07-27,72.19512
2020-07-28,66.50406
2020-07-29,51.70731
2020-07-30,53.49593
2020-07-31,42.60162
2020-08-01,29.43089
2020-08-02,42.27642
2020-08-03,52.52032
2020-08-04,50.7317
2020-08-05,57.39837
2020-08-06,48.45528
2020-08-07,47.64227
2020-08-08,36.26016
2020-08-09,50.0813
2020-08-10,67.64227
2020-08-11,67.15447
2020-08-12,63.90243
2020-08-13,59.67479
2020-08-14,49.59349
2020-08-15,36.74796
2020-08-16,36.42276
2020-08-17,58.37398
2020-08-18,65.52845
2020-08-19,57.39837
2020-08-20,59.34959
2020-08-21,45.85365
2020-08-22,29.10569
2020-08-23,48.61788
2020-08-24,60.813
2020-08-25,56.74796
