date,진료기록지
2020-03-20,27.5862
2020-03-21,7.47126
2020-03-22,8.04597
2020-03-23,35.63218
2020-03-24,25.86206
2020-03-25,34.48275
2020-03-26,29.31034
2020-03-27,32.75862
2020-03-28,9.1954
2020-03-29,5.17241
2020-03-30,34.48275
2020-03-31,25.28735
2020-04-01,31.60919
2020-04-02,19.54022
2020-04-03,27.5862
2020-04-04,7.47126
2020-04-05,4.02298
2020-04-06,32.1839
2020-04-07,22.41379
2020-04-08,36.20689
2020-04-09,24.71264
2020-04-10,18.3908
2020-04-11,6.89655
2020-04-12,8.62068
2020-04-13,40.22988
2020-04-14,25.86206
2020-04-15,8.62068
2020-04-16,28.73563
2020-04-17,33.90804
2020-04-18,12.06896
2020-04-19,9.1954
2020-04-20,38.50574
2020-04-21,38.50574
2020-04-22,27.01149
2020-04-23,39.08045
2020-04-24,25.28735
2020-04-25,8.04597
2020-04-26,5.17241
2020-04-27,29.88505
2020-04-28,30.45977
2020-04-29,29.88505
2020-04-30,8.62068
2020-05-01,13.21839
2020-05-02,5.17241
2020-05-03,9.77011
2020-05-04,27.5862
2020-05-05,9.77011
2020-05-06,41.37931
2020-05-07,29.88505
2020-05-08,35.05747
2020-05-09,12.06896
2020-05-10,10.34482
2020-05-11,35.05747
2020-05-12,39.65517
2020-05-13,40.22988
2020-05-14,45.40229
2020-05-15,30.45977
2020-05-16,19.54022
2020-05-17,5.17241
2020-05-18,35.05747
2020-05-19,45.97701
2020-05-20,44.82758
2020-05-21,31.60919
2020-05-22,33.33333
2020-05-23,9.77011
2020-05-24,13.21839
2020-05-25,40.80459
2020-05-26,48.27586
2020-05-27,45.40229
2020-05-28,45.40229
2020-05-29,34.48275
2020-05-30,7.47126
2020-05-31,5.74712
2020-06-01,35.63218
2020-06-02,40.22988
2020-06-03,40.80459
2020-06-04,29.31034
2020-06-05,32.75862
2020-06-06,3.44827
2020-06-07,9.1954
2020-06-08,37.35632
2020-06-09,46.55172
2020-06-10,36.20689
2020-06-11,52.29885
2020-06-12,37.35632
2020-06-13,9.1954
2020-06-14,8.62068
2020-06-15,45.40229
2020-06-16,34.48275
2020-06-17,27.5862
2020-06-18,37.35632
2020-06-19,28.16091
2020-06-20,22.41379
2020-06-21,11.49425
2020-06-22,51.72413
2020-06-23,55.74712
2020-06-24,45.40229
2020-06-25,36.20689
2020-06-26,37.35632
2020-06-27,15.51724
2020-06-28,8.62068
2020-06-29,46.55172
2020-06-30,37.35632
2020-07-01,31.03448
2020-07-02,31.60919
2020-07-03,44.82758
2020-07-04,12.64367
2020-07-05,11.49425
2020-07-06,45.40229
2020-07-07,45.40229
2020-07-08,36.7816
2020-07-09,27.5862
2020-07-10,30.45977
2020-07-11,8.62068
2020-07-12,14.36781
2020-07-13,59.77011
2020-07-14,48.27586
2020-07-15,41.95402
2020-07-16,37.93103
2020-07-17,35.63218
2020-07-18,19.54022
2020-07-19,5.74712
2020-07-20,31.03448
2020-07-21,37.93103
2020-07-22,38.50574
2020-07-23,34.48275
2020-07-24,34.48275
2020-07-25,14.36781
2020-07-26,6.32183
2020-07-27,40.80459
2020-07-28,42.52873
2020-07-29,33.33333
2020-07-30,43.10344
2020-07-31,32.1839
2020-08-01,8.62068
2020-08-02,12.06896
2020-08-03,36.7816
2020-08-04,37.93103
2020-08-05,24.71264
2020-08-06,33.33333
2020-08-07,27.01149
2020-08-08,9.77011
2020-08-09,5.74712
2020-08-10,32.1839
2020-08-11,36.20689
2020-08-12,24.71264
2020-08-13,35.05747
2020-08-14,25.28735
2020-08-15,8.04597
2020-08-16,13.21839
2020-08-17,17.81609
2020-08-18,40.22988
2020-08-19,39.08045
2020-08-20,28.73563
2020-08-21,25.86206
2020-08-22,10.91954
2020-08-23,6.32183
2020-08-24,33.90804
2020-08-25,27.01149
2020-08-26,41.95402
2020-08-27,45.40229
2020-08-28,40.80459
2020-08-29,14.36781
2020-08-30,11.49425
2020-08-31,30.45977
2020-09-01,41.95402
2020-09-02,41.37931
2020-09-03,31.60919
2020-09-04,33.33333
2020-09-05,16.66666
2020-09-06,10.34482
2020-09-07,42.52873
2020-09-08,41.37931
2020-09-09,29.88505
2020-09-10,36.20689
2020-09-11,29.31034
2020-09-12,19.54022
2020-09-13,4.02298
2020-09-14,29.88505
2020-09-15,32.75862
2020-09-16,36.7816
2020-09-17,33.33333
2020-09-18,37.93103
2020-09-19,24.71264
2020-09-20,9.77011
2020-09-21,31.60919
2020-09-22,37.93103
2020-09-23,35.63218
2020-09-24,35.05747
2020-09-25,27.5862
2020-09-26,15.51724
2020-09-27,10.91954
2020-09-28,41.95402
2020-09-29,24.71264
2020-09-30,6.89655
2020-10-01,2.87356
2020-10-02,2.87356
2020-10-03,9.77011
2020-10-04,9.1954
2020-10-05,44.25287
2020-10-06,37.35632
2020-10-07,43.10344
2020-10-08,31.03448
2020-10-09,10.34482
2020-10-10,11.49425
2020-10-11,6.32183
2020-10-12,38.50574
2020-10-13,40.80459
2020-10-14,50.57471
2020-10-15,29.88505
2020-10-16,40.22988
2020-10-17,16.09195
2020-10-18,6.32183
2020-10-19,36.7816
2020-10-20,44.82758
2020-10-21,44.82758
2020-10-22,36.7816
2020-10-23,31.03448
2020-10-24,9.1954
2020-10-25,6.89655
2020-10-26,40.80459
2020-10-27,45.40229
2020-10-28,53.44827
2020-10-29,35.63218
2020-10-30,39.65517
2020-10-31,14.36781
2020-11-01,5.17241
2020-11-02,27.01149
2020-11-03,45.40229
2020-11-04,41.37931
2020-11-05,41.95402
2020-11-06,36.7816
2020-11-07,18.3908
2020-11-08,10.91954
2020-11-09,35.63218
2020-11-10,39.08045
2020-11-11,34.48275
2020-11-12,30.45977
2020-11-13,33.90804
2020-11-14,18.96551
2020-11-15,7.47126
2020-11-16,36.20689
2020-11-17,43.10344
2020-11-18,39.65517
2020-11-19,43.67816
2020-11-20,38.50574
2020-11-21,14.94252
2020-11-22,6.89655
2020-11-23,38.50574
2020-11-24,36.20689
2020-11-25,31.03448
2020-11-26,34.48275
2020-11-27,36.7816
2020-11-28,10.34482
2020-11-29,4.02298
2020-11-30,34.48275
2020-12-01,36.7816
2020-12-02,32.75862
2020-12-03,39.08045
2020-12-04,35.63218
2020-12-05,8.04597
2020-12-06,4.5977
2020-12-07,43.67816
2020-12-08,51.14942
2020-12-09,47.70114
2020-12-10,24.13793
