date,집값
2020-03-20,50.21834
2020-03-21,40.91959
2020-03-22,42.48651
2020-03-23,56.89699
2020-03-24,50.60364
2020-03-25,43.61674
2020-03-26,46.10839
2020-03-27,39.35268
2020-03-28,33.36758
2020-03-29,34.83174
2020-03-30,44.95247
2020-03-31,41.61315
2020-04-01,40.81685
2020-04-02,41.74158
2020-04-03,36.50141
2020-04-04,31.85204
2020-04-05,32.10891
2020-04-06,39.07012
2020-04-07,34.75468
2020-04-08,35.9106
2020-04-09,36.65553
2020-04-10,35.85923
2020-04-11,33.05933
2020-04-12,38.83894
2020-04-13,39.7123
2020-04-14,35.1143
2020-04-15,35.75648
2020-04-16,55.43282
2020-04-17,44.61854
2020-04-18,33.77857
2020-04-19,40.32879
2020-04-20,47.23863
2020-04-21,47.39275
2020-04-22,43.07731
2020-04-23,37.63164
2020-04-24,34.93449
2020-04-25,29.66863
2020-04-26,34.24094
2020-04-27,43.05163
2020-04-28,45.1066
2020-04-29,33.41895
2020-04-30,29.89982
2020-05-01,33.67582
2020-05-02,29.74569
2020-05-03,33.5217
2020-05-04,35.88492
2020-05-05,31.90341
2020-05-06,37.55458
2020-05-07,31.9291
2020-05-08,26.48343
2020-05-09,24.30002
2020-05-10,26.48343
2020-05-11,29.56588
2020-05-12,30.28512
2020-05-13,26.89442
2020-05-14,29.46313
2020-05-15,23.55509
2020-05-16,22.45055
2020-05-17,25.944
2020-05-18,26.58618
2020-05-19,23.99178
2020-05-20,22.19368
2020-05-21,24.17159
2020-05-22,21.32031
2020-05-23,18.64885
2020-05-24,21.91112
2020-05-25,24.09452
2020-05-26,21.96249
2020-05-27,23.24685
2020-05-28,26.58618
2020-05-29,24.99357
2020-05-30,20.90932
2020-05-31,22.70742
2020-06-01,30.79886
2020-06-02,31.80066
2020-06-03,29.38607
2020-06-04,29.43745
2020-06-05,26.97148
2020-06-06,25.22476
2020-06-07,27.84484
2020-06-08,34.08682
2020-06-09,31.00436
2020-06-10,30.85024
2020-06-11,40.63704
2020-06-12,37.58027
2020-06-13,26.79167
2020-06-14,34.88312
2020-06-15,39.89211
2020-06-16,35.55098
2020-06-17,43.28281
2020-06-18,43.95068
2020-06-19,41.61315
2020-06-20,31.15848
2020-06-21,31.05574
2020-06-22,37.22065
2020-06-23,42.71769
2020-06-24,42.5122
2020-06-25,38.73619
2020-06-26,37.19496
2020-06-27,30.67043
2020-06-28,43.84793
2020-06-29,53.94297
2020-06-30,43.64243
2020-07-01,52.55586
2020-07-02,61.41792
2020-07-03,54.25122
2020-07-04,44.74698
2020-07-05,44.41304
2020-07-06,54.94477
2020-07-07,56.46031
2020-07-08,55.68969
2020-07-09,54.99614
2020-07-10,47.05882
2020-07-11,39.58386
2020-07-12,40.76547
2020-07-13,43.53968
2020-07-14,45.44053
2020-07-15,47.26432
2020-07-16,48.31749
