date,집에서할수있는부업
2020-03-20,42.70015
2020-03-21,33.75196
2020-03-22,28.25745
2020-03-23,37.20565
2020-03-24,38.93249
2020-03-25,39.08948
2020-03-26,29.35635
2020-03-27,35.32182
2020-03-28,27.78649
2020-03-29,27.94348
2020-03-30,33.281
2020-03-31,36.73469
2020-04-01,38.77551
2020-04-02,37.04866
2020-04-03,29.82731
2020-04-04,25.90266
2020-04-05,20.87912
2020-04-06,29.9843
2020-04-07,33.43799
2020-04-08,29.82731
2020-04-09,24.33281
2020-04-10,21.82103
2020-04-11,18.05337
2020-04-12,23.86185
2020-04-13,32.02511
2020-04-14,28.10047
2020-04-15,20.87912
2020-04-16,28.72841
2020-04-17,22.60596
2020-04-18,21.97802
2020-04-19,22.60596
2020-04-20,32.33908
2020-04-21,28.25745
2020-04-22,28.10047
2020-04-23,28.41444
2020-04-24,19.30926
2020-04-25,17.11145
2020-04-26,18.36734
2020-04-27,19.46624
2020-04-28,22.44897
2020-04-29,16.48351
2020-04-30,10.98901
2020-05-01,13.81475
2020-05-02,7.6923
2020-05-03,12.71585
2020-05-04,10.51805
2020-05-05,12.24489
2020-05-06,18.36734
2020-05-07,13.02982
2020-05-08,16.48351
2020-05-09,10.36106
2020-05-10,16.32653
2020-05-11,15.38461
2020-05-12,12.87284
2020-05-13,16.6405
2020-05-14,19.9372
2020-05-15,17.11145
2020-05-16,13.18681
2020-05-17,10.67503
2020-05-18,15.07064
2020-05-19,16.01255
2020-05-20,15.07064
2020-05-21,16.16954
2020-05-22,16.32653
2020-05-23,11.45996
2020-05-24,14.12872
2020-05-25,22.60596
2020-05-26,23.54788
2020-05-27,20.56514
2020-05-28,19.78021
2020-05-29,15.5416
2020-05-30,13.97174
2020-05-31,10.20408
2020-06-01,17.7394
2020-06-02,17.89638
2020-06-03,19.62323
2020-06-04,17.7394
2020-06-05,17.42543
2020-06-06,6.75039
2020-06-07,13.81475
2020-06-08,18.52433
2020-06-09,20.87912
2020-06-10,18.68131
2020-06-11,19.46624
2020-06-12,26.37362
2020-06-13,12.87284
2020-06-14,20.40816
2020-06-15,27.00156
2020-06-16,26.21664
2020-06-17,24.48979
2020-06-18,32.96703
2020-06-19,30.61224
2020-06-20,22.29199
2020-06-21,20.72213
2020-06-22,32.33908
2020-06-23,40.50235
2020-06-24,42.22919
2020-06-25,39.71742
2020-06-26,28.8854
2020-06-27,24.64678
2020-06-28,27.47252
2020-06-29,30.14128
2020-06-30,34.06593
2020-07-01,37.83359
2020-07-02,34.85086
2020-07-03,36.5777
2020-07-04,26.21664
2020-07-05,30.61224
2020-07-06,66.40502
2020-07-07,47.40973
2020-07-08,55.10204
2020-07-09,59.49764
2020-07-10,48.19466
2020-07-11,38.14756
2020-07-12,39.71742
2020-07-13,56.51491
2020-07-14,53.06122
2020-07-15,57.29984
2020-07-16,46.46781
2020-07-17,36.26373
2020-07-18,24.96075
2020-07-19,33.12401
2020-07-20,40.81632
2020-07-21,35.63579
2020-07-22,45.99686
2020-07-23,42.54317
2020-07-24,29.19937
2020-07-25,21.66405
2020-07-26,20.72213
2020-07-27,37.6766
2020-07-28,40.18838
2020-07-29,34.69387
2020-07-30,29.35635
2020-07-31,24.33281
2020-08-01,14.28571
2020-08-02,21.0361
2020-08-03,25.58869
2020-08-04,26.53061
2020-08-05,24.64678
2020-08-06,24.33281
2020-08-07,25.43171
2020-08-08,16.01255
2020-08-09,21.0361
2020-08-10,32.02511
2020-08-11,30.45525
2020-08-12,30.29827
2020-08-13,26.68759
2020-08-14,28.8854
2020-08-15,23.39089
2020-08-16,20.40816
2020-08-17,19.46624
2020-08-18,28.10047
2020-08-19,35.00784
2020-08-20,44.58398
2020-08-21,39.87441
2020-08-22,32.65306
2020-08-23,32.96703
2020-08-24,43.64207
2020-08-25,48.66562
2020-08-26,50.54945
2020-08-27,58.8697
2020-08-28,57.29984
2020-08-29,40.65934
2020-08-30,40.34536
2020-08-31,50.86342
2020-09-01,52.74725
2020-09-02,58.08477
2020-09-03,49.9215
2020-09-04,56.51491
2020-09-05,34.22291
2020-09-06,41.75824
2020-09-07,55.41601
2020-09-08,46.6248
2020-09-09,59.81161
2020-09-10,66.09105
2020-09-11,57.92778
2020-09-12,39.71742
2020-09-13,40.34536
2020-09-14,46.93877
2020-09-15,50.54945
2020-09-16,57.14285
2020-09-17,48.50863
2020-09-18,51.80533
2020-09-19,33.75196
2020-09-20,30.14128
2020-09-21,45.36891
2020-09-22,43.17111
2020-09-23,53.84615
2020-09-24,50.86342
2020-09-25,37.51962
2020-09-26,30.45525
2020-09-27,25.74568
2020-09-28,28.8854
2020-09-29,21.66405
2020-09-30,13.02982
2020-10-01,13.34379
2020-10-02,19.9372
2020-10-03,21.82103
2020-10-04,25.27472
2020-10-05,44.89795
2020-10-06,43.79905
2020-10-07,43.79905
2020-10-08,50.54945
2020-10-09,29.19937
2020-10-10,25.11773
2020-10-11,32.65306
2020-10-12,46.78178
2020-10-13,35.63579
2020-10-14,43.01412
2020-10-15,40.18838
2020-10-16,48.66562
2020-10-17,36.10675
2020-10-18,38.46153
2020-10-19,53.37519
2020-10-20,54.00313
2020-10-21,56.98587
2020-10-22,49.45054
2020-10-23,39.40345
2020-10-24,29.19937
2020-10-25,36.42072
2020-10-26,45.99686
2020-10-27,45.83987
2020-10-28,57.61381
2020-10-29,58.08477
2020-10-30,41.75824
2020-10-31,35.00784
2020-11-01,34.53689
2020-11-02,53.84615
2020-11-03,43.17111
2020-11-04,43.95604
2020-11-05,50.86342
2020-11-06,42.70015
2020-11-07,27.15855
2020-11-08,28.25745
2020-11-09,39.40345
2020-11-10,46.93877
2020-11-11,50.70643
2020-11-12,62.32339
2020-11-13,39.71742
2020-11-14,28.72841
2020-11-15,26.84458
2020-11-16,44.11302
2020-11-17,57.29984
2020-11-18,52.59026
2020-11-19,62.1664
2020-11-20,58.55572
2020-11-21,35.94976
2020-11-22,47.25274
2020-11-23,71.89952
2020-11-24,57.45682
2020-11-25,59.65463
2020-11-26,74.09733
2020-11-27,66.87598
2020-11-28,45.5259
2020-11-29,48.50863
2020-11-30,61.85243
2020-12-01,67.50392
2020-12-02,63.73626
2020-12-03,62.63736
2020-12-04,63.42229
2020-12-05,46.78178
2020-12-06,65.4631
2020-12-07,79.59183
2020-12-08,79.9058
2020-12-09,74.56828
2020-12-10,73.3124
2020-12-11,65.62009
2020-12-12,44.11302
2020-12-13,52.27629
2020-12-14,69.23076
2020-12-15,100.0
2020-12-16,89.48194
2020-12-17,87.91208
2020-12-18,61.85243
2020-12-19,49.9215
2020-12-20,49.29356
2020-12-21,58.71271
2020-12-22,55.10204
2020-12-23,54.63108
2020-12-24,38.77551
2020-12-25,34.06593
2020-12-26,34.3799
2020-12-27,49.45054
2020-12-28,90.42386
2020-12-29,99.37205
2020-12-30,73.15541
2020-12-31,58.71271
2021-01-01,46.46781
2021-01-02,62.79434
2021-01-03,74.88226
2021-01-04,86.02825
2021-01-05,82.10361
2021-01-06,76.76609
2021-01-07,81.16169
2021-01-08,67.34693
2021-01-09,69.54474
2021-01-10,65.4631
2021-01-11,95.76138
2021-01-12,67.18995
2021-01-13,74.72527
2021-01-14,75.66718
2021-01-15,75.66718
2021-01-16,50.54945
2021-01-17,63.2653
2021-01-18,81.47566
2021-01-19,77.39403
2021-01-20,82.10361
2021-01-21,81.78963
2021-01-22,80.37676
2021-01-23,55.88697
2021-01-24,44.11302
2021-01-25,64.3642
2021-01-26,74.56828
2021-01-27,66.87598
2021-01-28,61.38147
2021-01-29,56.35792
2021-01-30,41.60125
2021-01-31,40.03139
2021-02-01,57.7708
2021-02-02,58.24175
2021-02-03,55.41601
2021-02-04,52.43328
2021-02-05,48.97959
2021-02-06,44.427
2021-02-07,40.50235
2021-02-08,52.27629
2021-02-09,38.93249
2021-02-10,37.51962
2021-02-11,28.10047
2021-02-12,22.44897
2021-02-13,25.11773
2021-02-14,39.24646
2021-02-15,53.21821
2021-02-16,54.78806
2021-02-17,57.45682
2021-02-18,51.80533
2021-02-19,46.6248
2021-02-20,35.4788
2021-02-21,47.88069
2021-02-22,67.03296
2021-02-23,53.84615
2021-02-24,58.8697
2021-02-25,52.43328
2021-02-26,49.29356
2021-02-27,41.60125
2021-02-28,43.79905
2021-03-01,60.43956
2021-03-02,51.96232
2021-03-03,49.9215
2021-03-04,45.36891
2021-03-05,35.63579
2021-03-06,22.76295
2021-03-07,29.9843
2021-03-08,38.14756
2021-03-09,42.70015
2021-03-10,39.56043
2021-03-11,41.13029
2021-03-12,42.22919
2021-03-13,20.09419
2021-03-14,32.02511
2021-03-15,38.77551
2021-03-16,35.32182
2021-03-17,45.5259
2021-03-18,37.36263
2021-03-19,37.20565
2021-03-20,26.21664
2021-03-21,24.96075
2021-03-22,35.4788
2021-03-23,35.4788
2021-03-24,26.68759
2021-03-25,34.22291
2021-03-26,25.43171
2021-03-27,22.76295
2021-03-28,23.54788
2021-03-29,31.39717
2021-03-30,38.30455
2021-03-31,37.51962
2021-04-01,37.83359
2021-04-02,24.01883
2021-04-03,29.35635
2021-04-04,25.58869
2021-04-05,35.4788
2021-04-06,27.31554
2021-04-07,32.1821
2021-04-08,40.50235
2021-04-09,34.06593
2021-04-10,17.11145
2021-04-11,19.15227
2021-04-12,32.49607
2021-04-13,29.35635
2021-04-14,37.83359
2021-04-15,35.16483
2021-04-16,29.9843
2021-04-17,23.70486
2021-04-18,26.68759
2021-04-19,28.8854
2021-04-20,32.81004
2021-04-21,36.89167
2021-04-22,34.69387
2021-04-23,26.05965
2021-04-24,21.50706
2021-04-25,21.35007
2021-04-26,31.71114
2021-04-27,40.50235
2021-04-28,43.64207
2021-04-29,42.07221
2021-04-30,27.62951
2021-05-01,19.30926
2021-05-02,16.32653
2021-05-03,24.01883
2021-05-04,26.37362
2021-05-05,25.11773
2021-05-06,25.11773
2021-05-07,23.39089
2021-05-08,13.65777
2021-05-09,14.59968
2021-05-10,29.51334
2021-05-11,38.46153
2021-05-12,33.59497
2021-05-13,32.96703
2021-05-14,27.00156
2021-05-15,23.70486
2021-05-16,28.10047
2021-05-17,39.56043
