date,채권ETF
2020-03-20,6.8152
2020-03-21,7.86369
2020-03-22,7.20838
2020-03-23,5.89777
2020-03-24,6.42201
2020-03-25,6.55307
2020-03-26,9.69855
2020-03-27,10.35386
2020-03-28,11.00917
2020-03-29,8.78112
2020-03-30,8.78112
2020-03-31,8.25688
2020-04-01,7.20838
2020-04-02,6.29095
2020-04-03,7.47051
2020-04-04,4.71821
2020-04-05,21.88728
2020-04-06,16.25163
2020-04-07,11.66448
2020-04-08,12.45085
2020-04-09,11.14023
2020-04-10,9.96068
2020-04-11,7.60157
2020-04-12,11.00917
2020-04-13,9.96068
2020-04-14,8.519
2020-04-15,8.91218
2020-04-16,10.35386
2020-04-17,9.04325
2020-04-18,10.2228
2020-04-19,11.00917
2020-04-20,11.14023
2020-04-21,9.43643
2020-04-22,8.91218
2020-04-23,9.30537
2020-04-24,9.17431
2020-04-25,9.04325
2020-04-26,9.43643
2020-04-27,8.91218
2020-04-28,7.73263
2020-04-29,7.33944
2020-04-30,4.45609
2020-05-01,4.32503
2020-05-02,5.76671
2020-05-03,3.80078
2020-05-04,6.42201
2020-05-05,5.50458
2020-05-06,7.20838
2020-05-07,6.02883
2020-05-08,7.07732
2020-05-09,7.60157
2020-05-10,5.89777
2020-05-11,12.05766
2020-05-12,9.30537
2020-05-13,8.65006
2020-05-14,10.48492
2020-05-15,11.14023
2020-05-16,5.89777
2020-05-17,6.55307
2020-05-18,9.04325
2020-05-19,9.69855
2020-05-20,8.65006
2020-05-21,8.38794
2020-05-22,8.519
2020-05-23,6.94626
2020-05-24,7.60157
2020-05-25,9.56749
2020-05-26,9.17431
2020-05-27,7.73263
2020-05-28,12.84403
2020-05-29,8.38794
2020-05-30,5.50458
2020-05-31,6.29095
2020-06-01,6.8152
2020-06-02,8.25688
2020-06-03,10.61598
2020-06-04,9.04325
2020-06-05,8.25688
2020-06-06,5.63564
2020-06-07,7.47051
2020-06-08,10.2228
2020-06-09,10.35386
2020-06-10,8.519
2020-06-11,9.69855
2020-06-12,8.65006
2020-06-13,9.04325
2020-06-14,9.69855
2020-06-15,6.8152
2020-06-16,7.47051
2020-06-17,5.24246
2020-06-18,6.8152
2020-06-19,5.89777
2020-06-20,4.0629
2020-06-21,3.80078
2020-06-22,5.63564
2020-06-23,6.8152
2020-06-24,5.89777
2020-06-25,4.84927
2020-06-26,6.02883
2020-06-27,5.1114
2020-06-28,5.89777
2020-06-29,6.55307
2020-06-30,5.24246
2020-07-01,6.68414
2020-07-02,6.68414
2020-07-03,6.02883
2020-07-04,4.32503
2020-07-05,4.32503
2020-07-06,6.94626
2020-07-07,4.58715
2020-07-08,6.55307
2020-07-09,5.37352
2020-07-10,4.19397
2020-07-11,3.93184
2020-07-12,5.37352
2020-07-13,6.02883
2020-07-14,7.07732
2020-07-15,6.29095
2020-07-16,5.76671
2020-07-17,4.71821
2020-07-18,5.50458
2020-07-19,4.58715
2020-07-20,4.58715
2020-07-21,5.24246
2020-07-22,6.29095
2020-07-23,8.25688
2020-07-24,5.24246
2020-07-25,4.58715
2020-07-26,3.66972
2020-07-27,9.17431
2020-07-28,8.78112
2020-07-29,8.12581
2020-07-30,4.58715
2020-07-31,11.14023
2020-08-01,5.1114
2020-08-02,4.58715
2020-08-03,7.99475
2020-08-04,7.33944
2020-08-05,6.15989
2020-08-06,4.45609
2020-08-07,8.65006
2020-08-08,5.89777
2020-08-09,7.73263
2020-08-10,7.07732
2020-08-11,8.519
2020-08-12,7.20838
2020-08-13,7.86369
2020-08-14,7.73263
2020-08-15,3.4076
2020-08-16,4.98034
2020-08-17,4.19397
2020-08-18,6.29095
2020-08-19,5.37352
2020-08-20,6.02883
2020-08-21,6.55307
2020-08-22,5.1114
2020-08-23,5.37352
2020-08-24,7.33944
2020-08-25,12.31979
2020-08-26,9.04325
2020-08-27,9.69855
2020-08-28,7.60157
2020-08-29,7.60157
2020-08-30,7.99475
2020-08-31,6.02883
2020-09-01,7.07732
2020-09-02,10.09174
2020-09-03,7.20838
2020-09-04,7.47051
2020-09-05,4.19397
2020-09-06,4.32503
2020-09-07,5.37352
2020-09-08,6.02883
2020-09-09,7.20838
2020-09-10,7.20838
2020-09-11,7.20838
2020-09-12,6.42201
2020-09-13,4.98034
2020-09-14,5.50458
2020-09-15,7.07732
2020-09-16,8.12581
2020-09-17,6.94626
2020-09-18,5.1114
2020-09-19,5.63564
2020-09-20,5.24246
2020-09-21,4.19397
2020-09-22,4.84927
2020-09-23,5.76671
2020-09-24,3.66972
2020-09-25,4.98034
2020-09-26,4.84927
2020-09-27,6.94626
2020-09-28,6.55307
2020-09-29,7.20838
2020-09-30,6.55307
2020-10-01,3.4076
2020-10-02,3.01441
2020-10-03,3.80078
2020-10-04,5.1114
2020-10-05,5.63564
2020-10-06,5.89777
2020-10-07,5.24246
2020-10-08,6.15989
2020-10-09,3.93184
2020-10-10,3.01441
2020-10-11,4.84927
2020-10-12,4.0629
2020-10-13,8.78112
2020-10-14,4.98034
2020-10-15,5.37352
2020-10-16,3.93184
2020-10-17,2.62123
2020-10-18,4.84927
2020-10-19,5.50458
2020-10-20,4.58715
2020-10-21,6.42201
2020-10-22,4.98034
2020-10-23,4.84927
2020-10-24,3.66972
2020-10-25,2.62123
2020-10-26,4.32503
2020-10-27,4.45609
2020-10-28,4.0629
2020-10-29,4.71821
2020-10-30,5.24246
2020-10-31,2.62123
2020-11-01,5.24246
2020-11-02,3.80078
2020-11-03,3.4076
2020-11-04,2.3591
2020-11-05,4.84927
2020-11-06,4.98034
2020-11-07,3.27653
2020-11-08,1.7038
2020-11-09,4.45609
2020-11-10,5.37352
2020-11-11,4.45609
2020-11-12,4.32503
2020-11-13,4.71821
2020-11-14,2.88335
2020-11-15,6.42201
2020-11-16,4.45609
2020-11-17,5.63564
2020-11-18,4.98034
2020-11-19,5.76671
2020-11-20,5.1114
2020-11-21,5.37352
2020-11-22,3.93184
2020-11-23,5.50458
2020-11-24,5.76671
2020-11-25,7.07732
2020-11-26,6.29095
2020-11-27,8.65006
2020-11-28,6.68414
2020-11-29,6.68414
2020-11-30,6.55307
2020-12-01,7.86369
2020-12-02,6.02883
2020-12-03,8.519
2020-12-04,4.71821
2020-12-05,5.89777
2020-12-06,8.12581
2020-12-07,10.09174
2020-12-08,8.65006
2020-12-09,7.60157
2020-12-10,11.14023
2020-12-11,8.65006
2020-12-12,10.09174
2020-12-13,7.99475
2020-12-14,5.89777
2020-12-15,9.17431
2020-12-16,7.07732
2020-12-17,9.30537
2020-12-18,9.17431
2020-12-19,8.12581
2020-12-20,9.30537
2020-12-21,12.84403
2020-12-22,13.23722
2020-12-23,11.27129
2020-12-24,11.27129
2020-12-25,8.25688
2020-12-26,8.519
2020-12-27,8.91218
2020-12-28,11.9266
2020-12-29,13.23722
2020-12-30,14.54783
2020-12-31,12.05766
2021-01-01,7.86369
2021-01-02,13.23722
2021-01-03,17.038
2021-01-04,16.77588
2021-01-05,18.47968
2021-01-06,22.28047
2021-01-07,21.23197
2021-01-08,19.7903
2021-01-09,15.46526
2021-01-10,19.65923
2021-01-11,23.85321
2021-01-12,24.77064
2021-01-13,22.14941
2021-01-14,18.87287
2021-01-15,12.84403
2021-01-16,14.28571
2021-01-17,12.45085
2021-01-18,14.54783
2021-01-19,17.56225
2021-01-20,18.87287
2021-01-21,16.25163
2021-01-22,15.72739
2021-01-23,15.59633
2021-01-24,16.51376
2021-01-25,19.7903
2021-01-26,23.85321
2021-01-27,18.0865
2021-01-28,15.59633
2021-01-29,14.67889
2021-01-30,14.15465
2021-01-31,16.51376
2021-02-01,12.84403
2021-02-02,15.85845
2021-02-03,14.28571
2021-02-04,15.20314
2021-02-05,16.38269
2021-02-06,8.25688
2021-02-07,17.95543
2021-02-08,18.61074
2021-02-09,14.28571
2021-02-10,17.16906
2021-02-11,11.00917
2021-02-12,13.76146
2021-02-13,11.79554
2021-02-14,15.46526
2021-02-15,16.38269
2021-02-16,22.01834
2021-02-17,25.95019
2021-02-18,17.82437
2021-02-19,15.07208
2021-02-20,13.49934
2021-02-21,12.84403
2021-02-22,18.21756
2021-02-23,18.7418
2021-02-24,22.67365
2021-02-25,21.23197
2021-02-26,32.76539
2021-02-27,15.59633
2021-02-28,13.6304
2021-03-01,17.30013
2021-03-02,12.71297
2021-03-03,15.59633
2021-03-04,13.23722
2021-03-05,14.41677
2021-03-06,7.73263
2021-03-07,12.31979
2021-03-08,16.90694
2021-03-09,12.45085
2021-03-10,11.9266
2021-03-11,10.09174
2021-03-12,11.9266
2021-03-13,8.78112
2021-03-14,9.82961
2021-03-15,9.56749
2021-03-16,11.27129
2021-03-17,9.69855
2021-03-18,12.05766
2021-03-19,12.71297
2021-03-20,7.47051
2021-03-21,7.07732
2021-03-22,13.6304
2021-03-23,10.09174
2021-03-24,10.09174
2021-03-25,9.96068
2021-03-26,7.99475
2021-03-27,7.99475
2021-03-28,12.84403
2021-03-29,10.35386
2021-03-30,11.79554
2021-03-31,9.69855
2021-04-01,10.09174
2021-04-02,9.17431
2021-04-03,9.04325
2021-04-04,9.17431
2021-04-05,10.35386
2021-04-06,9.96068
2021-04-07,7.60157
2021-04-08,7.99475
2021-04-09,8.78112
2021-04-10,6.55307
2021-04-11,8.519
2021-04-12,9.04325
2021-04-13,11.40235
2021-04-14,12.05766
2021-04-15,11.00917
2021-04-16,8.12581
2021-04-17,8.65006
2021-04-18,7.99475
2021-04-19,11.14023
2021-04-20,8.91218
2021-04-21,10.2228
2021-04-22,8.91218
2021-04-23,8.12581
2021-04-24,5.24246
2021-04-25,7.60157
2021-04-26,9.17431
2021-04-27,8.91218
2021-04-28,7.07732
2021-04-29,6.15989
2021-04-30,4.58715
2021-05-01,6.02883
2021-05-02,7.47051
2021-05-03,10.35386
2021-05-04,7.60157
2021-05-05,9.43643
2021-05-06,8.519
2021-05-07,7.86369
2021-05-08,7.60157
2021-05-09,10.09174
2021-05-10,9.69855
2021-05-11,8.12581
2021-05-12,11.66448
2021-05-13,10.74705
2021-05-14,10.87811
2021-05-15,6.15989
2021-05-16,6.94626
2021-05-17,7.33944
2021-05-18,7.60157
2021-05-19,8.12581
2021-05-20,9.56749
2021-05-21,9.43643
2021-05-22,6.15989
2021-05-23,8.12581
2021-05-24,10.48492
2021-05-25,9.69855
2021-05-26,10.74705
2021-05-27,10.61598
2021-05-28,11.14023
2021-05-29,8.78112
2021-05-30,6.8152
2021-05-31,8.38794
2021-06-01,7.73263
2021-06-02,8.78112
2021-06-03,9.82961
2021-06-04,6.8152
2021-06-05,4.19397
2021-06-06,7.99475
2021-06-07,7.07732
2021-06-08,8.12581
2021-06-09,9.56749
2021-06-10,10.48492
2021-06-11,14.28571
2021-06-12,7.99475
2021-06-13,5.76671
2021-06-14,10.61598
2021-06-15,9.30537
2021-06-16,10.48492
2021-06-17,11.40235
2021-06-18,7.20838
2021-06-19,6.02883
2021-06-20,3.80078
2021-06-21,6.94626
2021-06-22,6.94626
2021-06-23,6.8152
2021-06-24,7.20838
2021-06-25,6.42201
2021-06-26,4.32503
2021-06-27,7.47051
2021-06-28,8.65006
2021-06-29,6.55307
2021-06-30,7.20838
2021-07-01,6.02883
2021-07-02,3.80078
2021-07-03,5.37352
2021-07-04,4.45609
2021-07-05,7.60157
2021-07-06,6.8152
2021-07-07,5.50458
2021-07-08,8.38794
2021-07-09,6.55307
2021-07-10,5.63564
2021-07-11,5.76671
2021-07-12,9.56749
2021-07-13,7.99475
2021-07-14,6.8152
2021-07-15,7.47051
2021-07-16,5.1114
2021-07-17,4.84927
2021-07-18,5.1114
2021-07-19,4.84927
2021-07-20,9.82961
2021-07-21,9.17431
2021-07-22,7.20838
2021-07-23,7.07732
2021-07-24,4.45609
2021-07-25,5.89777
2021-07-26,4.98034
2021-07-27,5.50458
2021-07-28,6.94626
2021-07-29,6.94626
2021-07-30,7.60157
2021-07-31,3.14547
2021-08-01,6.02883
2021-08-02,5.37352
2021-08-03,7.07732
2021-08-04,5.1114
2021-08-05,6.42201
2021-08-06,9.43643
2021-08-07,5.50458
2021-08-08,4.45609
2021-08-09,7.86369
2021-08-10,7.99475
2021-08-11,8.519
2021-08-12,7.07732
2021-08-13,9.04325
2021-08-14,6.68414
2021-08-15,6.55307
2021-08-16,7.20838
2021-08-17,8.91218
2021-08-18,9.82961
2021-08-19,11.53342
2021-08-20,9.96068
2021-08-21,7.20838
2021-08-22,6.55307
2021-08-23,9.43643
2021-08-24,7.86369
2021-08-25,9.30537
2021-08-26,9.43643
2021-08-27,8.25688
2021-08-28,6.29095
2021-08-29,7.86369
2021-08-30,7.60157
2021-08-31,9.69855
2021-09-01,6.68414
2021-09-02,9.96068
2021-09-03,7.47051
2021-09-04,3.93184
2021-09-05,5.37352
2021-09-06,9.43643
2021-09-07,6.55307
2021-09-08,7.33944
2021-09-09,6.02883
2021-09-10,7.60157
2021-09-11,6.42201
2021-09-12,7.33944
2021-09-13,6.29095
2021-09-14,7.60157
2021-09-15,6.8152
2021-09-16,6.55307
2021-09-17,6.15989
2021-09-18,4.32503
2021-09-19,6.42201
2021-09-20,5.50458
2021-09-21,8.91218
2021-09-22,7.60157
2021-09-23,8.91218
2021-09-24,8.78112
2021-09-25,6.42201
2021-09-26,8.65006
2021-09-27,8.65006
2021-09-28,10.74705
2021-09-29,10.87811
2021-09-30,9.96068
2021-10-01,7.60157
2021-10-02,5.50458
2021-10-03,5.89777
2021-10-04,8.25688
2021-10-05,8.91218
2021-10-06,9.43643
2021-10-07,10.35386
2021-10-08,7.73263
2021-10-09,5.37352
2021-10-10,6.15989
2021-10-11,6.42201
2021-10-12,10.2228
2021-10-13,8.65006
2021-10-14,9.17431
2021-10-15,6.42201
2021-10-16,6.94626
2021-10-17,7.07732
2021-10-18,7.99475
2021-10-19,6.02883
2021-10-20,6.8152
2021-10-21,7.20838
2021-10-22,9.30537
2021-10-23,5.37352
2021-10-24,6.94626
2021-10-25,8.519
2021-10-26,13.76146
2021-10-27,20.96985
2021-10-28,20.18348
2021-10-29,13.49934
2021-10-30,10.48492
2021-10-31,9.96068
2021-11-01,13.23722
2021-11-02,13.6304
2021-11-03,12.84403
2021-11-04,11.66448
2021-11-05,9.43643
2021-11-06,8.25688
2021-11-07,8.65006
2021-11-08,7.86369
2021-11-09,8.12581
2021-11-10,11.66448
2021-11-11,12.71297
2021-11-12,10.87811
2021-11-13,7.33944
2021-11-14,8.12581
2021-11-15,9.96068
2021-11-16,11.66448
2021-11-17,9.96068
2021-11-18,6.55307
2021-11-19,7.47051
2021-11-20,5.76671
2021-11-21,7.33944
2021-11-22,6.68414
2021-11-23,8.78112
2021-11-24,6.42201
2021-11-25,12.58191
2021-11-26,8.12581
2021-11-27,5.24246
2021-11-28,7.60157
2021-11-29,8.78112
2021-11-30,11.14023
2021-12-01,7.47051
2021-12-02,5.50458
2021-12-03,6.8152
2021-12-04,6.29095
2021-12-05,7.73263
2021-12-06,6.15989
2021-12-07,7.60157
2021-12-08,7.47051
2021-12-09,7.33944
2021-12-10,9.82961
2021-12-11,6.29095
2021-12-12,8.38794
2021-12-13,8.38794
2021-12-14,11.00917
2021-12-15,6.29095
2021-12-16,7.60157
2021-12-17,6.29095
2021-12-18,4.71821
2021-12-19,6.02883
2021-12-20,6.68414
2021-12-21,6.55307
2021-12-22,8.12581
2021-12-23,7.99475
2021-12-24,8.65006
2021-12-25,3.27653
2021-12-26,6.42201
2021-12-27,8.91218
2021-12-28,9.96068
2021-12-29,9.17431
2021-12-30,8.65006
2021-12-31,8.65006
2022-01-01,4.32503
2022-01-02,6.29095
2022-01-03,8.65006
2022-01-04,11.27129
2022-01-05,8.65006
2022-01-06,14.41677
2022-01-07,9.43643
2022-01-08,10.61598
2022-01-09,15.59633
2022-01-10,16.64482
2022-01-11,13.23722
2022-01-12,14.02359
2022-01-13,13.76146
2022-01-14,13.49934
2022-01-15,7.07732
2022-01-16,8.12581
2022-01-17,9.69855
2022-01-18,11.00917
2022-01-19,13.36828
2022-01-20,12.45085
2022-01-21,9.56749
2022-01-22,11.00917
2022-01-23,10.35386
2022-01-24,15.3342
2022-01-25,17.82437
2022-01-26,15.07208
2022-01-27,14.80996
2022-01-28,12.97509
2022-01-29,8.519
2022-01-30,9.82961
2022-01-31,12.84403
2022-02-01,11.53342
2022-02-02,12.05766
2022-02-03,12.45085
2022-02-04,11.27129
2022-02-05,11.00917
2022-02-06,11.27129
2022-02-07,11.27129
2022-02-08,13.23722
2022-02-09,11.53342
2022-02-10,14.02359
2022-02-11,17.038
2022-02-12,13.10615
2022-02-13,10.87811
2022-02-14,10.09174
2022-02-15,11.14023
2022-02-16,10.74705
2022-02-17,9.04325
2022-02-18,11.27129
2022-02-19,11.27129
2022-02-20,9.96068
2022-02-21,9.43643
2022-02-22,8.65006
2022-02-23,8.12581
2022-02-24,9.43643
2022-02-25,6.55307
2022-02-26,4.0629
2022-02-27,11.79554
2022-02-28,9.96068
2022-03-01,7.73263
2022-03-02,9.69855
2022-03-03,7.86369
2022-03-04,9.82961
2022-03-05,6.42201
2022-03-06,6.8152
2022-03-07,5.63564
2022-03-08,7.07732
2022-03-09,6.29095
2022-03-10,5.63564
2022-03-11,6.94626
2022-03-12,6.68414
2022-03-13,8.38794
2022-03-14,8.12581
2022-03-15,6.42201
2022-03-16,8.12581
2022-03-17,9.04325
2022-03-18,10.87811
2022-03-19,7.47051
2022-03-20,7.33944
2022-03-21,7.60157
2022-03-22,16.77588
2022-03-23,11.14023
2022-03-24,11.53342
2022-03-25,8.519
2022-03-26,8.65006
2022-03-27,9.30537
2022-03-28,10.48492
2022-03-29,12.31979
2022-03-30,14.80996
2022-03-31,9.82961
2022-04-01,7.60157
2022-04-02,6.94626
2022-04-03,8.519
2022-04-04,8.65006
2022-04-05,11.9266
2022-04-06,35.51769
2022-04-07,22.67365
2022-04-08,19.39711
2022-04-09,16.12057
2022-04-10,11.40235
2022-04-11,14.15465
2022-04-12,20.96985
2022-04-13,22.67365
2022-04-14,18.34862
2022-04-15,12.71297
2022-04-16,10.61598
2022-04-17,11.40235
2022-04-18,14.02359
2022-04-19,17.038
2022-04-20,31.84796
2022-04-21,11.00917
2022-04-22,13.23722
2022-04-23,9.17431
2022-04-24,10.87811
2022-04-25,14.80996
2022-04-26,65.79292
2022-04-27,28.83355
2022-04-28,19.92136
2022-04-29,18.0865
2022-04-30,26.21231
2022-05-01,43.64351
2022-05-02,25.29488
2022-05-03,42.59501
2022-05-04,45.08519
2022-05-05,33.94495
2022-05-06,85.19003
2022-05-07,23.72214
2022-05-08,20.18348
2022-05-09,39.84272
2022-05-10,29.75098
2022-05-11,28.57142
2022-05-12,38.66317
2022-05-13,21.10091
2022-05-14,22.80471
2022-05-15,21.62516
2022-05-16,18.87287
2022-05-17,38.00786
2022-05-18,23.32896
2022-05-19,21.23197
2022-05-20,18.34862
2022-05-21,13.36828
2022-05-22,32.24115
2022-05-23,19.92136
2022-05-24,19.52817
2022-05-25,23.06684
2022-05-26,16.64482
2022-05-27,15.20314
2022-05-28,22.41153
2022-05-29,12.45085
2022-05-30,20.70773
2022-05-31,38.92529
2022-06-01,52.94888
2022-06-02,37.74574
2022-06-03,44.56094
2022-06-04,31.19266
2022-06-05,24.37745
2022-06-06,36.56618
2022-06-07,37.48361
2022-06-08,32.89646
2022-06-09,35.38663
2022-06-10,33.81389
2022-06-11,43.51245
2022-06-12,33.68283
2022-06-13,77.19528
2022-06-14,69.33158
2022-06-15,47.83748
2022-06-16,41.67758
2022-06-17,34.20707
2022-06-18,21.88728
2022-06-19,25.03276
2022-06-20,27.39187
2022-06-21,26.34338
2022-06-22,22.67365
2022-06-23,26.08125
2022-06-24,22.14941
2022-06-25,17.16906
2022-06-26,26.08125
2022-06-27,25.95019
2022-06-28,96.72346
2022-06-29,42.07077
2022-06-30,25.29488
2022-07-01,30.14416
2022-07-02,19.13499
2022-07-03,28.83355
2022-07-04,28.17824
2022-07-05,36.8283
2022-07-06,38.53211
2022-07-07,24.37745
2022-07-08,36.43512
2022-07-09,25.29488
2022-07-10,22.54259
2022-07-11,46.78899
2022-07-12,25.42595
2022-07-13,34.60026
2022-07-14,30.53735
2022-07-15,22.54259
2022-07-16,16.90694
2022-07-17,17.95543
2022-07-18,23.59108
2022-07-19,17.30013
2022-07-20,20.05242
2022-07-21,20.05242
2022-07-22,18.0865
2022-07-23,13.6304
2022-07-24,18.0865
2022-07-25,20.96985
2022-07-26,21.88728
2022-07-27,20.05242
2022-07-28,16.25163
2022-07-29,18.87287
2022-07-30,45.74049
