date,채권채무
2020-03-20,45.71428
2020-03-21,14.28571
2020-03-22,12.14285
2020-03-23,45.71428
2020-03-24,54.28571
2020-03-25,52.14285
2020-03-26,55.71428
2020-03-27,42.14285
2020-03-28,22.14285
2020-03-29,23.57142
2020-03-30,48.57142
2020-03-31,45.71428
2020-04-01,35.0
2020-04-02,43.57142
2020-04-03,40.0
2020-04-04,16.42857
2020-04-05,16.42857
2020-04-06,43.57142
2020-04-07,46.42857
2020-04-08,27.85714
2020-04-09,59.28571
2020-04-10,40.71428
2020-04-11,10.71428
2020-04-12,19.28571
2020-04-13,37.14285
2020-04-14,36.42857
2020-04-15,22.85714
2020-04-16,50.0
2020-04-17,32.14285
2020-04-18,12.85714
2020-04-19,15.0
2020-04-20,41.42857
2020-04-21,32.85714
2020-04-22,48.57142
2020-04-23,35.0
2020-04-24,40.71428
2020-04-25,12.14285
2020-04-26,10.0
2020-04-27,35.0
2020-04-28,36.42857
2020-04-29,27.14285
2020-04-30,5.71428
2020-05-01,14.28571
2020-05-02,10.71428
2020-05-03,20.71428
2020-05-04,37.14285
2020-05-05,20.71428
2020-05-06,50.71428
2020-05-07,42.85714
2020-05-08,36.42857
2020-05-09,17.14285
2020-05-10,15.0
2020-05-11,46.42857
2020-05-12,40.71428
2020-05-13,30.71428
2020-05-14,42.14285
2020-05-15,33.57142
2020-05-16,20.0
2020-05-17,25.0
2020-05-18,33.57142
2020-05-19,46.42857
2020-05-20,42.85714
2020-05-21,40.71428
2020-05-22,28.57142
2020-05-23,13.57142
2020-05-24,11.42857
2020-05-25,28.57142
2020-05-26,37.14285
2020-05-27,40.71428
2020-05-28,34.28571
2020-05-29,30.71428
2020-05-30,17.14285
2020-05-31,12.85714
2020-06-01,37.85714
2020-06-02,32.85714
2020-06-03,40.0
2020-06-04,40.71428
2020-06-05,35.0
2020-06-06,13.57142
2020-06-07,12.14285
2020-06-08,43.57142
2020-06-09,40.0
2020-06-10,41.42857
2020-06-11,27.14285
2020-06-12,32.14285
2020-06-13,17.14285
2020-06-14,16.42857
2020-06-15,43.57142
2020-06-16,30.0
2020-06-17,35.0
2020-06-18,33.57142
2020-06-19,37.14285
2020-06-20,20.0
2020-06-21,15.71428
2020-06-22,30.71428
2020-06-23,37.85714
2020-06-24,45.0
2020-06-25,43.57142
2020-06-26,27.85714
2020-06-27,17.14285
2020-06-28,10.71428
2020-06-29,32.14285
2020-06-30,32.14285
2020-07-01,33.57142
2020-07-02,34.28571
2020-07-03,29.28571
2020-07-04,11.42857
2020-07-05,12.85714
2020-07-06,32.85714
2020-07-07,31.42857
2020-07-08,32.14285
2020-07-09,35.0
2020-07-10,30.71428
2020-07-11,10.0
2020-07-12,12.85714
2020-07-13,46.42857
2020-07-14,35.71428
2020-07-15,29.28571
2020-07-16,32.14285
2020-07-17,29.28571
2020-07-18,18.57142
2020-07-19,15.71428
2020-07-20,22.85714
2020-07-21,37.14285
2020-07-22,39.28571
2020-07-23,34.28571
2020-07-24,29.28571
2020-07-25,10.0
2020-07-26,15.71428
2020-07-27,32.14285
2020-07-28,32.85714
2020-07-29,36.42857
2020-07-30,27.14285
2020-07-31,30.0
2020-08-01,12.85714
2020-08-02,4.28571
2020-08-03,19.28571
2020-08-04,40.0
2020-08-05,34.28571
2020-08-06,31.42857
2020-08-07,23.57142
2020-08-08,12.14285
2020-08-09,6.42857
2020-08-10,38.57142
2020-08-11,28.57142
2020-08-12,30.0
2020-08-13,30.71428
2020-08-14,31.42857
2020-08-15,25.0
2020-08-16,17.85714
2020-08-17,20.0
2020-08-18,25.0
2020-08-19,34.28571
2020-08-20,33.57142
2020-08-21,28.57142
2020-08-22,12.14285
2020-08-23,17.14285
2020-08-24,23.57142
2020-08-25,26.42857
2020-08-26,27.14285
2020-08-27,25.0
2020-08-28,31.42857
2020-08-29,13.57142
2020-08-30,12.85714
2020-08-31,37.85714
2020-09-01,35.71428
2020-09-02,38.57142
2020-09-03,33.57142
2020-09-04,27.85714
2020-09-05,10.0
2020-09-06,15.71428
2020-09-07,42.14285
2020-09-08,37.14285
2020-09-09,40.0
2020-09-10,29.28571
2020-09-11,30.71428
2020-09-12,14.28571
2020-09-13,15.0
2020-09-14,30.71428
2020-09-15,29.28571
2020-09-16,35.0
2020-09-17,24.28571
2020-09-18,32.85714
2020-09-19,12.85714
2020-09-20,13.57142
2020-09-21,39.28571
2020-09-22,37.14285
2020-09-23,41.42857
2020-09-24,32.85714
2020-09-25,31.42857
2020-09-26,12.85714
2020-09-27,10.0
2020-09-28,30.0
2020-09-29,26.42857
2020-09-30,9.28571
2020-10-01,12.85714
2020-10-02,11.42857
2020-10-03,21.42857
2020-10-04,32.14285
2020-10-05,36.42857
2020-10-06,34.28571
2020-10-07,40.0
2020-10-08,45.0
2020-10-09,22.14285
2020-10-10,18.57142
2020-10-11,22.14285
2020-10-12,37.85714
2020-10-13,51.42857
2020-10-14,37.85714
2020-10-15,44.28571
2020-10-16,40.71428
2020-10-17,18.57142
2020-10-18,23.57142
2020-10-19,40.71428
2020-10-20,37.14285
2020-10-21,53.57142
2020-10-22,35.0
2020-10-23,32.85714
2020-10-24,22.85714
2020-10-25,15.0
2020-10-26,48.57142
2020-10-27,29.28571
2020-10-28,39.28571
2020-10-29,41.42857
2020-10-30,32.14285
2020-10-31,20.0
2020-11-01,17.85714
2020-11-02,35.71428
2020-11-03,33.57142
2020-11-04,32.85714
2020-11-05,32.14285
2020-11-06,35.0
2020-11-07,4.28571
2020-11-08,15.71428
2020-11-09,39.28571
2020-11-10,36.42857
2020-11-11,42.14285
2020-11-12,47.14285
2020-11-13,29.28571
2020-11-14,13.57142
2020-11-15,13.57142
2020-11-16,29.28571
2020-11-17,34.28571
2020-11-18,37.14285
2020-11-19,37.85714
2020-11-20,32.14285
2020-11-21,15.0
2020-11-22,10.71428
2020-11-23,39.28571
2020-11-24,36.42857
2020-11-25,40.71428
2020-11-26,42.85714
2020-11-27,40.71428
2020-11-28,27.14285
2020-11-29,18.57142
2020-11-30,37.85714
2020-12-01,38.57142
2020-12-02,42.85714
2020-12-03,40.71428
2020-12-04,32.85714
2020-12-05,12.85714
2020-12-06,12.14285
2020-12-07,33.57142
2020-12-08,41.42857
2020-12-09,36.42857
2020-12-10,36.42857
2020-12-11,36.42857
2020-12-12,15.71428
2020-12-13,12.85714
2020-12-14,41.42857
2020-12-15,42.85714
2020-12-16,45.71428
2020-12-17,33.57142
2020-12-18,29.28571
2020-12-19,13.57142
2020-12-20,9.28571
2020-12-21,34.28571
2020-12-22,40.71428
2020-12-23,28.57142
2020-12-24,34.28571
2020-12-25,4.28571
2020-12-26,8.57142
2020-12-27,10.0
2020-12-28,29.28571
2020-12-29,25.71428
2020-12-30,34.28571
2020-12-31,22.85714
2021-01-01,12.85714
2021-01-02,8.57142
2021-01-03,14.28571
2021-01-04,42.14285
2021-01-05,37.85714
2021-01-06,42.14285
2021-01-07,30.71428
2021-01-08,40.71428
2021-01-09,14.28571
2021-01-10,24.28571
2021-01-11,36.42857
2021-01-12,50.71428
2021-01-13,50.0
2021-01-14,46.42857
2021-01-15,55.0
2021-01-16,18.57142
2021-01-17,17.85714
2021-01-18,64.28571
2021-01-19,75.71428
2021-01-20,61.42857
2021-01-21,71.42857
2021-01-22,57.85714
2021-01-23,20.71428
2021-01-24,27.85714
2021-01-25,69.28571
2021-01-26,79.28571
2021-01-27,77.14285
