date,채권추심
2020-03-20,64.9708
2020-03-21,24.85404
2020-03-22,20.43369
2020-03-23,63.05254
2020-03-24,72.39366
2020-03-25,85.65471
2020-03-26,82.90241
2020-03-27,68.14011
2020-03-28,32.27689
2020-03-29,24.77064
2020-03-30,67.97331
2020-03-31,79.98331
2020-04-01,86.40533
2020-04-02,98.41534
2020-04-03,74.64553
2020-04-04,33.77814
2020-04-05,26.77231
2020-04-06,68.72393
2020-04-07,77.31442
2020-04-08,71.64303
2020-04-09,83.31943
2020-04-10,77.73144
2020-04-11,27.43953
2020-04-12,23.603
2020-04-13,74.39532
2020-04-14,73.14428
2020-04-15,37.86488
2020-04-16,72.22685
2020-04-17,73.6447
2020-04-18,31.60967
2020-04-19,27.52293
2020-04-20,88.3236
2020-04-21,74.72894
2020-04-22,74.39532
2020-04-23,84.15346
2020-04-24,71.55963
2020-04-25,31.02585
2020-04-26,25.43786
2020-04-27,72.06005
2020-04-28,78.73227
2020-04-29,81.56797
2020-04-30,33.02752
2020-05-01,39.69974
2020-05-02,21.85154
2020-05-03,21.60133
2020-05-04,72.06005
2020-05-05,31.19266
2020-05-06,85.4879
2020-05-07,83.81984
2020-05-08,68.89074
2020-05-09,31.19266
2020-05-10,26.10508
2020-05-11,83.65304
2020-05-12,84.82068
2020-05-13,83.15262
2020-05-14,83.90325
2020-05-15,77.48123
2020-05-16,38.19849
2020-05-17,31.19266
2020-05-18,81.65137
2020-05-19,77.81484
2020-05-20,70.39199
2020-05-21,67.30608
2020-05-22,70.7256
2020-05-23,27.10592
2020-05-24,25.35446
2020-05-25,69.64136
2020-05-26,79.23269
2020-05-27,81.06755
2020-05-28,80.73394
2020-05-29,70.55879
2020-05-30,27.93994
2020-05-31,25.77147
2020-06-01,81.73477
2020-06-02,91.74311
2020-06-03,72.56046
2020-06-04,77.48123
2020-06-05,60.21684
2020-06-06,24.02001
2020-06-07,23.10258
2020-06-08,67.38949
2020-06-09,83.15262
2020-06-10,74.22852
2020-06-11,76.4804
2020-06-12,67.97331
2020-06-13,23.51959
2020-06-14,20.6839
2020-06-15,59.79983
2020-06-16,69.97497
2020-06-17,61.38448
2020-06-18,69.14095
2020-06-19,56.46371
2020-06-20,23.6864
2020-06-21,22.51876
2020-06-22,53.46121
2020-06-23,59.71643
2020-06-24,60.05004
2020-06-25,60.05004
2020-06-26,53.87823
2020-06-27,22.18515
2020-06-28,20.93411
2020-06-29,62.80233
2020-06-30,73.97831
2020-07-01,69.22435
2020-07-02,91.3261
2020-07-03,66.55546
2020-07-04,24.60383
2020-07-05,19.68306
2020-07-06,68.39032
2020-07-07,73.89491
2020-07-08,65.30442
2020-07-09,75.72977
2020-07-10,65.63803
2020-07-11,31.35946
2020-07-12,23.01918
2020-07-13,65.30442
2020-07-14,78.06505
2020-07-15,78.81567
2020-07-16,75.64637
2020-07-17,67.38949
2020-07-18,23.26939
2020-07-19,24.93744
2020-07-20,66.72226
2020-07-21,69.80817
2020-07-22,73.8115
2020-07-23,68.80733
2020-07-24,61.13427
2020-07-25,27.18932
2020-07-26,22.18515
2020-07-27,61.9683
2020-07-28,70.05838
2020-07-29,61.8849
2020-07-30,62.13511
2020-07-31,59.46622
2020-08-01,25.60467
2020-08-02,20.43369
2020-08-03,82.31859
2020-08-04,88.57381
2020-08-05,79.4829
2020-08-06,65.38782
2020-08-07,61.8849
2020-08-08,26.6055
2020-08-09,24.52043
2020-08-10,72.64386
2020-08-11,75.31276
2020-08-12,77.64804
2020-08-13,61.63469
2020-08-14,61.63469
2020-08-15,24.77064
2020-08-16,18.34862
2020-08-17,30.85904
2020-08-18,58.46538
2020-08-19,67.13928
2020-08-20,60.55045
2020-08-21,59.46622
2020-08-22,24.85404
2020-08-23,21.10091
2020-08-24,61.55129
2020-08-25,68.14011
2020-08-26,78.06505
2020-08-27,65.88824
2020-08-28,64.47039
2020-08-29,27.68974
2020-08-30,22.18515
2020-08-31,71.14261
2020-09-01,83.48623
2020-09-02,86.07172
2020-09-03,76.7306
2020-09-04,62.0517
2020-09-05,31.02585
2020-09-06,26.85571
2020-09-07,67.22268
2020-09-08,74.89574
2020-09-09,98.16513
2020-09-10,100.0
2020-09-11,75.97998
2020-09-12,32.6105
2020-09-13,25.43786
2020-09-14,75.72977
2020-09-15,70.6422
2020-09-16,75.97998
2020-09-17,68.39032
2020-09-18,59.71643
2020-09-19,26.5221
2020-09-20,21.18432
2020-09-21,61.9683
2020-09-22,77.56463
2020-09-23,70.30859
2020-09-24,61.9683
2020-09-25,63.21934
2020-09-26,25.18765
2020-09-27,21.76814
2020-09-28,61.8849
2020-09-29,54.87906
2020-09-30,16.76396
2020-10-01,14.51209
2020-10-02,20.6005
2020-10-03,22.93577
2020-10-04,25.35446
2020-10-05,77.06422
2020-10-06,83.15262
2020-10-07,76.89741
2020-10-08,66.88907
2020-10-09,30.19182
2020-10-10,25.43786
2020-10-11,21.93494
2020-10-12,78.64887
2020-10-13,75.31276
2020-10-14,75.14595
2020-10-15,67.8065
2020-10-16,58.9658
2020-10-17,23.18598
2020-10-18,21.68473
2020-10-19,73.22768
2020-10-20,67.13928
2020-10-21,63.71976
2020-10-22,68.47372
2020-10-23,55.04587
2020-10-24,23.7698
2020-10-25,23.6864
2020-10-26,61.21768
2020-10-27,76.81401
2020-10-28,64.804
2020-10-29,72.81067
2020-10-30,60.88407
2020-10-31,27.18932
2020-11-01,25.02085
2020-11-02,78.06505
2020-11-03,69.72477
2020-11-04,70.22518
2020-11-05,64.13678
2020-11-06,66.22185
2020-11-07,24.10341
2020-11-08,23.6864
2020-11-09,71.97664
2020-11-10,85.65471
2020-11-11,68.89074
2020-11-12,70.6422
2020-11-13,59.0492
2020-11-14,26.18849
2020-11-15,23.01918
2020-11-16,62.13511
2020-11-17,65.30442
2020-11-18,60.05004
2020-11-19,57.04753
2020-11-20,51.04253
2020-11-21,23.18598
2020-11-22,20.10008
2020-11-23,59.38281
2020-11-24,62.55212
2020-11-25,68.89074
2020-11-26,61.8849
2020-11-27,64.22018
2020-11-28,24.52043
2020-11-29,19.84987
2020-11-30,62.13511
2020-12-01,77.81484
2020-12-02,78.14845
2020-12-03,76.06338
2020-12-04,62.0517
2020-12-05,29.10758
2020-12-06,22.51876
2020-12-07,57.21434
2020-12-08,68.14011
2020-12-09,74.31192
2020-12-10,65.88824
2020-12-11,58.13177
2020-12-12,26.85571
2020-12-13,22.01834
2020-12-14,63.13594
2020-12-15,68.05671
2020-12-16,64.7206
2020-12-17,57.46455
2020-12-18,63.21934
2020-12-19,23.7698
2020-12-20,23.7698
2020-12-21,65.97164
2020-12-22,66.47206
2020-12-23,60.21684
2020-12-24,53.46121
2020-12-25,21.35112
2020-12-26,22.43536
2020-12-27,20.18348
2020-12-28,55.12927
2020-12-29,70.14178
2020-12-30,54.71226
2020-12-31,56.21351
2021-01-01,21.43452
2021-01-02,24.10341
2021-01-03,24.60383
2021-01-04,64.8874
2021-01-05,76.89741
2021-01-06,77.31442
2021-01-07,59.38281
2021-01-08,57.04753
2021-01-09,26.6055
2021-01-10,26.02168
2021-01-11,80.48373
2021-01-12,81.06755
2021-01-13,74.47873
2021-01-14,75.06255
2021-01-15,69.47456
2021-01-16,31.02585
2021-01-17,23.7698
2021-01-18,65.63803
2021-01-19,66.30525
2021-01-20,67.97331
2021-01-21,63.13594
2021-01-22,60.21684
2021-01-23,29.19099
2021-01-24,24.93744
2021-01-25,70.55879
2021-01-26,83.65304
2021-01-27,74.31192
2021-01-28,64.13678
2021-01-29,59.63302
2021-01-30,27.35613
2021-01-31,27.18932
2021-02-01,71.72643
2021-02-02,86.98915
2021-02-03,70.39199
2021-02-04,72.72727
2021-02-05,57.21434
2021-02-06,25.18765
2021-02-07,23.35279
2021-02-08,59.29941
2021-02-09,68.64053
