date,채권투자
2020-03-20,64.31593
2020-03-21,43.44146
2020-03-22,53.31452
2020-03-23,73.62482
2020-03-24,66.1495
2020-03-25,50.28208
2020-03-26,67.41889
2020-03-27,48.7306
2020-03-28,45.90973
2020-03-29,40.55007
2020-03-30,37.51763
2020-03-31,42.73624
2020-04-01,46.12129
2020-04-02,40.26798
2020-04-03,27.36248
2020-04-04,26.44569
2020-04-05,51.76304
2020-04-06,48.0959
2020-04-07,42.94781
2020-04-08,39.56276
2020-04-09,42.17207
2020-04-10,40.76163
2020-04-11,32.44005
2020-04-12,74.18899
2020-04-13,58.81523
2020-04-14,42.24259
2020-04-15,38.15232
2020-04-16,40.12693
2020-04-17,33.70944
2020-04-18,35.8251
2020-04-19,36.74188
2020-04-20,38.78702
2020-04-21,37.37658
2020-04-22,47.7433
2020-04-23,47.60225
2020-04-24,35.1904
2020-04-25,26.72778
2020-04-26,36.74188
2020-04-27,34.41466
2020-04-28,30.677
2020-04-29,34.41466
2020-04-30,25.95204
2020-05-01,23.41325
2020-05-02,20.0282
2020-05-03,23.20169
2020-05-04,29.19605
2020-05-05,26.23413
2020-05-06,27.78561
2020-05-07,31.52327
2020-05-08,25.66995
2020-05-09,20.23977
2020-05-10,21.15655
2020-05-11,54.51339
2020-05-12,41.9605
2020-05-13,56.20592
2020-05-14,58.3921
2020-05-15,38.78702
2020-05-16,29.61918
2020-05-17,27.433
2020-05-18,34.06205
2020-05-19,33.00423
2020-05-20,35.11988
2020-05-21,31.24118
2020-05-22,27.57404
2020-05-23,15.30324
2020-05-24,16.50211
2020-05-25,23.97743
2020-05-26,24.96473
2020-05-27,23.34273
2020-05-28,23.83638
2020-05-29,26.51622
2020-05-30,15.02115
2020-05-31,16.71368
2020-06-01,27.64456
2020-06-02,28.20874
2020-06-03,27.50352
2020-06-04,26.30465
2020-06-05,20.16925
2020-06-06,18.26516
2020-06-07,17.27785
2020-06-08,45.55712
2020-06-09,42.03102
2020-06-10,35.61354
2020-06-11,31.66431
2020-06-12,28.63187
2020-06-13,26.65726
2020-06-14,23.41325
2020-06-15,27.22143
2020-06-16,21.65021
2020-06-17,19.39351
2020-06-18,20.0282
2020-06-19,20.45133
2020-06-20,13.82228
2020-06-21,13.46967
2020-06-22,25.66995
2020-06-23,24.75317
2020-06-24,24.11847
2020-06-25,26.02256
