date,추심
2020-03-20,7.38166
2020-03-21,3.09917
2020-03-22,3.23065
2020-03-23,8.11419
2020-03-24,9.14725
2020-03-25,9.33508
2020-03-26,9.18482
2020-03-27,8.90308
2020-03-28,3.88805
2020-03-29,3.287
2020-03-30,8.13298
2020-03-31,8.41472
2020-04-01,8.32081
2020-04-02,9.27873
2020-04-03,7.94515
2020-04-04,3.32456
2020-04-05,2.96769
2020-04-06,7.49436
2020-04-07,9.56048
2020-04-08,8.39594
2020-04-09,9.12847
2020-04-10,8.35837
2020-04-11,3.47483
2020-04-12,3.287
2020-04-13,7.96393
2020-04-14,8.50864
2020-04-15,5.97295
2020-04-16,8.11419
2020-04-17,8.32081
2020-04-18,3.43726
2020-04-19,3.8317
2020-04-20,8.05785
2020-04-21,8.82794
2020-04-22,8.99699
2020-04-23,8.82794
2020-04-24,7.94515
2020-04-25,3.81292
2020-04-26,3.9444
2020-04-27,8.45229
2020-04-28,8.79038
2020-04-29,8.50864
2020-04-30,4.00075
2020-05-01,4.82719
2020-05-02,3.43726
2020-05-03,3.98196
2020-05-04,7.02479
2020-05-05,4.52667
2020-05-06,8.18933
2020-05-07,8.41472
2020-05-08,7.64462
2020-05-09,3.88805
2020-05-10,4.01953
2020-05-11,8.6589
2020-05-12,8.92186
2020-05-13,9.44778
2020-05-14,10.31179
2020-05-15,8.4335
2020-05-16,3.98196
2020-05-17,3.66265
2020-05-18,8.56498
2020-05-19,9.18482
2020-05-20,10.36814
2020-05-21,8.64012
2020-05-22,8.22689
2020-05-23,3.58752
2020-05-24,4.58302
2020-05-25,8.95942
2020-05-26,9.67317
2020-05-27,8.69646
2020-05-28,8.20811
2020-05-29,8.13298
2020-05-30,4.16979
2020-05-31,4.30127
2020-06-01,8.30202
2020-06-02,9.46656
2020-06-03,8.64012
2020-06-04,10.01126
2020-06-05,7.87002
2020-06-06,4.33884
2020-06-07,3.47483
2020-06-08,8.52742
2020-06-09,9.9737
2020-06-10,8.7716
2020-06-11,8.94064
2020-06-12,9.41021
2020-06-13,4.45154
2020-06-14,4.01953
2020-06-15,9.93613
2020-06-16,10.7438
2020-06-17,8.84673
2020-06-18,8.92186
2020-06-19,9.03456
2020-06-20,4.67693
2020-06-21,5.12772
2020-06-22,10.66867
2020-06-23,9.37265
2020-06-24,9.2036
2020-06-25,9.82344
2020-06-26,8.90308
2020-06-27,3.96318
2020-06-28,3.287
2020-06-29,8.45229
2020-06-30,8.56498
2020-07-01,8.64012
2020-07-02,9.18482
2020-07-03,7.51314
2020-07-04,2.85499
2020-07-05,3.32456
2020-07-06,8.56498
2020-07-07,9.69196
2020-07-08,9.429
2020-07-09,8.92186
2020-07-10,8.22689
2020-07-11,3.85048
2020-07-12,3.36213
2020-07-13,8.39594
2020-07-14,8.67768
2020-07-15,8.52742
2020-07-16,9.24117
2020-07-17,8.07663
2020-07-18,2.98647
2020-07-19,4.05709
2020-07-20,7.58827
2020-07-21,8.94064
2020-07-22,8.67768
2020-07-23,8.84673
2020-07-24,7.25018
2020-07-25,3.53117
2020-07-26,3.21187
2020-07-27,7.68219
2020-07-28,8.09541
2020-07-29,8.13298
2020-07-30,8.39594
2020-07-31,7.55071
2020-08-01,3.23065
2020-08-02,2.77986
2020-08-03,6.59278
2020-08-04,9.80465
2020-08-05,7.96393
2020-08-06,7.36288
2020-08-07,7.2314
2020-08-08,3.30578
2020-08-09,3.23065
2020-08-10,7.51314
2020-08-11,9.41021
2020-08-12,8.39594
2020-08-13,8.26446
2020-08-14,7.3441
2020-08-15,3.41848
2020-08-16,2.98647
2020-08-17,4.13223
2020-08-18,7.58827
2020-08-19,8.07663
2020-08-20,7.32531
2020-08-21,6.91209
2020-08-22,2.83621
2020-08-23,3.51239
2020-08-24,7.56949
2020-08-25,8.33959
2020-08-26,8.41472
2020-08-27,7.75732
2020-08-28,7.1187
2020-08-29,3.66265
2020-08-30,3.287
2020-08-31,6.78061
2020-09-01,8.20811
2020-09-02,8.4335
2020-09-03,8.5462
2020-09-04,6.6867
2020-09-05,4.16979
2020-09-06,3.64387
2020-09-07,8.94064
2020-09-08,8.73403
2020-09-09,12.24643
2020-09-10,13.09166
2020-09-11,8.02028
2020-09-12,4.32006
2020-09-13,3.88805
2020-09-14,8.97821
2020-09-15,9.72952
2020-09-16,9.63561
2020-09-17,9.59804
2020-09-18,7.70097
2020-09-19,3.47483
2020-09-20,3.51239
2020-09-21,7.75732
2020-09-22,7.83245
2020-09-23,9.39143
2020-09-24,7.96393
2020-09-25,7.53193
2020-09-26,3.21187
2020-09-27,3.00525
2020-09-28,7.04357
2020-09-29,6.25469
2020-09-30,3.26821
2020-10-01,2.27272
2020-10-02,2.94891
2020-10-03,3.66265
2020-10-04,3.8317
2020-10-05,7.53193
2020-10-06,7.92637
2020-10-07,7.92637
2020-10-08,7.8888
2020-10-09,3.66265
2020-10-10,4.30127
2020-10-11,4.95867
2020-10-12,8.52742
2020-10-13,8.73403
2020-10-14,9.12847
2020-10-15,9.16604
2020-10-16,8.30202
2020-10-17,4.7145
2020-10-18,4.88354
2020-10-19,9.03456
2020-10-20,8.90308
2020-10-21,9.57926
2020-10-22,9.29752
2020-10-23,7.56949
2020-10-24,4.24492
2020-10-25,4.26371
2020-10-26,7.30653
2020-10-27,9.2036
2020-10-28,8.50864
2020-10-29,9.18482
2020-10-30,7.45679
2020-10-31,3.287
2020-11-01,3.85048
2020-11-02,8.39594
2020-11-03,8.07663
2020-11-04,7.25018
2020-11-05,8.11419
2020-11-06,7.13749
2020-11-07,3.54996
2020-11-08,3.49361
2020-11-09,8.22689
2020-11-10,9.71074
2020-11-11,8.24567
2020-11-12,8.52742
2020-11-13,7.19383
2020-11-14,3.60631
2020-11-15,3.66265
2020-11-16,8.28324
2020-11-17,9.25995
2020-11-18,8.75281
2020-11-19,9.16604
2020-11-20,8.41472
2020-11-21,4.45154
2020-11-22,3.51239
2020-11-23,7.92637
2020-11-24,8.24567
2020-11-25,8.95942
2020-11-26,8.90308
2020-11-27,7.32531
2020-11-28,3.64387
2020-11-29,3.19308
2020-11-30,7.96393
2020-12-01,8.28324
2020-12-02,7.53193
2020-12-03,8.60255
2020-12-04,7.41923
2020-12-05,3.81292
2020-12-06,4.56423
2020-12-07,9.37265
2020-12-08,8.58377
2020-12-09,8.73403
2020-12-10,8.71525
2020-12-11,8.0015
2020-12-12,4.18858
2020-12-13,4.93989
2020-12-14,8.41472
2020-12-15,9.29752
2020-12-16,8.45229
2020-12-17,8.0015
2020-12-18,6.93087
2020-12-19,3.51239
2020-12-20,3.77535
2020-12-21,7.28775
2020-12-22,7.13749
2020-12-23,7.25018
2020-12-24,5.87903
2020-12-25,2.61081
2020-12-26,2.77986
2020-12-27,3.32456
2020-12-28,7.19383
2020-12-29,7.7761
2020-12-30,7.40045
2020-12-31,6.21712
2021-01-01,3.56874
2021-01-02,2.87377
2021-01-03,3.96318
2021-01-04,7.70097
2021-01-05,8.99699
2021-01-06,8.15176
2021-01-07,8.07663
2021-01-08,7.26897
2021-01-09,3.96318
2021-01-10,4.03831
2021-01-11,7.30653
2021-01-12,8.6589
2021-01-13,9.39143
2021-01-14,9.12847
2021-01-15,9.67317
2021-01-16,4.50788
2021-01-17,4.30127
2021-01-18,8.5462
2021-01-19,9.57926
2021-01-20,9.16604
2021-01-21,8.58377
2021-01-22,7.1187
2021-01-23,3.96318
2021-01-24,4.24492
2021-01-25,7.70097
2021-01-26,8.5462
2021-01-27,9.0909
2021-01-28,8.22689
2021-01-29,7.7761
2021-01-30,4.20736
2021-01-31,3.86927
2021-02-01,7.98271
2021-02-02,8.6589
2021-02-03,8.32081
2021-02-04,8.35837
2021-02-05,7.32531
2021-02-06,4.01953
2021-02-07,3.92561
2021-02-08,7.83245
2021-02-09,7.71975
2021-02-10,6.79939
2021-02-11,3.287
2021-02-12,3.09917
2021-02-13,3.00525
2021-02-14,3.49361
2021-02-15,7.1187
2021-02-16,9.05334
2021-02-17,8.5462
2021-02-18,8.71525
2021-02-19,8.02028
2021-02-20,3.62509
2021-02-21,3.62509
2021-02-22,7.51314
2021-02-23,6.93087
2021-02-24,7.81367
2021-02-25,7.60706
2021-02-26,7.53193
2021-02-27,5.27798
2021-02-28,3.56874
2021-03-01,3.68144
2021-03-02,7.81367
2021-03-03,8.56498
2021-03-04,7.53193
2021-03-05,7.73854
2021-03-06,3.92561
2021-03-07,3.39969
2021-03-08,8.45229
2021-03-09,8.48985
2021-03-10,8.47107
2021-03-11,9.29752
2021-03-12,7.81367
2021-03-13,4.67693
2021-03-14,4.32006
2021-03-15,7.94515
2021-03-16,9.07212
2021-03-17,9.16604
2021-03-18,8.56498
2021-03-19,8.05785
2021-03-20,3.36213
2021-03-21,3.21187
2021-03-22,8.75281
2021-03-23,9.22238
2021-03-24,8.4335
2021-03-25,9.10969
2021-03-26,6.85574
2021-03-27,4.11344
2021-03-28,3.75657
2021-03-29,8.11419
2021-03-30,8.7716
2021-03-31,8.22689
2021-04-01,7.98271
2021-04-02,7.13749
2021-04-03,3.9444
2021-04-04,3.88805
2021-04-05,7.2314
2021-04-06,9.01577
2021-04-07,8.86551
2021-04-08,8.15176
2021-04-09,7.70097
2021-04-10,4.11344
2021-04-11,3.39969
2021-04-12,8.56498
2021-04-13,8.45229
2021-04-14,8.88429
2021-04-15,9.89857
2021-04-16,8.45229
2021-04-17,6.55522
2021-04-18,6.19834
2021-04-19,8.99699
2021-04-20,9.87978
2021-04-21,11.51389
2021-04-22,9.99248
2021-04-23,8.52742
2021-04-24,3.64387
2021-04-25,3.68144
2021-04-26,8.07663
2021-04-27,7.98271
2021-04-28,7.66341
2021-04-29,8.37716
2021-04-30,6.574
2021-05-01,3.36213
2021-05-02,3.38091
2021-05-03,7.45679
2021-05-04,7.13749
2021-05-05,4.39519
2021-05-06,7.45679
2021-05-07,6.78061
2021-05-08,3.62509
2021-05-09,3.56874
2021-05-10,8.47107
2021-05-11,8.56498
2021-05-12,8.92186
2021-05-13,8.84673
2021-05-14,7.3441
2021-05-15,3.90683
2021-05-16,3.68144
2021-05-17,9.10969
2021-05-18,8.37716
2021-05-19,4.73328
2021-05-20,8.60255
2021-05-21,8.02028
2021-05-22,3.88805
2021-05-23,3.60631
2021-05-24,8.17054
2021-05-25,8.99699
2021-05-26,8.84673
2021-05-27,8.45229
2021-05-28,7.92637
2021-05-29,4.45154
2021-05-30,4.18858
2021-05-31,7.85123
2021-06-01,8.84673
2021-06-02,8.95942
2021-06-03,9.22238
2021-06-04,9.01577
2021-06-05,4.39519
2021-06-06,4.16979
2021-06-07,10.06761
2021-06-08,9.78587
2021-06-09,10.5184
2021-06-10,10.4057
2021-06-11,8.26446
2021-06-12,4.63936
2021-06-13,4.73328
2021-06-14,8.4335
2021-06-15,8.88429
2021-06-16,9.33508
