date,카드사
2020-03-20,11.44321
2020-03-21,5.20922
2020-03-22,5.03842
2020-03-23,15.54227
2020-03-24,15.79846
2020-03-25,15.28608
2020-03-26,15.37147
2020-03-27,11.10162
2020-03-28,5.89239
2020-03-29,4.09906
2020-03-30,15.02988
2020-03-31,14.5175
2020-04-01,14.6029
2020-04-02,12.63877
2020-04-03,11.6994
2020-04-04,4.69684
2020-04-05,4.69684
2020-04-06,15.54227
2020-04-07,14.85909
2020-04-08,15.20068
2020-04-09,17.5064
2020-04-10,15.71306
2020-04-11,6.14859
2020-04-12,6.40478
2020-04-13,20.4099
2020-04-14,15.54227
2020-04-15,7.17335
2020-04-16,16.56703
2020-04-17,23.4842
2020-04-18,6.40478
2020-04-19,6.49017
2020-04-20,17.67719
2020-04-21,19.64133
2020-04-22,15.45687
2020-04-23,19.29974
2020-04-24,14.09052
2020-04-25,4.44064
2020-04-26,5.97779
2020-04-27,17.25021
2020-04-28,16.05465
2020-04-29,19.98292
2020-04-30,13.66353
2020-05-01,14.77369
2020-05-02,7.34415
2020-05-03,10.07685
2020-05-04,32.62169
2020-05-05,16.31084
2020-05-06,28.26643
2020-05-07,28.69342
2020-05-08,29.46199
2020-05-09,13.23654
2020-05-10,20.4099
2020-05-11,64.38941
2020-05-12,41.75918
2020-05-13,33.56105
2020-05-14,31.93851
2020-05-15,31.08454
2020-05-16,11.35781
2020-05-17,10.24765
2020-05-18,24.93595
2020-05-19,21.00768
2020-05-20,19.64133
2020-05-21,17.84799
2020-05-22,17.5064
2020-05-23,5.6362
2020-05-24,6.14859
2020-05-25,15.96925
2020-05-26,17.16481
2020-05-27,17.33561
2020-05-28,14.00512
2020-05-29,13.49274
2020-05-30,3.84286
2020-05-31,5.38001
2020-06-01,15.45687
2020-06-02,16.22544
2020-06-03,16.05465
2020-06-04,16.14005
2020-06-05,15.88385
2020-06-06,5.12382
2020-06-07,8.36891
2020-06-08,19.12894
2020-06-09,20.06831
2020-06-10,17.07941
2020-06-11,15.71306
2020-06-12,13.06575
2020-06-13,6.31938
2020-06-14,12.98035
2020-06-15,26.64389
2020-06-16,17.07941
2020-06-17,15.62766
2020-06-18,15.54227
2020-06-19,12.80956
2020-06-20,5.7216
2020-06-21,5.38001
2020-06-22,15.54227
2020-06-23,15.79846
2020-06-24,14.4321
2020-06-25,15.28608
2020-06-26,13.57813
2020-06-27,5.29461
2020-06-28,6.49017
2020-06-29,14.6029
2020-06-30,11.44321
2020-07-01,12.21178
2020-07-02,12.98035
2020-07-03,12.98035
2020-07-04,5.46541
2020-07-05,4.61144
2020-07-06,14.34671
2020-07-07,16.39624
2020-07-08,15.45687
2020-07-09,14.26131
2020-07-10,14.17591
2020-07-11,5.20922
2020-07-12,5.38001
2020-07-13,13.91972
2020-07-14,14.34671
2020-07-15,13.66353
2020-07-16,13.06575
2020-07-17,15.11528
2020-07-18,5.03842
2020-07-19,5.97779
2020-07-20,16.73783
2020-07-21,16.48163
2020-07-22,11.10162
2020-07-23,11.35781
2020-07-24,12.72416
2020-07-25,4.78223
2020-07-26,5.807
2020-07-27,14.6029
2020-07-28,13.66353
2020-07-29,11.18701
2020-07-30,13.40734
2020-07-31,10.24765
2020-08-01,2.9035
2020-08-02,6.23398
2020-08-03,11.27241
2020-08-04,12.38257
2020-08-05,13.15115
2020-08-06,11.10162
2020-08-07,10.07685
2020-08-08,4.26985
2020-08-09,4.61144
2020-08-10,12.89496
2020-08-11,13.91972
2020-08-12,12.38257
2020-08-13,17.93339
2020-08-14,15.96925
2020-08-15,7.25875
2020-08-16,5.12382
2020-08-17,8.96669
2020-08-18,14.4321
2020-08-19,12.55337
2020-08-20,12.72416
2020-08-21,11.35781
2020-08-22,3.75747
2020-08-23,4.61144
2020-08-24,14.94449
2020-08-25,14.94449
2020-08-26,14.94449
2020-08-27,13.91972
2020-08-28,12.21178
2020-08-29,5.12382
2020-08-30,5.97779
2020-08-31,14.77369
2020-09-01,15.45687
2020-09-02,13.23654
2020-09-03,14.94449
2020-09-04,12.38257
2020-09-05,4.26985
2020-09-06,5.20922
2020-09-07,13.15115
2020-09-08,14.94449
2020-09-09,14.6883
2020-09-10,14.85909
2020-09-11,16.05465
2020-09-12,4.26985
2020-09-13,6.57557
2020-09-14,17.16481
2020-09-15,15.20068
2020-09-16,12.80956
2020-09-17,11.95559
2020-09-18,12.46797
2020-09-19,5.38001
2020-09-20,6.23398
2020-09-21,11.35781
2020-09-22,11.44321
2020-09-23,12.55337
2020-09-24,14.26131
2020-09-25,11.27241
2020-09-26,5.807
2020-09-27,2.8181
2020-09-28,10.84543
2020-09-29,10.16225
2020-09-30,4.01366
2020-10-01,2.8181
2020-10-02,3.24508
2020-10-03,4.26985
2020-10-04,6.40478
2020-10-05,14.85909
2020-10-06,13.32194
2020-10-07,13.74893
2020-10-08,10.76003
2020-10-09,4.52604
2020-10-10,4.18445
2020-10-11,4.78223
2020-10-12,13.83432
2020-10-13,13.15115
2020-10-14,11.6994
2020-10-15,14.6029
2020-10-16,11.6994
2020-10-17,5.20922
2020-10-18,6.83176
2020-10-19,14.26131
2020-10-20,10.58923
2020-10-21,10.50384
2020-10-22,12.46797
2020-10-23,11.5286
2020-10-24,4.78223
2020-10-25,4.61144
2020-10-26,11.01622
2020-10-27,11.01622
2020-10-28,11.5286
2020-10-29,11.35781
2020-10-30,11.5286
2020-10-31,5.807
2020-11-01,4.61144
2020-11-02,13.83432
2020-11-03,12.12638
2020-11-04,12.46797
2020-11-05,11.35781
2020-11-06,12.21178
2020-11-07,4.35525
2020-11-08,4.09906
2020-11-09,12.46797
2020-11-10,14.17591
2020-11-11,12.04099
2020-11-12,11.01622
2020-11-13,9.82066
2020-11-14,4.69684
2020-11-15,4.35525
2020-11-16,9.39368
2020-11-17,14.26131
2020-11-18,12.46797
2020-11-19,12.80956
2020-11-20,9.73526
2020-11-21,4.61144
2020-11-22,4.61144
2020-11-23,14.17591
2020-11-24,12.38257
2020-11-25,11.18701
2020-11-26,11.44321
2020-11-27,12.12638
2020-11-28,5.38001
2020-11-29,3.33048
2020-11-30,9.73526
2020-12-01,9.22288
2020-12-02,11.87019
2020-12-03,14.6883
2020-12-04,12.12638
2020-12-05,4.44064
2020-12-06,4.78223
2020-12-07,13.40734
2020-12-08,11.18701
2020-12-09,11.95559
2020-12-10,12.89496
2020-12-11,11.35781
2020-12-12,4.35525
2020-12-13,3.84286
2020-12-14,9.64987
2020-12-15,10.58923
2020-12-16,10.93082
2020-12-17,10.24765
2020-12-18,9.64987
2020-12-19,3.75747
2020-12-20,4.52604
2020-12-21,12.46797
2020-12-22,11.95559
2020-12-23,10.93082
2020-12-24,10.24765
2020-12-25,3.67207
2020-12-26,4.69684
2020-12-27,6.31938
2020-12-28,14.34671
2020-12-29,19.12894
2020-12-30,13.49274
2020-12-31,11.95559
2021-01-01,5.55081
2021-01-02,4.26985
2021-01-03,5.89239
2021-01-04,14.00512
2021-01-05,16.56703
2021-01-06,13.91972
2021-01-07,15.37147
2021-01-08,11.35781
2021-01-09,5.55081
2021-01-10,8.02732
2021-01-11,17.16481
2021-01-12,14.6029
2021-01-13,14.94449
2021-01-14,15.11528
2021-01-15,15.88385
2021-01-16,6.91716
2021-01-17,6.23398
2021-01-18,13.32194
2021-01-19,17.76259
2021-01-20,12.98035
2021-01-21,14.94449
2021-01-22,12.21178
2021-01-23,6.14859
