date,카카오뱅크주가
2020-03-20,0.04568
2020-03-21,0.01809
2020-03-22,0.0139
2020-03-23,0.03442
2020-03-24,0.02913
2020-03-25,0.02582
2020-03-26,0.01897
2020-03-27,0.02008
2020-03-28,0.00971
2020-03-29,0.01302
2020-03-30,0.01522
2020-03-31,0.01677
2020-04-01,0.02824
2020-04-02,0.01544
2020-04-03,0.01633
2020-04-04,0.00816
2020-04-05,0.01235
2020-04-06,0.00971
2020-04-07,0.01169
2020-04-08,0.01456
2020-04-09,0.01125
2020-04-10,0.00728
2020-04-11,0.0075
2020-04-12,0.03199
2020-04-13,0.01677
2020-04-14,0.01147
2020-04-15,0.01169
2020-04-16,0.0214
2020-04-17,0.01081
2020-04-18,0.00617
2020-04-19,0.00573
2020-04-20,0.01677
2020-04-21,0.01125
2020-04-22,0.01809
2020-04-23,0.01897
2020-04-24,0.01831
2020-04-25,0.00772
2020-04-26,0.01213
2020-04-27,0.04943
2020-04-28,0.03001
2020-04-29,0.01986
2020-04-30,0.02802
2020-05-01,0.01522
2020-05-02,0.00772
2020-05-03,0.01743
2020-05-04,0.02913
2020-05-05,0.01588
2020-05-06,0.12556
2020-05-07,0.06532
2020-05-08,0.0342
2020-05-09,0.02074
2020-05-10,0.06179
2020-05-11,0.04082
2020-05-12,0.02846
2020-05-13,0.01611
2020-05-14,0.01897
2020-05-15,0.01522
2020-05-16,0.01478
2020-05-17,0.01059
2020-05-18,0.01677
2020-05-19,0.02758
2020-05-20,0.03244
2020-05-21,0.03177
2020-05-22,0.02559
2020-05-23,0.01522
2020-05-24,0.01677
2020-05-25,0.02979
2020-05-26,0.0278
2020-05-27,0.02405
2020-05-28,0.02471
2020-05-29,0.01986
2020-05-30,0.01346
2020-05-31,0.01478
2020-06-01,0.02449
2020-06-02,0.03067
2020-06-03,0.03508
2020-06-04,0.0203
2020-06-05,0.0214
2020-06-06,0.00993
2020-06-07,0.02074
2020-06-08,0.03354
2020-06-09,0.0214
2020-06-10,0.02052
2020-06-11,0.0225
2020-06-12,0.01765
2020-06-13,0.0086
2020-06-14,0.01191
2020-06-15,0.06708
2020-06-16,0.03045
2020-06-17,0.0214
2020-06-18,0.02339
2020-06-19,0.01964
2020-06-20,0.01721
2020-06-21,0.01456
2020-06-22,0.015
2020-06-23,0.01765
2020-06-24,0.01986
2020-06-25,0.01919
2020-06-26,0.01169
2020-06-27,0.01169
2020-06-28,0.01412
2020-06-29,0.01853
2020-06-30,0.01368
2020-07-01,0.0139
2020-07-02,0.01302
2020-07-03,0.0214
2020-07-04,0.00971
2020-07-05,0.01324
2020-07-06,0.03111
2020-07-07,0.02979
2020-07-08,0.02736
2020-07-09,0.03155
2020-07-10,0.0203
2020-07-11,0.01169
2020-07-12,0.01191
2020-07-13,0.02449
2020-07-14,0.02008
2020-07-15,0.01809
2020-07-16,0.02295
2020-07-17,0.01942
2020-07-18,0.01302
2020-07-19,0.01103
2020-07-20,0.02273
2020-07-21,0.0203
2020-07-22,0.0225
2020-07-23,0.0214
2020-07-24,0.0203
2020-07-25,0.00926
2020-07-26,0.01721
2020-07-27,0.02935
2020-07-28,0.0225
2020-07-29,0.01611
2020-07-30,0.01809
2020-07-31,0.01677
2020-08-01,0.015
2020-08-02,0.01346
2020-08-03,0.02184
2020-08-04,0.02295
2020-08-05,0.09334
2020-08-06,0.07083
2020-08-07,0.04369
2020-08-08,0.02648
2020-08-09,0.02096
2020-08-10,0.04391
2020-08-11,0.03111
2020-08-12,0.04369
2020-08-13,0.03288
2020-08-14,0.02913
2020-08-15,0.01633
2020-08-16,0.0139
2020-08-17,0.02339
2020-08-18,0.02405
2020-08-19,0.03288
2020-08-20,0.03222
2020-08-21,0.02515
2020-08-22,0.01699
2020-08-23,0.01875
2020-08-24,0.03288
2020-08-25,0.0267
