date,카페인테리어소품
2020-03-20,50.0
2020-03-21,61.3402
2020-03-22,60.30927
2020-03-23,79.8969
2020-03-24,69.58762
2020-03-25,61.3402
2020-03-26,61.3402
2020-03-27,51.54639
2020-03-28,58.76288
2020-03-29,57.21649
2020-03-30,73.71134
2020-03-31,75.77319
2020-04-01,60.82474
2020-04-02,66.49484
2020-04-03,52.57731
2020-04-04,65.46391
2020-04-05,69.58762
2020-04-06,68.04123
2020-04-07,47.42268
2020-04-08,41.75257
2020-04-09,54.12371
2020-04-10,56.70103
2020-04-11,54.12371
2020-04-12,65.97938
2020-04-13,54.12371
2020-04-14,62.37113
2020-04-15,55.6701
2020-04-16,65.97938
2020-04-17,58.24742
2020-04-18,41.75257
2020-04-19,67.0103
2020-04-20,70.10309
2020-04-21,82.98969
2020-04-22,62.88659
2020-04-23,69.58762
2020-04-24,57.73195
2020-04-25,44.84536
2020-04-26,50.51546
2020-04-27,64.94845
2020-04-28,62.88659
2020-04-29,64.43298
2020-04-30,54.12371
2020-05-01,54.12371
2020-05-02,55.15463
2020-05-03,57.21649
2020-05-04,60.30927
2020-05-05,54.63917
2020-05-06,60.30927
2020-05-07,54.63917
2020-05-08,41.75257
2020-05-09,45.36082
2020-05-10,53.09278
2020-05-11,59.27835
2020-05-12,55.6701
2020-05-13,45.36082
2020-05-14,63.91752
2020-05-15,53.09278
2020-05-16,46.90721
2020-05-17,53.60824
2020-05-18,55.6701
2020-05-19,60.30927
2020-05-20,48.96907
2020-05-21,51.03092
2020-05-22,48.96907
2020-05-23,46.39175
2020-05-24,44.84536
2020-05-25,39.69072
2020-05-26,51.54639
2020-05-27,46.90721
2020-05-28,50.51546
2020-05-29,39.69072
2020-05-30,47.42268
2020-05-31,63.40206
2020-06-01,58.76288
2020-06-02,69.58762
2020-06-03,66.49484
2020-06-04,56.18556
2020-06-05,56.18556
2020-06-06,42.7835
2020-06-07,48.4536
2020-06-08,50.51546
2020-06-09,65.97938
2020-06-10,52.57731
2020-06-11,67.0103
2020-06-12,47.93814
2020-06-13,50.0
2020-06-14,53.09278
2020-06-15,63.91752
2020-06-16,70.61855
2020-06-17,59.27835
2020-06-18,62.88659
2020-06-19,43.29896
2020-06-20,57.21649
2020-06-21,40.72164
2020-06-22,48.4536
2020-06-23,46.90721
2020-06-24,59.27835
2020-06-25,58.24742
2020-06-26,53.60824
2020-06-27,55.6701
2020-06-28,45.36082
2020-06-29,42.7835
2020-06-30,43.29896
2020-07-01,53.09278
2020-07-02,43.81443
2020-07-03,59.27835
2020-07-04,52.06185
2020-07-05,39.69072
2020-07-06,57.21649
2020-07-07,59.27835
2020-07-08,68.04123
2020-07-09,62.88659
2020-07-10,40.72164
2020-07-11,54.12371
2020-07-12,50.51546
2020-07-13,55.6701
2020-07-14,63.40206
2020-07-15,68.5567
2020-07-16,48.4536
2020-07-17,59.79381
2020-07-18,32.98969
2020-07-19,40.20618
2020-07-20,60.30927
2020-07-21,61.3402
2020-07-22,67.52577
2020-07-23,53.09278
2020-07-24,45.87628
2020-07-25,53.09278
2020-07-26,49.48453
2020-07-27,46.39175
2020-07-28,53.09278
2020-07-29,50.51546
2020-07-30,51.03092
2020-07-31,45.87628
2020-08-01,43.81443
2020-08-02,53.60824
2020-08-03,46.90721
2020-08-04,49.48453
2020-08-05,54.12371
2020-08-06,50.51546
2020-08-07,50.51546
2020-08-08,51.54639
2020-08-09,56.18556
2020-08-10,51.03092
2020-08-11,38.65979
2020-08-12,40.72164
2020-08-13,42.26804
2020-08-14,40.72164
2020-08-15,43.29896
2020-08-16,29.8969
2020-08-17,46.39175
2020-08-18,47.93814
2020-08-19,32.47422
2020-08-20,46.39175
2020-08-21,42.26804
2020-08-22,50.0
2020-08-23,42.7835
2020-08-24,40.72164
2020-08-25,45.36082
2020-08-26,51.03092
2020-08-27,43.29896
2020-08-28,42.7835
2020-08-29,53.09278
2020-08-30,45.87628
2020-08-31,49.48453
2020-09-01,46.90721
2020-09-02,64.43298
2020-09-03,38.65979
2020-09-04,64.94845
2020-09-05,43.29896
2020-09-06,60.82474
2020-09-07,52.06185
2020-09-08,44.32989
2020-09-09,68.04123
2020-09-10,48.4536
2020-09-11,53.60824
2020-09-12,40.20618
2020-09-13,57.21649
2020-09-14,43.29896
2020-09-15,45.36082
2020-09-16,61.85567
2020-09-17,62.37113
2020-09-18,41.75257
2020-09-19,38.65979
2020-09-20,46.39175
2020-09-21,48.4536
2020-09-22,64.94845
2020-09-23,40.72164
2020-09-24,52.57731
2020-09-25,46.39175
2020-09-26,38.65979
2020-09-27,43.29896
2020-09-28,40.72164
2020-09-29,28.86597
2020-09-30,27.31958
2020-10-01,27.31958
2020-10-02,33.50515
2020-10-03,27.83505
2020-10-04,36.59793
2020-10-05,34.53608
2020-10-06,57.21649
2020-10-07,57.21649
2020-10-08,42.7835
2020-10-09,45.87628
2020-10-10,32.98969
2020-10-11,43.29896
2020-10-12,38.14432
2020-10-13,30.41237
