date,캐쉬백
2020-03-20,1.85763
2020-03-21,1.51582
2020-03-22,1.7536
2020-03-23,2.25887
2020-03-24,1.85763
2020-03-25,2.22915
2020-03-26,2.27374
2020-03-27,2.48179
2020-03-28,1.78332
2020-03-29,2.13999
2020-03-30,4.97845
2020-03-31,3.03165
2020-04-01,2.94248
2020-04-02,2.76415
2020-04-03,2.68984
2020-04-04,2.98707
2020-04-05,3.41804
2020-04-06,5.54317
2020-04-07,4.8447
2020-04-08,8.3519
2020-04-09,9.25843
2020-04-10,7.1333
2020-04-11,10.23926
2020-04-12,8.05468
2020-04-13,9.97176
2020-04-14,7.69802
2020-04-15,22.64823
2020-04-16,21.60796
2020-04-17,18.04131
2020-04-18,20.86491
2020-04-19,100.0
2020-04-20,75.80621
2020-04-21,40.42205
2020-04-22,22.03893
2020-04-23,24.59503
2020-04-24,17.25367
2020-04-25,13.40466
2020-04-26,76.17773
2020-04-27,53.49977
2020-04-28,25.51642
2020-04-29,12.45355
2020-04-30,14.86104
2020-05-01,11.41328
2020-05-02,13.95452
2020-05-03,21.68227
2020-05-04,14.2666
2020-05-05,9.73398
2020-05-06,7.22246
2020-05-07,7.32649
2020-05-08,7.10358
2020-05-09,6.88066
2020-05-10,12.39411
2020-05-11,8.91662
2020-05-12,6.47941
2020-05-13,7.26705
2020-05-14,6.55372
2020-05-15,5.7958
2020-05-16,4.50289
2020-05-17,9.4219
2020-05-18,7.11844
2020-05-19,6.27136
2020-05-20,5.05275
2020-05-21,5.40942
2020-05-22,4.54748
2020-05-23,3.55179
2020-05-24,4.23539
2020-05-25,4.69609
2020-05-26,3.92331
2020-05-27,3.64095
2020-05-28,3.46262
2020-05-29,3.55179
2020-05-30,2.71957
2020-05-31,3.65581
2020-06-01,3.7004
2020-06-02,3.7004
2020-06-03,3.01679
2020-06-04,3.65581
2020-06-05,2.5561
2020-06-06,2.31832
2020-06-07,2.80873
2020-06-08,2.92762
2020-06-09,2.46693
2020-06-10,2.70471
2020-06-11,2.49665
2020-06-12,2.3629
2020-06-13,1.91707
2020-06-14,2.27374
2020-06-15,3.04651
2020-06-16,2.73443
2020-06-17,2.67498
2020-06-18,2.51151
2020-06-19,2.31832
2020-06-20,1.61985
2020-06-21,2.37776
2020-06-22,2.51151
2020-06-23,1.90221
2020-06-24,2.30346
2020-06-25,2.03596
2020-06-26,2.25887
2020-06-27,1.90221
2020-06-28,7.07385
2020-06-29,4.51775
2020-06-30,3.95303
2020-07-01,2.85332
2020-07-02,3.03165
2020-07-03,2.43721
2020-07-04,1.91707
2020-07-05,2.19943
2020-07-06,2.21429
2020-07-07,2.64526
2020-07-08,2.22915
2020-07-09,2.30346
2020-07-10,1.99138
2020-07-11,1.60499
2020-07-12,1.81304
2020-07-13,2.12513
2020-07-14,2.06568
2020-07-15,2.11026
2020-07-16,2.0211
2020-07-17,1.73874
2020-07-18,1.57527
2020-07-19,1.96165
2020-07-20,2.27374
2020-07-21,2.73443
2020-07-22,2.34804
2020-07-23,2.27374
2020-07-24,2.42235
2020-07-25,2.30346
2020-07-26,2.22915
2020-07-27,2.16971
2020-07-28,3.25456
2020-07-29,2.48179
2020-07-30,2.77901
2020-07-31,4.14623
2020-08-01,3.9679
2020-08-02,3.78956
2020-08-03,3.49234
2020-08-04,3.31401
2020-08-05,3.12082
2020-08-06,3.46262
