date,코덱스200
2020-03-20,100.0
2020-03-21,21.99776
2020-03-22,17.31026
2020-03-23,88.37053
2020-03-24,81.95312
2020-03-25,97.48883
2020-03-26,78.81696
2020-03-27,70.54687
2020-03-28,16.27232
2020-03-29,13.57142
2020-03-30,60.1116
2020-03-31,54.65401
2020-04-01,57.82366
2020-04-02,54.08482
2020-04-03,42.54464
2020-04-04,9.35267
2020-04-05,6.3058
2020-04-06,45.91517
2020-04-07,52.73437
2020-04-08,44.29687
2020-04-09,39.75446
2020-04-10,42.53348
2020-04-11,7.23214
2020-04-12,6.03794
2020-04-13,36.78571
2020-04-14,37.14285
2020-04-15,8.48214
2020-04-16,30.46875
2020-04-17,40.91517
2020-04-18,6.72991
2020-04-19,5.78125
2020-04-20,31.07142
2020-04-21,34.67633
2020-04-22,31.64062
2020-04-23,29.73214
2020-04-24,24.00669
2020-04-25,4.58705
2020-04-26,4.10714
2020-04-27,28.82812
2020-04-28,27.70089
2020-04-29,24.97767
2020-04-30,5.625
2020-05-01,4.83258
2020-05-02,2.76785
2020-05-03,3.37053
2020-05-04,22.9241
2020-05-05,4.56473
2020-05-06,22.77901
2020-05-07,19.84375
2020-05-08,18.57142
2020-05-09,3.8058
2020-05-10,2.67857
2020-05-11,18.77232
2020-05-12,16.80803
2020-05-13,18.09151
2020-05-14,17.62276
2020-05-15,16.50669
2020-05-16,2.80133
2020-05-17,2.67857
2020-05-18,16.96428
2020-05-19,23.29241
2020-05-20,17.67857
2020-05-21,18.51562
2020-05-22,17.15401
2020-05-23,2.77901
2020-05-24,2.80133
2020-05-25,17.6116
2020-05-26,21.21651
2020-05-27,19.33035
2020-05-28,21.21651
2020-05-29,16.54017
2020-05-30,2.71205
2020-05-31,1.875
2020-06-01,20.97098
2020-06-02,21.18303
2020-06-03,31.00446
2020-06-04,28.90625
2020-06-05,25.63616
2020-06-06,4.24107
2020-06-07,3.44866
2020-06-08,25.0558
2020-06-09,24.85491
2020-06-10,20.51339
2020-06-11,20.24553
2020-06-12,24.4308
2020-06-13,2.97991
2020-06-14,2.8125
2020-06-15,25.14508
2020-06-16,25.45758
2020-06-17,20.35714
2020-06-18,17.42187
2020-06-19,17.07589
2020-06-20,2.14285
2020-06-21,1.91964
2020-06-22,15.59151
2020-06-23,16.41741
2020-06-24,17.37723
2020-06-25,16.84151
2020-06-26,15.72544
2020-06-27,2.53348
2020-06-28,2.33258
2020-06-29,14.88839
2020-06-30,16.21651
2020-07-01,14.84375
2020-07-02,13.76116
2020-07-03,13.06919
2020-07-04,1.90848
2020-07-05,1.70758
2020-07-06,16.88616
2020-07-07,15.61383
2020-07-08,13.31473
2020-07-09,13.51562
2020-07-10,12.8683
2020-07-11,2.05357
2020-07-12,1.68526
2020-07-13,14.55357
2020-07-14,13.61607
2020-07-15,14.93303
2020-07-16,14.10714
2020-07-17,13.60491
2020-07-18,2.09821
2020-07-19,1.85267
2020-07-20,11.55133
2020-07-21,15.45758
2020-07-22,14.87723
2020-07-23,13.1808
2020-07-24,12.2991
2020-07-25,1.9866
2020-07-26,2.15401
2020-07-27,13.90625
2020-07-28,18.45982
2020-07-29,17.07589
2020-07-30,15.27901
2020-07-31,13.34821
2020-08-01,2.57812
2020-08-02,2.09821
2020-08-03,12.76785
2020-08-04,13.89508
2020-08-05,16.02678
2020-08-06,19.09598
2020-08-07,18.39285
2020-08-08,3.79464
2020-08-09,3.06919
2020-08-10,19.6875
2020-08-11,23.69419
2020-08-12,20.91517
2020-08-13,20.15625
2020-08-14,16.59598
2020-08-15,3.50446
2020-08-16,2.90178
2020-08-17,3.85044
2020-08-18,18.62723
2020-08-19,16.12723
2020-08-20,22.07589
2020-08-21,18.98437
2020-08-22,2.95758
2020-08-23,2.35491
2020-08-24,15.69196
2020-08-25,16.31696
2020-08-26,19.91071
2020-08-27,24.59821
2020-08-28,23.89508
2020-08-29,7.94642
2020-08-30,6.13839
2020-08-31,17.1875
2020-09-01,16.16071
2020-09-02,14.76562
2020-09-03,16.5625
2020-09-04,15.85937
2020-09-05,2.99107
2020-09-06,2.53348
2020-09-07,13.4933
2020-09-08,13.45982
2020-09-09,13.13616
2020-09-10,13.24776
2020-09-11,12.15401
2020-09-12,2.57812
2020-09-13,2.33258
2020-09-14,15.47991
2020-09-15,14.18526
2020-09-16,13.93973
2020-09-17,11.48437
2020-09-18,11.65178
2020-09-19,2.42187
2020-09-20,2.06473
2020-09-21,10.9375
2020-09-22,13.82812
2020-09-23,13.50446
2020-09-24,15.49107
2020-09-25,11.41741
2020-09-26,2.65625
2020-09-27,2.13169
2020-09-28,11.71875
2020-09-29,10.83705
2020-09-30,2.20982
2020-10-01,1.75223
2020-10-02,1.6183
2020-10-03,1.39508
2020-10-04,1.64062
2020-10-05,11.25
2020-10-06,11.22767
2020-10-07,12.07589
2020-10-08,11.26116
2020-10-09,2.13169
2020-10-10,1.69642
2020-10-11,1.6741
2020-10-12,12.33258
2020-10-13,12.20982
2020-10-14,10.4241
2020-10-15,11.12723
2020-10-16,10.08928
2020-10-17,3.53794
2020-10-18,4.07366
2020-10-19,12.58928
2020-10-20,12.8125
2020-10-21,11.71875
2020-10-22,13.14732
2020-10-23,12.82366
2020-10-24,3.93973
2020-10-25,3.77232
2020-10-26,13.06919
2020-10-27,12.31026
2020-10-28,10.65848
2020-10-29,11.90848
2020-10-30,12.96875
2020-10-31,3.01339
2020-11-01,2.34375
2020-11-02,10.72544
2020-11-03,11.84151
2020-11-04,11.26116
2020-11-05,15.01116
2020-11-06,13.99553
2020-11-07,2.36607
2020-11-08,1.99776
2020-11-09,14.98883
2020-11-10,14.97767
2020-11-11,15.50223
2020-11-12,16.32812
2020-11-13,19.50892
2020-11-14,6.11607
2020-11-15,5.10044
2020-11-16,21.79687
2020-11-17,20.625
2020-11-18,18.39285
2020-11-19,14.20758
2020-11-20,12.97991
2020-11-21,3.89508
2020-11-22,3.96205
2020-11-23,23.63839
2020-11-24,23.99553
2020-11-25,21.74107
2020-11-26,18.57142
2020-11-27,17.33258
2020-11-28,4.15178
2020-11-29,4.1741
2020-11-30,15.90401
2020-12-01,15.97098
2020-12-02,19.16294
2020-12-03,21.13839
2020-12-04,23.32589
2020-12-05,5.32366
2020-12-06,5.9933
2020-12-07,23.37053
2020-12-08,21.31696
2020-12-09,24.57589
2020-12-10,21.16071
2020-12-11,21.06026
2020-12-12,5.51339
2020-12-13,4.70982
2020-12-14,17.93526
2020-12-15,16.26116
2020-12-16,16.23883
2020-12-17,16.84151
2020-12-18,14.94419
2020-12-19,4.29687
2020-12-20,3.89508
2020-12-21,16.19419
2020-12-22,15.89285
2020-12-23,16.48437
2020-12-24,18.30357
2020-12-25,4.66517
2020-12-26,6.59598
2020-12-27,6.0491
2020-12-28,20.50223
2020-12-29,19.09598
2020-12-30,23.15848
2020-12-31,7.05357
2021-01-01,5.55803
2021-01-02,4.56473
2021-01-03,5.58035
2021-01-04,27.51116
2021-01-05,30.40178
2021-01-06,28.78348
2021-01-07,31.74107
2021-01-08,40.54687
2021-01-09,13.92857
2021-01-10,18.92857
2021-01-11,50.80357
2021-01-12,36.47321
2021-01-13,33.52678
2021-01-14,28.67187
2021-01-15,24.93303
2021-01-16,6.28348
2021-01-17,6.33928
2021-01-18,24.92187
2021-01-19,26.90848
2021-01-20,23.66071
2021-01-21,22.54464
2021-01-22,21.68526
2021-01-23,6.9308
2021-01-24,5.30133
2021-01-25,25.0558
2021-01-26,25.92633
2021-01-27,23.62723
2021-01-28,20.88169
2021-01-29,22.83482
2021-01-30,5.54687
2021-01-31,5.13392
2021-02-01,21.75223
