date,코미팜주가
2020-03-20,56.55685
2020-03-21,9.77903
2020-03-22,6.8309
2020-03-23,54.90682
2020-03-24,45.94703
2020-03-25,56.44147
2020-03-26,90.26712
2020-03-27,100.0
2020-03-28,14.64835
2020-03-29,12.28869
2020-03-30,82.32273
2020-03-31,80.65539
2020-04-01,68.41862
2020-04-02,66.62435
2020-04-03,54.38181
2020-04-04,8.35977
2020-04-05,6.94051
2020-04-06,68.21092
2020-04-07,56.64339
2020-04-08,48.87209
2020-04-09,47.47591
2020-04-10,46.48358
2020-04-11,6.99821
2020-04-12,5.91357
2020-04-13,44.74124
2020-04-14,50.4875
2020-04-15,8.52708
2020-04-16,39.71037
2020-04-17,39.88922
2020-04-18,6.07511
2020-04-19,5.1174
2020-04-20,38.27381
2020-04-21,34.62758
2020-04-22,32.12946
2020-04-23,29.37171
2020-04-24,26.5332
2020-04-25,3.32314
2020-04-26,3.09236
2020-04-27,28.34477
2020-04-28,26.51012
2020-04-29,23.71199
2020-04-30,3.77891
2020-05-01,4.22892
2020-05-02,2.00196
2020-05-03,1.92119
2020-05-04,22.96774
2020-05-05,3.35775
2020-05-06,22.17734
2020-05-07,19.43691
2020-05-08,21.8658
2020-05-09,2.8039
2020-05-10,2.0885
2020-05-11,20.79847
2020-05-12,22.54081
2020-05-13,30.34673
2020-05-14,30.86597
2020-05-15,29.11786
2020-05-16,2.81543
2020-05-17,2.35389
2020-05-18,20.45808
2020-05-19,25.11971
2020-05-20,20.31385
2020-05-21,19.50037
2020-05-22,18.46766
2020-05-23,1.84618
2020-05-24,1.6731
2020-05-25,16.49454
2020-05-26,16.48877
2020-05-27,16.77147
2020-05-28,15.83684
2020-05-29,16.86378
2020-05-30,2.05965
2020-05-31,1.59233
2020-06-01,17.6138
2020-06-02,16.81186
2020-06-03,17.22148
2020-06-04,16.17146
2020-06-05,16.77724
2020-06-06,2.14619
2020-06-07,1.66157
2020-06-08,21.96388
2020-06-09,18.31765
2020-06-10,21.83695
2020-06-11,19.1369
2020-06-12,16.93878
2020-06-13,1.93849
2020-06-14,1.47118
2020-06-15,17.49264
2020-06-16,20.33116
2020-06-17,16.82916
2020-06-18,15.21375
2020-06-19,14.46373
2020-06-20,1.6558
2020-06-21,1.20002
2020-06-22,14.37143
2020-06-23,14.19834
2020-06-24,13.11371
2020-06-25,17.11763
2020-06-26,14.64835
2020-06-27,1.59233
2020-06-28,1.25771
2020-06-29,13.08486
2020-06-30,12.99832
2020-07-01,13.99065
2020-07-02,12.8887
2020-07-03,12.19061
2020-07-04,1.46541
2020-07-05,1.13079
2020-07-06,11.90792
2020-07-07,11.05405
2020-07-08,11.41175
2020-07-09,11.45214
2020-07-10,12.17331
2020-07-11,1.38464
2020-07-12,1.09617
2020-07-13,15.36952
2020-07-14,16.45993
2020-07-15,12.40985
2020-07-16,11.52714
2020-07-17,11.93676
2020-07-18,1.34425
2020-07-19,1.05002
2020-07-20,11.16944
2020-07-21,14.98874
2020-07-22,15.57722
2020-07-23,14.94259
2020-07-24,16.06761
2020-07-25,2.05965
2020-07-26,1.70195
2020-07-27,13.56372
2020-07-28,13.81757
2020-07-29,12.94063
2020-07-30,12.55408
2020-07-31,12.56562
2020-08-01,1.63272
2020-08-02,1.45387
2020-08-03,14.8272
2020-08-04,14.61951
2020-08-05,14.47527
2020-08-06,16.483
2020-08-07,13.61564
2020-08-08,2.00196
2020-08-09,1.63272
2020-08-10,13.13102
2020-08-11,12.32908
2020-08-12,12.76755
2020-08-13,13.05602
2020-08-14,10.91559
2020-08-15,1.2981
2020-08-16,1.06155
2020-08-17,2.43466
2020-08-18,13.63295
2020-08-19,13.59256
2020-08-20,17.59072
2020-08-21,13.40218
2020-08-22,1.3154
2020-08-23,1.1654
2020-08-24,12.46754
2020-08-25,15.91184
2020-08-26,14.34835
2020-08-27,12.99832
2020-08-28,12.36369
2020-08-29,1.48849
2020-08-30,1.14809
2020-08-31,13.00986
2020-09-01,11.65407
2020-09-02,13.33294
2020-09-03,15.38106
2020-09-04,12.99832
2020-09-05,1.39041
2020-09-06,1.04425
2020-09-07,14.89067
2020-09-08,15.31183
2020-09-09,13.14256
2020-09-10,12.79639
2020-09-11,11.67137
2020-09-12,1.43656
2020-09-13,1.06155
2020-09-14,11.77522
2020-09-15,10.61558
2020-09-16,10.73674
2020-09-17,10.05019
2020-09-18,11.2329
2020-09-19,1.47695
2020-09-20,1.11925
2020-09-21,11.54445
2020-09-22,9.90019
2020-09-23,9.99826
2020-09-24,21.96965
2020-09-25,17.47533
2020-09-26,2.19234
2020-09-27,2.32504
2020-09-28,14.63681
2020-09-29,10.93867
2020-09-30,1.41925
2020-10-01,1.60387
2020-10-02,1.32694
2020-10-03,1.22886
2020-10-04,1.49425
2020-10-05,16.15415
2020-10-06,13.80026
2020-10-07,11.61368
2020-10-08,11.12906
2020-10-09,4.76547
2020-10-10,2.75197
2020-10-11,2.68851
2020-10-12,16.02146
2020-10-13,11.19252
2020-10-14,14.56181
2020-10-15,12.49062
2020-10-16,12.24254
2020-10-17,1.30964
2020-10-18,0.8827
2020-10-19,9.87711
2020-10-20,10.17711
2020-10-21,9.46748
2020-10-22,7.97899
2020-10-23,7.65014
2020-10-24,0.96924
2020-10-25,0.8077
2020-10-26,8.29631
2020-10-27,9.17902
2020-10-28,9.96365
2020-10-29,8.82132
2020-10-30,7.88092
2020-10-31,0.81347
2020-11-01,0.81924
2020-11-02,7.94438
2020-11-03,8.47516
2020-11-04,8.50977
2020-11-05,9.92326
2020-11-06,8.93671
2020-11-07,0.77309
2020-11-08,0.72693
2020-11-09,9.10979
2020-11-10,9.0694
2020-11-11,8.429
2020-11-12,8.74055
2020-11-13,7.91553
2020-11-14,0.95194
2020-11-15,0.66347
2020-11-16,9.2194
2020-11-17,8.28477
2020-11-18,10.12519
2020-11-19,8.53285
2020-11-20,10.0675
2020-11-21,1.24617
2020-11-22,0.9404
2020-11-23,8.65978
2020-11-24,8.09438
2020-11-25,8.28477
2020-11-26,7.81745
2020-11-27,8.40593
2020-11-28,1.30387
2020-11-29,1.26348
2020-11-30,8.25015
2020-12-01,7.37898
2020-12-02,8.54439
2020-12-03,8.58478
2020-12-04,9.32325
2020-12-05,1.42502
2020-12-06,1.20579
2020-12-07,7.79438
2020-12-08,19.3446
2020-12-09,14.08296
2020-12-10,12.156
2020-12-11,11.48675
2020-12-12,1.54618
2020-12-13,1.48272
2020-12-14,10.39058
2020-12-15,9.09248
2020-12-16,9.80788
2020-12-17,9.1444
2020-12-18,9.03478
2020-12-19,1.18848
2020-12-20,0.88847
2020-12-21,8.054
2020-12-22,8.70016
2020-12-23,10.45981
2020-12-24,9.71557
2020-12-25,1.36733
2020-12-26,1.09617
2020-12-27,1.13079
2020-12-28,8.87901
2020-12-29,9.08671
2020-12-30,10.1425
2020-12-31,2.37696
2021-01-01,1.05578
2021-01-02,1.14809
2021-01-03,0.92886
2021-01-04,9.53672
2021-01-05,9.17902
2021-01-06,9.96365
2021-01-07,10.25788
2021-01-08,9.77326
2021-01-09,1.25194
2021-01-10,0.90578
2021-01-11,9.39248
2021-01-12,8.82132
2021-01-13,8.7117
2021-01-14,8.55016
2021-01-15,7.78284
2021-01-16,0.83078
2021-01-17,0.8827
2021-01-18,7.39629
2021-01-19,7.81168
2021-01-20,7.59822
2021-01-21,7.41937
2021-01-22,6.7732
2021-01-23,1.02694
2021-01-24,1.13079
2021-01-25,9.25979
2021-01-26,7.9213
2021-01-27,7.18859
2021-01-28,7.60399
2021-01-29,7.66745
2021-01-30,0.88847
2021-01-31,0.71539
2021-02-01,7.69053
2021-02-02,7.90976
2021-02-03,7.54052
2021-02-04,6.38666
2021-02-05,6.38089
2021-02-06,0.90578
2021-02-07,0.61155
2021-02-08,6.63474
2021-02-09,5.97703
2021-02-10,5.04817
2021-02-11,0.77309
2021-02-12,0.61731
2021-02-13,0.70385
2021-02-14,0.8827
2021-02-15,7.20013
2021-02-16,7.04436
2021-02-17,7.48283
2021-02-18,7.25783
2021-02-19,6.79628
2021-02-20,1.11348
2021-02-21,0.68078
2021-02-22,6.76743
2021-02-23,7.11359
2021-02-24,7.8463
2021-02-25,7.66745
2021-02-26,6.85397
2021-02-27,0.95194
2021-02-28,0.85963
2021-03-01,1.07886
2021-03-02,7.78861
2021-03-03,8.11746
2021-03-04,7.41937
2021-03-05,6.86551
2021-03-06,0.91732
2021-03-07,0.90001
2021-03-08,6.5482
2021-03-09,6.40396
2021-03-10,6.28858
