date,코스닥
2020-03-20,54.95128
2020-03-21,6.34573
2020-03-22,4.14221
2020-03-23,46.5651
2020-03-24,36.02791
2020-03-25,31.25525
2020-03-26,33.81185
2020-03-27,34.44833
2020-03-28,3.97775
2020-03-29,2.8149
2020-03-30,33.17862
2020-03-31,27.37273
2020-04-01,35.4653
2020-04-02,29.21666
2020-04-03,22.35524
2020-04-04,2.75125
2020-04-05,2.06274
2020-04-06,20.8198
2020-04-07,24.07513
2020-04-08,21.12735
2020-04-09,17.44972
2020-04-10,28.60806
2020-04-11,2.54126
2020-04-12,2.14869
2020-04-13,23.42611
2020-04-14,16.24877
2020-04-15,2.89434
2020-04-16,19.54545
2020-04-17,15.68755
2020-04-18,2.22488
2020-04-19,1.71663
2020-04-20,16.15771
2020-04-21,33.16422
2020-04-22,19.33824
2020-04-23,13.83294
2020-04-24,17.38932
2020-04-25,1.68411
2020-04-26,1.4258
2020-04-27,12.37229
2020-04-28,15.89987
2020-04-29,12.13489
2020-04-30,1.82813
2020-05-01,1.91129
2020-05-02,1.16563
2020-05-03,1.02858
2020-05-04,16.50801
2020-05-05,2.01071
2020-05-06,12.94141
2020-05-07,13.08636
2020-05-08,10.9135
2020-05-09,1.77145
2020-05-10,1.24182
2020-05-11,14.41042
2020-05-12,17.86134
2020-05-13,13.34699
2020-05-14,14.86478
2020-05-15,12.42386
2020-05-16,1.34217
2020-05-17,1.19211
2020-05-18,11.56857
2020-05-19,12.12885
2020-05-20,12.21062
2020-05-21,11.34882
2020-05-22,14.00902
2020-05-23,1.3812
2020-05-24,1.28224
2020-05-25,11.025
2020-05-26,10.99527
2020-05-27,13.57045
2020-05-28,46.68171
2020-05-29,18.90758
2020-05-30,1.73939
2020-05-31,1.20326
2020-06-01,12.98275
2020-06-02,12.07914
2020-06-03,16.40859
2020-06-04,14.31146
2020-06-05,11.32931
2020-06-06,1.77656
2020-06-07,1.29664
2020-06-08,12.64222
2020-06-09,13.83898
2020-06-10,11.80504
2020-06-11,14.61901
2020-06-12,24.46956
2020-06-13,1.75333
2020-06-14,1.20512
2020-06-15,100.0
2020-06-16,25.59013
2020-06-17,22.32412
2020-06-18,15.06548
2020-06-19,13.85292
2020-06-20,1.34217
2020-06-21,1.04345
2020-06-22,13.06313
2020-06-23,14.77047
2020-06-24,11.2861
2020-06-25,15.6095
2020-06-26,13.13792
2020-06-27,1.54241
2020-06-28,1.08201
2020-06-29,17.10825
2020-06-30,12.68217
2020-07-01,13.81111
2020-07-02,10.1121
2020-07-03,9.7711
2020-07-04,1.11081
2020-07-05,0.92962
2020-07-06,9.86726
2020-07-07,12.4457
2020-07-08,10.6106
2020-07-09,9.24798
2020-07-10,11.39574
2020-07-11,1.13822
2020-07-12,0.9575
2020-07-13,8.84425
2020-07-14,12.15487
2020-07-15,10.38899
2020-07-16,12.33187
2020-07-17,8.97201
2020-07-18,1.10106
2020-07-19,0.88967
2020-07-20,10.16831
2020-07-21,8.69698
2020-07-22,9.7028
2020-07-23,11.4854
2020-07-24,13.37811
2020-07-25,1.44949
2020-07-26,1.21302
2020-07-27,9.30744
2020-07-28,9.27353
2020-07-29,9.99456
2020-07-30,8.91162
2020-07-31,8.92695
2020-08-01,1.34589
2020-08-02,1.0244
2020-08-03,9.32277
2020-08-04,8.63705
2020-08-05,9.13322
2020-08-06,10.03266
2020-08-07,13.29124
2020-08-08,1.63207
2020-08-09,1.38166
2020-08-10,11.33116
2020-08-11,13.08357
2020-08-12,31.74864
2020-08-13,14.7045
2020-08-14,21.27184
2020-08-15,1.99259
2020-08-16,1.46389
2020-08-17,2.79725
2020-08-18,78.62084
2020-08-19,21.1543
2020-08-20,48.05084
2020-08-21,25.24959
2020-08-22,2.13754
2020-08-23,1.71616
2020-08-24,16.08013
2020-08-25,13.21179
2020-08-26,16.26549
2020-08-27,17.89711
2020-08-28,13.87382
2020-08-29,1.59398
2020-08-30,1.35379
2020-08-31,15.19649
2020-09-01,12.06149
2020-09-02,12.28913
2020-09-03,10.79271
2020-09-04,31.39277
2020-09-05,2.4293
2020-09-06,1.61767
