date,코스모스코인
2020-03-20,0.76849
2020-03-21,0.60838
2020-03-22,0.41626
2020-03-23,0.67243
2020-03-24,0.35222
2020-03-25,0.38424
2020-03-27,0.22414
2020-03-28,0.54434
2020-03-30,0.3202
2020-03-31,0.28818
2020-04-01,0.28818
2020-04-02,0.41626
2020-04-04,0.19212
2020-04-06,0.35222
2020-04-07,0.4803
2020-04-09,0.25616
2020-04-10,0.54434
2020-04-11,0.1601
2020-04-14,0.19212
2020-04-15,0.22414
2020-04-16,0.44828
2020-04-19,0.22414
2020-04-22,0.19212
2020-04-23,0.1601
2020-04-24,0.1601
2020-04-25,0.41626
2020-04-26,0.1601
2020-04-27,0.3202
2020-04-28,0.35222
2020-04-30,0.1601
2020-05-02,0.1601
2020-05-03,0.19212
2020-05-05,0.19212
2020-05-06,0.25616
2020-05-07,0.1601
2020-05-10,0.1601
2020-05-12,0.19212
2020-05-19,0.19212
2020-05-20,0.25616
2020-05-21,0.25616
2020-05-22,0.25616
2020-05-25,0.19212
2020-05-26,0.22414
2020-05-27,0.22414
2020-05-28,0.22414
2020-05-29,0.1601
2020-05-30,0.28818
2020-06-02,0.22414
2020-06-03,0.89657
2020-06-04,0.57636
2020-06-05,0.41626
2020-06-08,0.35222
2020-06-09,0.1601
2020-06-11,0.22414
2020-06-12,0.28818
2020-06-13,0.25616
2020-06-17,0.3202
2020-06-18,0.1601
2020-06-22,0.1601
2020-06-23,0.35222
2020-06-24,0.1601
2020-06-28,0.1601
2020-06-29,0.44828
2020-06-30,1.82516
2020-07-01,0.70445
2020-07-02,0.3202
2020-07-03,0.92859
2020-07-05,0.35222
2020-07-06,0.6404
2020-07-07,2.20941
2020-07-08,2.30547
2020-07-09,0.92859
2020-07-10,2.36951
2020-07-11,2.01729
2020-07-12,0.6404
2020-07-13,1.18475
2020-07-14,0.35222
2020-07-15,0.28818
2020-07-16,0.1601
2020-07-17,0.22414
2020-07-18,0.1601
2020-07-19,0.3202
2020-07-20,0.41626
2020-07-21,0.3202
2020-07-22,0.41626
2020-07-23,0.41626
2020-07-24,0.28818
2020-07-27,0.3202
2020-07-28,0.41626
2020-07-29,0.28818
2020-07-30,1.05667
2020-07-31,0.38424
2020-08-01,0.3202
2020-08-02,0.51232
2020-08-03,0.19212
2020-08-04,0.51232
2020-08-05,0.54434
2020-08-06,0.19212
2020-08-07,0.1601
2020-08-08,0.28818
2020-08-09,1.08869
2020-08-10,2.08133
2020-08-11,0.70445
2020-08-12,0.54434
2020-08-13,1.69708
2020-08-14,1.18475
2020-08-15,0.6404
2020-08-16,0.54434
2020-08-17,1.08869
2020-08-18,2.14537
2020-08-19,0.54434
2020-08-20,0.44828
2020-08-21,0.67243
2020-08-23,3.26609
2020-08-24,3.93852
2020-08-25,1.50496
2020-08-26,0.86455
2020-08-27,0.41626
