date,코스피200
2020-03-20,73.66325
2020-03-21,9.90578
2020-03-22,7.0219
2020-03-23,61.62072
2020-03-24,66.87124
2020-03-25,67.7908
2020-03-26,65.85931
2020-03-27,58.76967
2020-03-28,7.13684
2020-03-29,5.3162
2020-03-30,54.39561
2020-03-31,50.24117
2020-04-01,51.12789
2020-04-02,52.02692
2020-04-03,44.16552
2020-04-04,5.63435
2020-04-05,4.12364
2020-04-06,47.31624
2020-04-07,51.96945
2020-04-08,48.17832
2020-04-09,45.75011
2020-04-10,46.15653
2020-04-11,6.2296
2020-04-12,4.65116
2020-04-13,40.31691
2020-04-14,40.62275
2020-04-15,7.37905
2020-04-16,39.47741
2020-04-17,51.19357
2020-04-18,6.05923
2020-04-19,4.45206
2020-04-20,44.9106
2020-04-21,44.9455
2020-04-22,42.22582
2020-04-23,42.5645
2020-04-24,34.60251
2020-04-25,4.31043
2020-04-26,3.86296
2020-04-27,39.51025
2020-04-28,38.04265
2020-04-29,37.82302
2020-04-30,5.68361
2020-05-01,6.13518
2020-05-02,3.14661
2020-05-03,2.59241
2020-05-04,32.59098
2020-05-05,4.83179
2020-05-06,32.7326
2020-05-07,32.78187
2020-05-08,30.76417
2020-05-09,3.88965
2020-05-10,2.84488
2020-05-11,30.7847
2020-05-12,30.01703
2020-05-13,31.14801
2020-05-14,29.69683
2020-05-15,28.39138
2020-05-16,3.35803
2020-05-17,2.4241
2020-05-18,28.39138
2020-05-19,37.51513
2020-05-20,34.16326
2020-05-21,33.23549
2020-05-22,30.93864
2020-05-23,3.6926
2020-05-24,3.06656
2020-05-25,31.05564
2020-05-26,38.99094
2020-05-27,68.79451
2020-05-28,42.63634
2020-05-29,33.9621
2020-05-30,3.77881
2020-05-31,2.82025
2020-06-01,37.82097
2020-06-02,39.08947
2020-06-03,57.42933
2020-06-04,55.15712
2020-06-05,46.02311
2020-06-06,5.62203
2020-06-07,3.79523
2020-06-08,45.80143
2020-06-09,44.36256
2020-06-10,39.48151
2020-06-11,44.14088
2020-06-12,44.66224
2020-06-13,3.89991
2020-06-14,2.58215
2020-06-15,44.73819
2020-06-16,48.54984
2020-06-17,43.32601
2020-06-18,34.83651
2020-06-19,32.02241
2020-06-20,3.27387
2020-06-21,2.22295
2020-06-22,31.09669
2020-06-23,32.20714
2020-06-24,35.3435
2020-06-25,33.76095
2020-06-26,31.95673
2020-06-27,3.1343
2020-06-28,2.0259
2020-06-29,31.60779
2020-06-30,33.15749
2020-07-01,28.99279
2020-07-02,27.58882
2020-07-03,29.61267
2020-07-04,3.15687
2020-07-05,2.27426
2020-07-06,36.573
2020-07-07,36.05164
2020-07-08,31.44974
2020-07-09,30.61844
2020-07-10,27.06952
2020-07-11,2.92493
2020-07-12,2.26605
2020-07-13,31.00638
2020-07-14,29.04821
2020-07-15,34.3521
2020-07-16,29.8713
2020-07-17,28.77316
2020-07-18,2.86746
2020-07-19,2.20037
2020-07-20,27.17215
2020-07-21,33.74453
2020-07-22,31.8151
2020-07-23,30.49939
2020-07-24,28.66438
2020-07-25,2.79767
2020-07-26,2.26605
2020-07-27,31.13159
2020-07-28,40.12808
2020-07-29,36.98967
2020-07-30,31.96904
2020-07-31,29.29657
2020-08-01,3.18151
2020-08-02,2.23732
2020-08-03,27.76534
2020-08-04,30.45629
2020-08-05,34.16942
2020-08-06,37.23188
2020-08-07,39.32962
2020-08-08,4.32685
2020-08-09,3.25129
2020-08-10,39.26394
2020-08-11,42.61171
2020-08-12,42.19093
2020-08-13,41.63468
2020-08-14,36.42316
2020-08-15,3.36419
2020-08-16,2.88388
2020-08-17,5.95866
2020-08-18,40.4606
2020-08-19,34.84882
2020-08-20,45.23081
2020-08-21,40.7808
2020-08-22,3.32519
2020-08-23,2.80383
2020-08-24,33.61316
2020-08-25,32.59919
2020-08-26,34.90219
2020-08-27,34.77288
2020-08-28,32.76339
2020-08-29,3.31492
2020-08-30,2.73199
2020-08-31,33.99084
2020-09-01,31.38816
2020-09-02,31.96904
2020-09-03,34.85703
2020-09-04,38.96426
2020-09-05,3.71723
2020-09-06,2.74841
2020-09-07,32.61355
2020-09-08,34.32541
2020-09-09,36.16248
2020-09-10,34.32952
2020-09-11,31.655
2020-09-12,3.49966
2020-09-13,2.50005
2020-09-14,34.69693
2020-09-15,35.17724
2020-09-16,34.58609
2020-09-17,33.62548
2020-09-18,31.63858
2020-09-19,3.24514
2020-09-20,2.09363
2020-09-21,31.19316
2020-09-22,37.67113
2020-09-23,40.07676
2020-09-24,39.66009
2020-09-25,31.93004
2020-09-26,3.2205
2020-09-27,2.37894
2020-09-28,31.04538
2020-09-29,28.37291
2020-09-30,3.04398
2020-10-01,2.30505
2020-10-02,2.68683
2020-10-03,2.31737
2020-10-04,2.02795
2020-10-05,32.34877
2020-10-06,30.38239
2020-10-07,30.39471
2020-10-08,31.86641
2020-10-09,4.00459
2020-10-10,2.17574
2020-10-11,2.13058
2020-10-12,27.50056
2020-10-13,29.46694
2020-10-14,27.66271
2020-10-15,29.44231
2020-10-16,29.39099
2020-10-17,2.6232
2020-10-18,2.03616
2020-10-19,26.93815
2020-10-20,29.58599
2020-10-21,27.96855
2020-10-22,26.89915
2020-10-23,25.93238
2020-10-24,2.71762
2020-10-25,2.16958
2020-10-26,26.581
2020-10-27,26.737
2020-10-28,26.80884
2020-10-29,31.64679
2020-10-30,31.71452
2020-10-31,3.2985
2020-11-01,2.25168
2020-11-02,28.57612
2020-11-03,30.72312
2020-11-04,34.42394
