date,코인거래소
2020-03-20,2.97356
2020-03-21,1.96402
2020-03-22,1.52349
2020-03-23,2.23935
2020-03-24,2.73494
2020-03-25,2.86343
2020-03-26,2.45961
2020-03-27,2.23935
2020-03-28,1.37665
2020-03-29,1.90895
2020-03-30,1.83553
2020-03-31,2.4229
2020-04-01,2.27606
2020-04-02,1.74375
2020-04-03,2.49632
2020-04-04,1.45007
2020-04-05,1.395
2020-04-06,2.23935
2020-04-07,2.40455
2020-04-08,2.22099
2020-04-09,1.92731
2020-04-10,1.94566
2020-04-11,1.63362
2020-04-12,1.00954
2020-04-13,1.76211
2020-04-14,2.18428
2020-04-15,1.57856
2020-04-16,1.5602
2020-04-17,2.36784
2020-04-18,1.81718
2020-04-19,1.21145
2020-04-20,1.87224
2020-04-21,2.36784
2020-04-22,2.23935
2020-04-23,2.12922
2020-04-24,2.44126
2020-04-25,1.67033
2020-04-26,2.0558
2020-04-27,2.69823
2020-04-28,2.07415
2020-04-29,2.97356
2020-04-30,3.30396
2020-05-01,2.36784
2020-05-02,1.67033
2020-05-03,1.5602
2020-05-04,2.18428
2020-05-05,1.54185
2020-05-06,1.33994
2020-05-07,2.16593
2020-05-08,1.65198
2020-05-09,1.63362
2020-05-10,1.43171
2020-05-11,1.98237
2020-05-12,2.53303
2020-05-13,2.33113
2020-05-14,1.98237
2020-05-15,2.77165
2020-05-16,1.67033
2020-05-17,1.19309
2020-05-18,2.31277
2020-05-19,2.64317
2020-05-20,2.22099
2020-05-21,2.36784
2020-05-22,1.81718
2020-05-23,1.32158
2020-05-24,1.37665
2020-05-25,2.27606
2020-05-26,2.82672
2020-05-27,2.16593
2020-05-28,2.31277
2020-05-29,1.8906
2020-05-30,1.94566
2020-05-31,1.74375
2020-06-01,2.64317
2020-06-02,3.17547
2020-06-03,2.95521
2020-06-04,3.21218
2020-06-05,2.67988
2020-06-06,2.36784
2020-06-07,2.67988
2020-06-08,3.89133
2020-06-09,3.32232
2020-06-10,2.36784
2020-06-11,2.44126
2020-06-12,2.4229
2020-06-13,1.65198
2020-06-14,1.08296
2020-06-15,2.7533
2020-06-16,2.71659
2020-06-17,1.94566
2020-06-18,2.22099
2020-06-19,1.83553
2020-06-20,1.30323
2020-06-21,1.54185
2020-06-22,1.96402
2020-06-23,1.87224
2020-06-24,2.60646
2020-06-25,2.00073
2020-06-26,1.87224
2020-06-27,1.32158
2020-06-28,1.59691
2020-06-29,1.74375
2020-06-30,2.12922
2020-07-01,1.78046
2020-07-02,1.70704
2020-07-03,1.74375
2020-07-04,1.2298
2020-07-05,1.37665
2020-07-06,2.11086
2020-07-07,2.53303
2020-07-08,1.65198
2020-07-09,1.98237
2020-07-10,2.22099
2020-07-11,1.50513
2020-07-12,1.32158
2020-07-13,2.07415
2020-07-14,2.22099
2020-07-15,2.0558
2020-07-16,1.81718
2020-07-17,1.67033
2020-07-18,1.45007
2020-07-19,1.28487
2020-07-20,2.67988
2020-07-21,2.5881
2020-07-22,1.78046
2020-07-23,2.09251
2020-07-24,1.92731
2020-07-25,1.57856
2020-07-26,1.83553
2020-07-27,2.9185
2020-07-28,2.84508
2020-07-29,3.04698
2020-07-30,3.12041
2020-07-31,2.49632
2020-08-01,2.20264
2020-08-02,4.4787
2020-08-03,2.49632
2020-08-04,2.69823
2020-08-05,2.45961
2020-08-06,2.51468
2020-08-07,2.36784
2020-08-08,2.16593
2020-08-09,2.45961
2020-08-10,3.39574
2020-08-11,3.37738
2020-08-12,3.21218
2020-08-13,3.63436
2020-08-14,3.12041
2020-08-15,2.22099
2020-08-16,2.07415
2020-08-17,2.38619
2020-08-18,3.12041
2020-08-19,2.53303
2020-08-20,2.22099
2020-08-21,2.44126
2020-08-22,2.11086
2020-08-23,1.96402
2020-08-24,2.86343
2020-08-25,3.4508
2020-08-26,4.18502
2020-08-27,4.18502
2020-08-28,3.02863
2020-08-29,2.53303
2020-08-30,1.90895
2020-08-31,2.90014
2020-09-01,2.80837
2020-09-02,3.48751
2020-09-03,2.99192
2020-09-04,3.26725
2020-09-05,2.18428
2020-09-06,2.00073
2020-09-07,3.30396
2020-09-08,2.77165
2020-09-09,3.06534
2020-09-10,3.39574
2020-09-11,2.5881
2020-09-12,2.07415
2020-09-13,1.94566
2020-09-14,2.36784
2020-09-15,2.5881
2020-09-16,2.55139
2020-09-17,2.7533
2020-09-18,2.0558
2020-09-19,2.23935
2020-09-20,1.8906
2020-09-21,2.09251
2020-09-22,1.8906
2020-09-23,1.98237
2020-09-24,2.00073
2020-09-25,1.70704
2020-09-26,1.33994
2020-09-27,1.61527
2020-09-28,1.37665
2020-09-29,1.52349
2020-09-30,1.30323
2020-10-01,1.32158
2020-10-02,1.35829
2020-10-03,1.00954
2020-10-04,1.61527
2020-10-05,2.01908
2020-10-06,2.56975
2020-10-07,1.74375
2020-10-08,2.03744
2020-10-09,2.0558
2020-10-10,1.78046
2020-10-11,1.37665
2020-10-12,1.78046
2020-10-13,1.74375
2020-10-14,2.16593
2020-10-15,2.23935
2020-10-16,2.03744
2020-10-17,1.90895
2020-10-18,1.24816
2020-10-19,1.7254
2020-10-20,2.18428
2020-10-21,2.60646
2020-10-22,2.86343
2020-10-23,2.56975
2020-10-24,1.87224
2020-10-25,1.78046
2020-10-26,2.4229
2020-10-27,2.20264
2020-10-28,2.93685
2020-10-29,2.33113
2020-10-30,2.23935
2020-10-31,1.30323
2020-11-01,1.48678
2020-11-02,2.22099
2020-11-03,2.2577
2020-11-04,1.98237
2020-11-05,2.09251
2020-11-06,3.98311
2020-11-07,1.96402
2020-11-08,1.57856
2020-11-09,2.29441
2020-11-10,2.12922
2020-11-11,2.71659
2020-11-12,2.60646
2020-11-13,2.71659
2020-11-14,1.52349
2020-11-15,1.43171
2020-11-16,2.62481
2020-11-17,3.24889
2020-11-18,5.61674
2020-11-19,3.37738
2020-11-20,3.37738
2020-11-21,4.46035
2020-11-22,5.3414
2020-11-23,6.44273
2020-11-24,13.08737
2020-11-25,8.03964
2020-11-26,5.92878
2020-11-27,4.29515
2020-11-28,3.15712
2020-11-29,3.02863
2020-11-30,3.37738
2020-12-01,6.22246
2020-12-02,4.58883
2020-12-03,4.29515
2020-12-04,3.10205
2020-12-05,2.47797
2020-12-06,2.44126
2020-12-07,3.83627
2020-12-08,3.41409
2020-12-09,3.39574
2020-12-10,3.17547
2020-12-11,2.5881
2020-12-12,2.22099
2020-12-13,2.0558
2020-12-14,2.67988
2020-12-15,2.53303
2020-12-16,2.79001
2020-12-17,4.86417
2020-12-18,4.86417
2020-12-19,3.9464
2020-12-20,3.34067
2020-12-21,4.18502
2020-12-22,3.85462
2020-12-23,4.60719
2020-12-24,4.29515
2020-12-25,4.3135
2020-12-26,4.25844
2020-12-27,7.5624
2020-12-28,6.99339
2020-12-29,7.76431
2020-12-30,10.13215
2020-12-31,7.28707
2021-01-01,5.61674
2021-01-02,5.23127
2021-01-03,13.98678
2021-01-04,15.60205
2021-01-05,10.29735
2021-01-06,12.1696
2021-01-07,17.51101
2021-01-08,17.38252
2021-01-09,12.15124
2021-01-10,11.82085
2021-01-11,10.82966
2021-01-12,7.87444
2021-01-13,7.28707
2021-01-14,8.13142
2021-01-15,6.84654
2021-01-16,5.58002
2021-01-17,6.33259
2021-01-18,7.01174
2021-01-19,5.91042
2021-01-20,6.66299
2021-01-21,6.64464
2021-01-22,5.52496
2021-01-23,4.60719
2021-01-24,4.05653
2021-01-25,5.30469
2021-01-26,4.93759
2021-01-27,5.04772
2021-01-28,4.14831
2021-01-29,5.69016
2021-01-30,5.06607
2021-01-31,7.43392
2021-02-01,12.24302
2021-02-02,9.28781
2021-02-03,9.37958
2021-02-04,8.48017
2021-02-05,7.14023
2021-02-06,6.33259
2021-02-07,6.5345
2021-02-08,7.74596
2021-02-09,17.05212
