date,코인만들기
2020-05-05,3.27102
2020-06-11,2.33644
2020-06-20,2.80373
2020-06-24,2.80373
2020-07-02,2.33644
2020-07-09,2.33644
2020-07-25,2.33644
2020-08-03,4.67289
2020-08-08,2.80373
2020-09-02,2.80373
2020-09-07,3.73831
2020-10-02,2.80373
2020-10-08,2.33644
2020-10-11,2.33644
2020-10-17,2.33644
2020-10-26,2.33644
2020-10-28,2.80373
2020-11-22,3.27102
2020-11-24,2.33644
2020-11-25,2.80373
2020-11-26,4.2056
2020-11-27,2.80373
2020-12-01,4.67289
2020-12-02,2.33644
2020-12-03,3.27102
2020-12-05,4.2056
2020-12-08,2.33644
2020-12-11,3.27102
2020-12-13,4.67289
2020-12-14,3.73831
2020-12-16,2.80373
2020-12-18,5.60747
2020-12-19,3.27102
2020-12-20,3.27102
2020-12-21,2.33644
2020-12-22,2.80373
2020-12-23,4.2056
2020-12-24,2.33644
2020-12-27,5.60747
2020-12-28,2.33644
2020-12-29,4.67289
2020-12-30,2.80373
2021-01-01,2.33644
2021-01-02,5.14018
2021-01-03,3.27102
2021-01-04,4.67289
2021-01-06,4.67289
2021-01-07,7.47663
2021-01-08,4.2056
2021-01-09,7.00934
2021-01-10,3.27102
2021-01-12,4.67289
2021-01-14,9.34579
2021-01-15,2.80373
2021-01-17,6.54205
2021-01-18,8.8785
2021-01-19,10.74766
2021-01-20,4.67289
2021-01-21,3.27102
2021-01-22,9.81308
2021-01-24,3.27102
2021-01-25,2.80373
2021-01-26,5.14018
2021-01-27,2.33644
2021-01-28,3.27102
2021-01-29,7.47663
2021-01-30,2.33644
2021-01-31,2.33644
2021-02-01,9.34579
2021-02-02,7.00934
2021-02-03,6.07476
2021-02-04,7.94392
2021-02-05,7.47663
2021-02-06,2.33644
2021-02-07,3.27102
2021-02-08,7.00934
2021-02-09,9.81308
2021-02-10,7.00934
2021-02-11,9.81308
2021-02-12,3.27102
2021-02-13,9.81308
2021-02-14,14.48598
2021-02-15,7.94392
2021-02-16,22.89719
2021-02-17,21.02803
2021-02-18,70.09345
2021-02-19,54.2056
2021-02-20,41.58878
2021-02-21,40.18691
2021-02-22,47.66355
2021-02-23,29.90654
2021-02-24,31.7757
2021-02-25,25.70093
2021-02-26,18.22429
2021-02-27,14.01869
2021-02-28,11.68224
2021-03-01,7.94392
2021-03-02,13.5514
2021-03-03,13.5514
2021-03-04,16.35514
2021-03-05,3.73831
2021-03-06,12.14953
2021-03-07,7.47663
2021-03-08,11.68224
2021-03-09,17.757
2021-03-10,24.29906
2021-03-11,12.14953
2021-03-12,16.35514
2021-03-13,16.35514
2021-03-14,20.09345
2021-03-15,25.70093
2021-03-16,21.96261
2021-03-17,25.23364
2021-03-18,23.36448
2021-03-19,17.757
2021-03-20,20.56074
2021-03-21,14.01869
2021-03-22,18.22429
2021-03-23,18.22429
2021-03-24,19.15887
2021-03-25,19.62616
2021-03-26,14.95327
2021-03-27,7.94392
2021-03-28,11.68224
2021-03-29,15.42056
2021-03-30,17.28971
2021-03-31,31.7757
2021-04-01,25.23364
2021-04-02,39.25233
2021-04-03,33.64485
2021-04-04,17.757
2021-04-05,37.85046
2021-04-06,29.43925
2021-04-07,26.63551
2021-04-08,24.76635
2021-04-09,28.97196
2021-04-10,21.49532
2021-04-11,24.76635
2021-04-12,29.43925
2021-04-13,22.89719
2021-04-14,29.43925
2021-04-15,38.78504
2021-04-16,54.67289
2021-04-17,54.67289
2021-04-18,33.64485
2021-04-19,52.33644
2021-04-20,85.51401
2021-04-21,78.97196
2021-04-22,92.05607
2021-04-23,84.57943
2021-04-24,39.25233
2021-04-25,44.39252
2021-04-26,48.13084
2021-04-27,52.33644
2021-04-28,40.18691
2021-04-29,34.57943
2021-04-30,22.89719
2021-05-01,12.61682
2021-05-02,16.35514
2021-05-03,21.02803
2021-05-04,31.7757
2021-05-05,45.3271
2021-05-06,47.66355
2021-05-07,55.14018
2021-05-08,30.37383
2021-05-09,30.37383
2021-05-10,36.44859
2021-05-11,57.94392
2021-05-12,63.5514
2021-05-13,100.0
2021-05-14,74.76635
2021-05-15,35.9813
2021-05-16,38.31775
2021-05-17,39.71962
2021-05-18,49.53271
2021-05-19,43.92523
2021-05-20,41.12149
2021-05-21,35.04672
2021-05-22,25.70093
2021-05-23,37.85046
2021-05-24,50.93457
2021-05-25,37.38317
2021-05-26,25.70093
2021-05-27,20.56074
2021-05-28,28.03738
2021-05-29,22.89719
2021-05-30,18.22429
2021-05-31,16.82242
2021-06-01,19.62616
2021-06-02,14.48598
2021-06-03,21.96261
2021-06-04,18.22429
2021-06-05,14.01869
2021-06-06,22.4299
2021-06-07,27.1028
2021-06-08,23.83177
2021-06-09,29.43925
2021-06-10,21.96261
2021-06-11,20.56074
2021-06-12,19.62616
2021-06-13,26.16822
2021-06-14,21.96261
2021-06-15,31.30841
2021-06-16,17.28971
2021-06-17,26.63551
2021-06-18,23.83177
2021-06-19,19.62616
2021-06-20,17.757
2021-06-21,22.89719
2021-06-22,21.02803
2021-06-23,37.85046
2021-06-24,15.42056
2021-06-25,17.757
2021-06-26,11.21495
2021-06-27,12.61682
2021-06-28,17.28971
2021-06-29,12.14953
2021-06-30,8.41121
2021-07-01,16.82242
2021-07-02,2.80373
2021-07-03,7.47663
2021-07-04,4.67289
2021-07-05,10.28037
2021-07-06,7.00934
2021-07-07,3.27102
2021-07-08,2.80373
2021-07-09,4.2056
2021-07-10,2.80373
2021-07-11,4.67289
2021-07-12,2.80373
2021-07-13,5.14018
2021-07-14,4.67289
2021-07-16,7.00934
2021-07-18,2.33644
2021-07-20,8.41121
2021-07-21,2.33644
2021-07-22,2.33644
2021-07-23,3.27102
2021-07-24,2.80373
2021-07-25,2.33644
2021-07-26,2.33644
2021-07-27,2.80373
2021-07-28,6.54205
2021-07-29,7.94392
2021-07-30,5.14018
2021-07-31,4.67289
2021-08-02,7.94392
2021-08-03,8.41121
2021-08-04,5.60747
2021-08-05,7.47663
2021-08-06,7.94392
2021-08-07,4.2056
2021-08-08,7.94392
2021-08-09,11.68224
2021-08-10,7.94392
2021-08-11,5.60747
2021-08-12,5.14018
2021-08-13,5.60747
2021-08-14,7.47663
2021-08-15,7.00934
2021-08-16,7.47663
2021-08-17,9.81308
2021-08-18,13.5514
2021-08-19,6.07476
2021-08-20,13.08411
2021-08-21,5.14018
2021-08-22,10.28037
2021-08-23,12.61682
2021-08-24,12.61682
2021-08-25,20.56074
2021-08-26,10.28037
2021-08-27,13.08411
2021-08-28,9.81308
2021-08-29,18.69158
2021-08-30,10.28037
2021-08-31,13.5514
2021-09-01,16.82242
2021-09-02,13.5514
