date,퇴직금IRP
2020-03-20,13.94984
2020-03-21,5.95611
2020-03-22,2.50783
2020-03-23,15.67398
2020-03-24,16.30094
2020-03-25,18.02507
2020-03-26,13.94984
2020-03-27,13.0094
2020-03-28,4.07523
2020-03-29,5.17241
2020-03-30,15.20376
2020-03-31,15.20376
2020-04-01,14.89028
2020-04-02,13.63636
2020-04-03,11.91222
2020-04-04,4.38871
2020-04-05,2.50783
2020-04-06,13.47962
2020-04-07,16.61442
2020-04-08,17.24137
2020-04-09,11.12852
2020-04-10,14.26332
2020-04-11,3.13479
2020-04-12,4.38871
2020-04-13,13.16614
2020-04-14,14.89028
2020-04-15,6.89655
2020-04-16,17.71159
2020-04-17,13.47962
2020-04-18,5.64263
2020-04-19,5.01567
2020-04-20,17.39811
2020-04-21,15.67398
2020-04-22,13.7931
2020-04-23,12.85266
2020-04-24,13.32288
2020-04-25,3.29153
2020-04-26,3.29153
2020-04-27,13.32288
2020-04-28,14.73354
2020-04-29,13.7931
2020-04-30,5.01567
2020-05-01,4.38871
2020-05-02,4.38871
2020-05-03,4.38871
2020-05-04,12.06896
2020-05-05,4.23197
2020-05-06,12.85266
2020-05-07,13.7931
2020-05-08,12.38244
2020-05-09,2.50783
2020-05-10,2.97805
2020-05-11,15.83072
2020-05-12,12.38244
2020-05-13,11.442
2020-05-14,13.94984
2020-05-15,13.63636
2020-05-16,5.01567
2020-05-17,3.29153
2020-05-18,15.20376
2020-05-19,12.06896
2020-05-20,12.69592
2020-05-21,10.34482
2020-05-22,8.93416
2020-05-23,3.76175
2020-05-24,4.70219
2020-05-25,14.5768
2020-05-26,9.0909
2020-05-27,11.442
2020-05-28,12.2257
2020-05-29,13.7931
2020-05-30,2.66457
2020-05-31,3.13479
2020-06-01,13.32288
2020-06-02,12.38244
2020-06-03,14.42006
2020-06-04,9.56112
2020-06-05,11.59874
2020-06-06,5.48589
2020-06-07,3.44827
2020-06-08,10.50156
2020-06-09,10.81504
2020-06-10,14.26332
2020-06-11,10.03134
2020-06-12,9.8746
2020-06-13,3.44827
2020-06-14,4.85893
2020-06-15,15.67398
2020-06-16,13.16614
2020-06-17,9.24764
2020-06-18,11.28526
2020-06-19,8.62068
2020-06-20,4.23197
2020-06-21,3.29153
2020-06-22,10.6583
2020-06-23,14.89028
2020-06-24,10.81504
2020-06-25,17.24137
2020-06-26,12.06896
2020-06-27,2.97805
2020-06-28,2.03761
2020-06-29,13.94984
2020-06-30,13.0094
2020-07-01,13.47962
2020-07-02,11.12852
2020-07-03,13.32288
2020-07-04,3.91849
2020-07-05,2.35109
2020-07-06,14.10658
2020-07-07,13.63636
2020-07-08,10.03134
2020-07-09,9.0909
2020-07-10,10.34482
2020-07-11,5.01567
2020-07-12,2.66457
2020-07-13,10.34482
2020-07-14,15.04702
2020-07-15,16.61442
2020-07-16,14.10658
2020-07-17,10.97178
2020-07-18,2.50783
2020-07-19,1.88087
2020-07-20,13.94984
2020-07-21,11.59874
2020-07-22,9.8746
2020-07-23,10.03134
2020-07-24,11.91222
2020-07-25,1.88087
2020-07-26,4.07523
2020-07-27,12.85266
2020-07-28,14.5768
2020-07-29,13.0094
2020-07-30,12.2257
2020-07-31,12.85266
2020-08-01,2.97805
2020-08-02,4.23197
