date,퇴직금세금
2020-03-20,37.25563
2020-03-21,18.64661
2020-03-22,16.61654
2020-03-23,37.66917
2020-03-24,37.70676
2020-03-25,42.14285
2020-03-26,41.35338
2020-03-27,35.33834
2020-03-28,17.81954
2020-03-29,13.75939
2020-03-30,39.39849
2020-03-31,46.8421
2020-04-01,37.66917
2020-04-02,37.96992
2020-04-03,36.57894
2020-04-04,19.3609
2020-04-05,14.51127
2020-04-06,38.42105
2020-04-07,35.75187
2020-04-08,36.69172
2020-04-09,35.78947
2020-04-10,41.65413
2020-04-11,17.06766
2020-04-12,15.11278
2020-04-13,40.11278
2020-04-14,37.85714
2020-04-15,18.49624
2020-04-16,31.69172
2020-04-17,32.25563
2020-04-18,15.26315
2020-04-19,15.07518
2020-04-20,33.79699
2020-04-21,32.4436
2020-04-22,33.15789
2020-04-23,30.22556
2020-04-24,31.99248
2020-04-25,14.81203
2020-04-26,13.45864
2020-04-27,31.09022
2020-04-28,32.74436
2020-04-29,36.69172
2020-04-30,18.57142
2020-05-01,16.05263
2020-05-02,11.39097
2020-05-03,14.39849
2020-05-04,26.54135
2020-05-05,15.07518
2020-05-06,30.97744
2020-05-07,32.4436
2020-05-08,30.26315
2020-05-09,17.14285
2020-05-10,15.63909
2020-05-11,34.92481
2020-05-12,33.68421
2020-05-13,34.47368
2020-05-14,33.60902
2020-05-15,31.12781
2020-05-16,15.30075
2020-05-17,12.81954
2020-05-18,31.39097
2020-05-19,30.41353
2020-05-20,33.79699
2020-05-21,31.54135
2020-05-22,26.46616
2020-05-23,13.98496
2020-05-24,13.34586
2020-05-25,33.87218
2020-05-26,30.22556
2020-05-27,33.98496
2020-05-28,29.66165
2020-05-29,28.87218
2020-05-30,17.21804
2020-05-31,14.84962
2020-06-01,33.94736
2020-06-02,31.99248
2020-06-03,30.97744
2020-06-04,28.34586
2020-06-05,27.70676
2020-06-06,15.03759
2020-06-07,13.38345
2020-06-08,31.91729
2020-06-09,32.55639
2020-06-10,37.93233
2020-06-11,30.75187
2020-06-12,26.91729
2020-06-13,15.37593
2020-06-14,13.27067
2020-06-15,34.24812
2020-06-16,32.25563
2020-06-17,29.47368
2020-06-18,29.66165
2020-06-19,28.60902
2020-06-20,14.62406
2020-06-21,12.74436
2020-06-22,28.90977
2020-06-23,28.98496
2020-06-24,28.42105
2020-06-25,33.64661
2020-06-26,28.98496
2020-06-27,14.84962
2020-06-28,12.74436
2020-06-29,30.11278
2020-06-30,40.45112
2020-07-01,34.3233
2020-07-02,30.6015
2020-07-03,28.75939
2020-07-04,13.04511
2020-07-05,12.4812
2020-07-06,33.15789
2020-07-07,33.38345
2020-07-08,33.87218
2020-07-09,30.48872
2020-07-10,35.90225
2020-07-11,15.41353
2020-07-12,14.73684
2020-07-13,31.61654
2020-07-14,41.69172
2020-07-15,38.27067
2020-07-16,32.59398
2020-07-17,28.42105
2020-07-18,13.83458
2020-07-19,14.69924
2020-07-20,32.10526
2020-07-21,34.69924
2020-07-22,33.27067
2020-07-23,29.66165
2020-07-24,31.05263
2020-07-25,18.34586
2020-07-26,15.03759
2020-07-27,28.1203
2020-07-28,34.21052
2020-07-29,30.26315
2020-07-30,28.7218
2020-07-31,33.45864
2020-08-01,13.23308
2020-08-02,14.21052
2020-08-03,28.34586
2020-08-04,25.37593
2020-08-05,30.63909
2020-08-06,28.75939
2020-08-07,29.02255
2020-08-08,13.79699
2020-08-09,15.03759
2020-08-10,39.54887
2020-08-11,31.2406
2020-08-12,30.07518
2020-08-13,29.09774
2020-08-14,32.10526
2020-08-15,14.3609
2020-08-16,12.18045
2020-08-17,18.45864
2020-08-18,29.69924
2020-08-19,27.81954
2020-08-20,28.42105
2020-08-21,28.42105
2020-08-22,13.90977
2020-08-23,13.75939
2020-08-24,30.71428
2020-08-25,33.04511
