date,퇴직연금디폴트옵션
2020-06-02,0.1322
2020-06-19,0.15864
2020-08-03,0.1322
2020-08-20,0.1322
2020-10-08,0.1322
2020-10-13,0.1322
2020-10-14,0.1322
2021-01-22,0.31729
2021-01-23,0.15864
2021-01-24,0.1322
2021-01-26,0.15864
2021-02-01,0.26441
2021-02-03,0.21152
2021-02-05,0.97831
2021-02-06,0.5817
2021-02-07,0.34373
2021-02-08,0.44949
2021-02-10,0.42305
2021-02-15,0.42305
2021-02-16,0.47593
2021-02-17,0.1322
2021-02-23,0.18508
2021-02-25,0.18508
2021-02-26,0.15864
2021-03-02,0.15864
2021-03-10,0.37017
2021-03-11,0.1322
2021-03-22,0.23796
2021-03-23,0.1322
2021-03-24,0.29085
2021-03-25,0.1322
2021-03-29,0.15864
2021-04-05,0.21152
2021-04-11,0.1322
2021-04-21,0.1322
2021-04-22,0.42305
2021-04-26,0.5817
2021-04-27,0.23796
2021-04-28,0.37017
2021-04-29,0.21152
2021-04-30,0.18508
2021-05-06,0.18508
2021-05-10,0.1322
2021-05-12,0.15864
2021-05-13,0.15864
2021-05-17,0.15864
2021-05-19,0.50237
2021-05-20,1.1634
2021-05-21,0.66102
2021-05-22,0.23796
2021-05-24,0.60814
2021-05-25,0.5817
2021-05-26,0.37017
2021-05-27,0.15864
2021-05-31,0.1322
2021-06-02,0.15864
2021-06-14,0.15864
2021-06-15,0.15864
2021-06-16,0.15864
2021-06-17,0.1322
2021-06-18,0.1322
2021-06-21,0.26441
2021-06-29,0.37017
2021-06-30,0.52882
2021-07-01,0.18508
2021-07-06,0.1322
2021-07-07,0.1322
2021-07-13,0.15864
2021-07-14,0.1322
2021-07-15,0.39661
2021-07-16,0.15864
2021-07-19,0.44949
2021-07-20,0.15864
2021-07-21,0.29085
2021-08-05,0.18508
2021-08-10,0.1322
2021-08-12,0.15864
2021-09-13,0.18508
2021-09-27,0.1322
2021-10-25,0.1322
2021-10-27,0.1322
2021-10-29,0.21152
2021-11-02,0.1322
2021-11-03,0.1322
2021-11-16,0.1322
2021-12-01,3.33157
2021-12-02,5.10312
2021-12-03,1.34849
2021-12-04,0.60814
2021-12-05,0.42305
2021-12-06,1.7451
2021-12-07,4.23056
2021-12-08,2.11528
2021-12-09,3.46377
2021-12-10,13.2734
2021-12-11,1.85087
2021-12-12,1.42781
2021-12-13,3.88683
2021-12-14,1.98307
2021-12-15,1.85087
2021-12-16,1.82443
2021-12-17,1.48069
2021-12-18,0.18508
2021-12-19,0.42305
2021-12-20,1.26916
2021-12-21,1.77154
2021-12-22,0.79323
2021-12-23,1.58646
2021-12-24,0.74034
2021-12-25,0.15864
2021-12-26,0.74034
2021-12-27,1.11052
2021-12-28,0.74034
2021-12-29,0.81967
2021-12-30,0.68746
2021-12-31,0.79323
2022-01-01,0.1322
2022-01-02,0.5817
2022-01-03,1.18984
2022-01-04,1.53358
2022-01-05,1.37493
2022-01-06,0.44949
2022-01-07,1.05764
2022-01-08,0.34373
2022-01-09,0.26441
2022-01-10,0.74034
2022-01-11,0.97831
2022-01-12,0.5817
2022-01-13,0.23796
2022-01-14,0.84611
2022-01-17,0.39661
2022-01-18,0.74034
2022-01-19,0.63458
2022-01-20,0.55526
2022-01-21,0.37017
2022-01-24,0.5817
2022-01-25,0.15864
2022-01-26,0.42305
2022-01-27,0.42305
2022-01-28,0.18508
2022-01-29,0.18508
2022-01-30,0.31729
2022-02-01,0.29085
2022-02-02,0.37017
2022-02-03,0.92543
2022-02-04,0.74034
2022-02-05,0.21152
2022-02-06,0.18508
2022-02-07,0.39661
2022-02-08,0.79323
2022-02-09,0.84611
2022-02-10,0.44949
2022-02-11,0.39661
2022-02-12,0.1322
2022-02-14,0.52882
2022-02-15,0.50237
2022-02-16,0.42305
2022-02-18,0.23796
2022-02-21,0.29085
2022-02-22,0.15864
2022-02-24,0.37017
2022-02-25,0.37017
2022-02-27,0.15864
2022-02-28,0.29085
2022-03-01,0.15864
2022-03-02,0.50237
2022-03-03,0.39661
2022-03-04,0.1322
2022-03-07,0.42305
2022-03-10,0.15864
2022-03-11,0.42305
2022-03-14,0.15864
2022-03-15,0.1322
2022-03-16,0.34373
2022-03-17,0.15864
2022-03-18,0.29085
