date,특판예금
2020-03-20,5.65156
2020-03-21,2.42877
2020-03-22,2.84913
2020-03-23,6.02522
2020-03-24,6.5857
2020-03-25,7.37972
2020-03-26,7.8468
2020-03-27,5.97851
2020-03-28,4.06352
2020-03-29,3.9234
2020-03-30,7.42643
2020-03-31,7.28631
2020-04-01,7.00607
2020-04-02,6.63241
2020-04-03,4.90425
2020-04-04,2.42877
2020-04-05,2.52218
2020-04-06,6.5857
2020-04-07,7.1929
2020-04-08,6.39887
2020-04-09,5.60485
2020-04-10,6.11863
2020-04-11,3.73657
2020-04-12,3.64315
2020-04-13,7.70667
2020-04-14,6.5857
2020-04-15,4.29705
2020-04-16,5.79168
2020-04-17,6.25875
2020-04-18,3.50303
2020-04-19,3.54974
2020-04-20,8.5474
2020-04-21,8.87435
2020-04-22,7.33302
2020-04-23,7.28631
2020-04-24,6.44558
2020-04-25,3.68986
2020-04-26,4.39047
2020-04-27,9.48155
2020-04-28,8.64082
2020-04-29,8.92106
2020-04-30,3.40962
2020-05-01,3.78327
2020-05-02,2.70901
2020-05-03,3.82998
2020-05-04,10.08874
2020-05-05,3.87669
2020-05-06,7.80009
2020-05-07,8.78094
2020-05-08,5.60485
2020-05-09,3.45632
2020-05-10,4.39047
2020-05-11,9.90191
2020-05-12,9.76179
2020-05-13,8.78094
2020-05-14,6.86595
2020-05-15,7.33302
2020-05-16,3.40962
2020-05-17,3.36291
2020-05-18,7.09948
2020-05-19,7.00607
2020-05-20,7.33302
2020-05-21,5.74497
2020-05-22,5.09107
2020-05-23,4.25035
2020-05-24,3.22279
2020-05-25,8.5007
2020-05-26,8.5007
2020-05-27,5.97851
2020-05-28,7.33302
2020-05-29,7.75338
2020-05-30,2.94255
2020-05-31,3.82998
2020-06-01,8.36057
2020-06-02,6.539
2020-06-03,7.37972
2020-06-04,6.49229
2020-06-05,4.90425
2020-06-06,1.68145
2020-06-07,2.47547
2020-06-08,7.80009
2020-06-09,6.11863
2020-06-10,5.74497
2020-06-11,6.35217
2020-06-12,4.624
2020-06-13,1.91499
2020-06-14,2.52218
2020-06-15,5.09107
2020-06-16,4.43717
2020-06-17,4.06352
2020-06-18,3.82998
2020-06-19,3.2695
2020-06-20,0.98085
2020-06-21,1.63475
2020-06-22,5.09107
2020-06-23,4.43717
2020-06-24,5.18449
2020-06-25,4.29705
2020-06-26,4.01681
2020-06-27,2.28865
2020-06-28,2.28865
2020-06-29,4.85754
2020-06-30,4.29705
2020-07-01,5.2779
2020-07-02,4.71742
2020-07-03,4.11022
2020-07-04,2.42877
2020-07-05,1.72816
2020-07-06,6.539
2020-07-07,5.55815
2020-07-08,6.5857
2020-07-09,5.18449
2020-07-10,5.2312
2020-07-11,2.84913
2020-07-12,2.42877
2020-07-13,5.37132
2020-07-14,5.65156
2020-07-15,6.25875
2020-07-16,5.37132
2020-07-17,5.9318
2020-07-18,2.94255
2020-07-19,2.28865
2020-07-20,8.08033
2020-07-21,5.79168
2020-07-22,6.02522
2020-07-23,5.09107
2020-07-24,4.76412
2020-07-25,3.12937
2020-07-26,3.03596
2020-07-27,6.81924
2020-07-28,5.55815
2020-07-29,6.95936
2020-07-30,6.11863
2020-07-31,6.21205
2020-08-01,3.3162
2020-08-02,2.70901
2020-08-03,5.46473
2020-08-04,5.18449
2020-08-05,5.79168
2020-08-06,4.81083
2020-08-07,3.9234
2020-08-08,2.24194
2020-08-09,2.0084
2020-08-10,5.32461
2020-08-11,4.5773
2020-08-12,4.624
2020-08-13,4.15693
2020-08-14,3.03596
2020-08-15,2.28865
2020-08-16,1.77487
2020-08-17,2.42877
2020-08-18,4.01681
2020-08-19,4.81083
2020-08-20,4.15693
2020-08-21,3.78327
2020-08-22,2.0084
2020-08-23,2.38206
2020-08-24,4.43717
2020-08-25,5.2312
2020-08-26,3.64315
2020-08-27,4.01681
2020-08-28,4.11022
2020-08-29,2.6156
2020-08-30,2.24194
2020-08-31,4.34376
2020-09-01,5.55815
2020-09-02,4.48388
2020-09-03,4.43717
2020-09-04,4.43717
2020-09-05,2.56889
2020-09-06,2.94255
2020-09-07,4.25035
2020-09-08,4.81083
2020-09-09,3.12937
2020-09-10,3.9701
2020-09-11,3.40962
2020-09-12,2.28865
2020-09-13,2.6156
2020-09-14,4.39047
2020-09-15,5.18449
2020-09-16,5.8851
2020-09-17,5.32461
2020-09-18,4.29705
2020-09-19,2.47547
2020-09-20,2.56889
2020-09-21,4.43717
2020-09-22,4.53059
2020-09-23,4.5773
2020-09-24,5.41802
2020-09-25,4.624
2020-09-26,2.0084
2020-09-27,2.6156
2020-09-28,4.81083
2020-09-29,3.17608
2020-09-30,2.38206
2020-10-01,1.40121
2020-10-02,2.14852
2020-10-03,1.54133
2020-10-04,2.10182
2020-10-05,6.21205
2020-10-06,4.67071
2020-10-07,4.29705
2020-10-08,5.37132
2020-10-09,3.17608
2020-10-10,1.91499
2020-10-11,3.22279
2020-10-12,7.56655
2020-10-13,6.02522
2020-10-14,6.11863
2020-10-15,4.90425
2020-10-16,4.29705
2020-10-17,2.10182
2020-10-18,3.22279
2020-10-19,8.31387
2020-10-20,5.41802
2020-10-21,7.14619
2020-10-22,5.13778
2020-10-23,5.32461
2020-10-24,1.91499
2020-10-25,1.72816
2020-10-26,5.74497
2020-10-27,6.72582
2020-10-28,5.32461
2020-10-29,5.55815
2020-10-30,6.25875
2020-10-31,3.50303
2020-11-01,3.64315
2020-11-02,5.74497
2020-11-03,6.11863
2020-11-04,4.11022
2020-11-05,4.25035
2020-11-06,3.9234
2020-11-07,2.0084
2020-11-08,2.42877
2020-11-09,5.83839
2020-11-10,5.04437
2020-11-11,4.85754
2020-11-12,4.15693
2020-11-13,4.39047
2020-11-14,3.2695
2020-11-15,2.47547
2020-11-16,7.1929
2020-11-17,5.41802
2020-11-18,4.53059
2020-11-19,5.74497
2020-11-20,5.13778
2020-11-21,3.12937
2020-11-22,2.56889
2020-11-23,5.2312
2020-11-24,5.37132
2020-11-25,4.43717
2020-11-26,4.53059
2020-11-27,3.36291
2020-11-28,2.42877
2020-11-29,2.42877
2020-11-30,4.85754
2020-12-01,5.65156
2020-12-02,5.2312
2020-12-03,4.25035
2020-12-04,5.04437
2020-12-05,2.10182
2020-12-06,2.6623
2020-12-07,4.95095
2020-12-08,5.60485
2020-12-09,5.18449
2020-12-10,3.36291
2020-12-11,4.48388
