date,파미셀주가
2020-03-20,7.76451
2020-03-21,1.4088
2020-03-22,0.85816
2020-03-23,8.51138
2020-03-24,10.15596
2020-03-25,13.11415
2020-03-26,25.98228
2020-03-27,53.49783
2020-03-28,10.59676
2020-03-29,9.69319
2020-03-30,59.52991
2020-03-31,52.14908
2020-04-01,41.43662
2020-04-02,33.68236
2020-04-03,33.17858
2020-04-04,5.97349
2020-04-05,5.11825
2020-04-06,29.59215
2020-04-07,26.68521
2020-04-08,25.75236
2020-04-09,27.89338
2020-04-10,23.72409
2020-04-11,4.82682
2020-04-12,4.93226
2020-04-13,25.73185
2020-04-14,22.68873
2020-04-15,3.71677
2020-04-16,18.67613
2020-04-17,42.95965
2020-04-18,11.66434
2020-04-19,9.01662
2020-04-20,70.59676
2020-04-21,58.21337
2020-04-22,44.21908
2020-04-23,37.80478
2020-04-24,40.87281
2020-04-25,6.30592
2020-04-26,5.27202
2020-04-27,35.6374
2020-04-28,27.48334
2020-04-29,23.07534
2020-04-30,17.10624
2020-05-01,10.56161
2020-05-02,9.74738
2020-05-03,8.06033
2020-05-04,74.49513
2020-05-05,12.00556
2020-05-06,51.4271
2020-05-07,36.48531
2020-05-08,32.51665
2020-05-09,5.92955
2020-05-10,5.70989
2020-05-11,31.79468
2020-05-12,32.66603
2020-05-13,30.13546
2020-05-14,28.14966
2020-05-15,28.54067
2020-05-16,4.42849
2020-05-17,3.95108
2020-05-18,26.29713
2020-05-19,100.0
2020-05-20,41.71047
2020-05-21,32.10368
2020-05-22,36.2305
2020-05-23,6.52705
2020-05-24,6.49483
2020-05-25,39.32488
2020-05-26,35.47338
2020-05-27,30.82814
2020-05-28,31.50472
2020-05-29,47.33543
2020-05-30,7.97979
2020-05-31,6.03646
2020-06-01,37.98638
2020-06-02,30.71245
2020-06-03,37.07256
2020-06-04,28.63147
2020-06-05,24.76092
2020-06-06,3.93497
2020-06-07,3.52786
2020-06-08,24.12389
2020-06-09,27.41011
2020-06-10,30.78274
2020-06-11,29.23628
2020-06-12,31.91184
2020-06-13,4.30255
2020-06-14,3.57618
2020-06-15,24.01991
2020-06-16,22.59939
2020-06-17,20.70879
2020-06-18,20.42029
2020-06-19,19.49037
2020-06-20,2.66676
2020-06-21,2.69312
2020-06-22,23.52786
2020-06-23,19.21944
2020-06-24,19.20187
2020-06-25,17.18825
2020-06-26,16.95394
2020-06-27,2.52617
2020-06-28,2.45441
2020-06-29,17.98491
2020-06-30,16.69327
2020-07-01,21.82031
2020-07-02,22.39291
2020-07-03,22.47345
2020-07-04,3.06802
2020-07-05,2.73266
2020-07-06,18.76253
2020-07-07,16.16753
2020-07-08,15.40016
2020-07-09,14.35161
2020-07-10,21.11884
2020-07-11,4.53247
2020-07-12,3.46342
2020-07-13,20.35732
2020-07-14,16.56879
2020-07-15,81.6929
