date,파이코인상장
2020-03-20,1.85364
2020-03-21,1.75665
2020-03-22,1.62733
2020-03-23,2.16618
2020-03-24,1.99374
2020-03-25,2.55415
2020-03-26,2.0153
2020-03-27,1.79976
2020-03-28,1.90753
2020-03-29,1.68121
2020-03-30,1.7351
2020-03-31,1.8752
2020-04-01,2.06918
2020-04-02,2.7158
2020-04-03,1.81053
2020-04-04,1.64888
2020-04-05,1.74587
2020-04-06,2.39249
2020-04-07,2.5326
2020-04-08,2.09074
2020-04-09,2.38172
2020-04-10,1.97219
2020-04-11,1.60577
2020-04-12,2.24162
2020-04-13,2.25239
2020-04-14,1.97219
2020-04-15,1.95064
2020-04-16,2.51104
2020-04-17,2.31706
2020-04-18,2.80202
2020-04-19,2.85591
2020-04-20,2.50026
2020-04-21,2.50026
2020-04-22,2.28472
2020-04-23,2.41405
2020-04-24,2.09074
2020-04-25,1.83209
2020-04-26,1.67043
2020-04-27,2.05841
2020-04-28,1.81053
2020-04-29,1.69199
2020-04-30,1.84287
2020-05-01,1.71354
2020-05-02,1.55189
2020-05-03,1.89675
2020-05-04,1.89675
2020-05-05,1.98297
2020-05-06,2.12307
2020-05-07,2.07996
2020-05-08,1.7351
2020-05-09,1.67043
2020-05-10,1.23935
2020-05-11,1.51956
2020-05-12,1.44412
2020-05-13,1.04537
2020-05-14,1.20702
2020-05-15,1.11003
2020-05-16,1.33635
2020-05-17,1.39023
2020-05-18,2.14462
2020-05-19,1.95064
2020-05-20,1.72432
2020-05-21,1.59499
2020-05-22,1.81053
2020-05-23,1.50878
2020-05-24,1.42256
2020-05-25,1.75665
2020-05-26,1.95064
2020-05-27,1.82131
2020-05-28,1.71354
2020-05-29,1.44412
2020-05-30,1.27168
2020-05-31,1.27168
2020-06-01,1.31479
2020-06-02,1.88597
2020-06-03,1.72432
2020-06-04,1.74587
2020-06-05,1.50878
2020-06-06,1.41179
2020-06-07,1.76743
2020-06-08,1.7351
2020-06-09,1.498
2020-06-10,1.31479
2020-06-11,1.44412
2020-06-12,1.45489
2020-06-13,1.08847
2020-06-14,1.08847
2020-06-15,1.20702
2020-06-16,1.16391
2020-06-17,1.12081
2020-06-18,0.94837
2020-06-19,1.0777
