date,피상속인
2020-03-20,20.97053
2020-03-21,11.9584
2020-03-22,15.59792
2020-03-23,28.76949
2020-03-24,26.51646
2020-03-25,21.31715
2020-03-26,27.90294
2020-03-27,20.10398
2020-03-28,10.74523
2020-03-29,11.78509
2020-03-30,24.09012
2020-03-31,27.90294
2020-04-01,27.38301
2020-04-02,25.12998
2020-04-03,21.83708
2020-04-04,12.30502
2020-04-05,10.74523
2020-04-06,24.43674
2020-04-07,24.95667
2020-04-08,24.61005
2020-04-09,23.22357
2020-04-10,21.31715
2020-04-11,11.61178
2020-04-12,17.15771
2020-04-13,27.38301
2020-04-14,27.38301
2020-04-15,12.47833
2020-04-16,26.51646
2020-04-17,26.34315
2020-04-18,16.11785
2020-04-19,15.94454
2020-04-20,28.9428
2020-04-21,34.14211
2020-04-22,35.35528
2020-04-23,32.75563
2020-04-24,26.51646
2020-04-25,13.86481
2020-04-26,15.77123
2020-04-27,35.7019
2020-04-28,27.2097
2020-04-29,23.57019
2020-04-30,16.11785
2020-05-01,16.46447
2020-05-02,13.51819
2020-05-03,15.42461
2020-05-04,31.71577
2020-05-05,17.67764
2020-05-06,35.7019
2020-05-07,27.2097
2020-05-08,27.72963
2020-05-09,17.15771
2020-05-10,16.81109
2020-05-11,35.00866
2020-05-12,30.15597
2020-05-13,24.95667
2020-05-14,27.55632
2020-05-15,27.2097
2020-05-16,15.07798
2020-05-17,15.77123
2020-05-18,37.26169
2020-05-19,33.79549
2020-05-20,29.98266
2020-05-21,30.32928
2020-05-22,24.61005
2020-05-23,13.86481
2020-05-24,18.54419
2020-05-25,34.83535
2020-05-26,30.84922
2020-05-27,31.54246
2020-05-28,34.14211
2020-05-29,27.38301
2020-05-30,15.77123
2020-05-31,14.03812
2020-06-01,25.12998
2020-06-02,32.58232
2020-06-03,35.7019
2020-06-04,29.98266
2020-06-05,27.55632
2020-06-06,21.14384
2020-06-07,17.15771
2020-06-08,27.38301
2020-06-09,42.461
2020-06-10,29.28942
2020-06-11,30.6759
2020-06-12,29.11611
2020-06-13,14.55805
