date,피성년후견인
2020-03-20,31.46551
2020-03-21,19.39655
2020-03-22,21.03448
2020-03-23,38.01724
2020-03-24,41.2931
2020-03-25,40.0862
2020-03-26,39.39655
2020-03-27,30.17241
2020-03-28,22.5862
2020-03-29,22.15517
2020-03-30,33.44827
2020-03-31,37.5862
2020-04-01,40.77586
2020-04-02,39.65517
2020-04-03,29.56896
2020-04-04,21.03448
2020-04-05,22.84482
2020-04-06,37.24137
2020-04-07,45.34482
2020-04-08,40.0862
2020-04-09,37.15517
2020-04-10,33.87931
2020-04-11,22.06896
2020-04-12,21.46551
2020-04-13,36.55172
2020-04-14,35.34482
2020-04-15,30.0
2020-04-16,50.25862
2020-04-17,36.81034
2020-04-18,28.62068
2020-04-19,27.84482
2020-04-20,42.32758
2020-04-21,44.65517
2020-04-22,46.20689
2020-04-23,42.41379
2020-04-24,38.87931
2020-04-25,29.56896
2020-04-26,26.81034
2020-04-27,37.32758
2020-04-28,38.70689
2020-04-29,31.98275
2020-04-30,25.86206
2020-05-01,29.48275
2020-05-02,20.94827
2020-05-03,25.60344
2020-05-04,32.5
2020-05-05,31.63793
2020-05-06,41.12068
2020-05-07,39.39655
2020-05-08,33.18965
2020-05-09,25.51724
2020-05-10,32.06896
2020-05-11,41.03448
2020-05-12,44.56896
2020-05-13,42.32758
2020-05-14,42.32758
2020-05-15,33.27586
2020-05-16,29.48275
2020-05-17,28.7931
2020-05-18,40.0862
2020-05-19,45.60344
2020-05-20,44.13793
2020-05-21,45.60344
2020-05-22,34.22413
2020-05-23,28.70689
2020-05-24,29.48275
2020-05-25,41.20689
2020-05-26,46.2931
2020-05-27,42.06896
2020-05-28,43.36206
2020-05-29,44.48275
2020-05-30,37.32758
2020-05-31,38.27586
2020-06-01,47.75862
2020-06-02,49.22413
2020-06-03,47.41379
2020-06-04,47.67241
2020-06-05,42.84482
2020-06-06,37.15517
2020-06-07,32.75862
2020-06-08,45.77586
2020-06-09,48.62068
2020-06-10,45.86206
2020-06-11,45.94827
2020-06-12,43.96551
2020-06-13,38.53448
2020-06-14,33.01724
2020-06-15,45.60344
2020-06-16,45.17241
2020-06-17,44.39655
2020-06-18,50.0
2020-06-19,43.70689
2020-06-20,33.27586
2020-06-21,30.34482
2020-06-22,46.37931
2020-06-23,52.32758
2020-06-24,52.75862
2020-06-25,47.5
2020-06-26,43.62068
2020-06-27,27.5862
2020-06-28,24.05172
2020-06-29,39.13793
2020-06-30,38.87931
2020-07-01,35.86206
2020-07-02,38.70689
2020-07-03,31.98275
2020-07-04,25.0862
2020-07-05,22.24137
2020-07-06,36.98275
2020-07-07,40.60344
2020-07-08,37.5862
2020-07-09,37.15517
2020-07-10,30.43103
2020-07-11,25.94827
2020-07-12,26.98275
2020-07-13,41.03448
2020-07-14,44.22413
2020-07-15,40.94827
2020-07-16,43.01724
2020-07-17,40.25862
2020-07-18,23.96551
2020-07-19,25.51724
2020-07-20,35.0862
2020-07-21,40.34482
2020-07-22,38.27586
2020-07-23,38.01724
2020-07-24,33.27586
2020-07-25,21.55172
2020-07-26,21.20689
2020-07-27,34.74137
2020-07-28,34.82758
2020-07-29,33.53448
