date,필리핀환율
2020-03-20,24.62392
2020-03-21,11.46725
2020-03-22,8.93311
2020-03-23,20.67808
2020-03-24,17.76209
2020-03-25,18.20759
2020-03-26,16.43716
2020-03-27,16.11895
2020-03-28,8.9794
2020-03-29,7.17426
2020-03-30,15.67345
2020-03-31,14.79981
2020-04-01,14.47003
2020-04-02,12.95417
2020-04-03,12.74589
2020-04-04,7.38255
2020-04-05,6.04026
2020-04-06,12.06317
2020-04-07,12.64753
2020-04-08,10.91761
2020-04-09,10.36797
2020-04-10,10.51839
2020-04-11,6.8734
2020-04-12,5.88405
2020-04-13,11.69868
2020-04-14,10.24068
2020-04-15,8.01319
2020-04-16,10.85396
2020-04-17,10.90025
2020-04-18,6.25433
2020-04-19,5.95348
2020-04-20,10.53575
2020-04-21,11.38625
2020-04-22,10.50682
2020-04-23,11.17796
2020-04-24,11.16639
2020-04-25,6.31798
2020-04-26,6.62462
2020-04-27,11.31682
2020-04-28,10.37954
2020-04-29,10.26961
2020-04-30,7.94376
2020-05-01,7.64869
2020-05-02,6.15019
2020-05-03,5.68734
2020-05-04,10.54154
2020-05-05,7.31312
2020-05-06,9.60425
2020-05-07,9.05461
2020-05-08,9.1819
2020-05-09,6.08076
2020-05-10,5.21869
2020-05-11,9.88775
2020-05-12,8.97361
2020-05-13,9.70261
2020-05-14,9.78361
2020-05-15,9.47118
2020-05-16,5.79726
2020-05-17,5.35177
2020-05-18,9.89354
2020-05-19,10.32747
2020-05-20,10.04975
2020-05-21,9.31497
2020-05-22,9.61004
2020-05-23,5.80305
2020-05-24,5.11455
2020-05-25,10.20018
2020-05-26,10.61675
2020-05-27,10.76139
2020-05-28,9.50011
2020-05-29,9.85882
2020-05-30,6.21962
2020-05-31,5.97084
2020-06-01,11.90696
2020-06-02,10.32747
2020-06-03,10.65725
2020-06-04,10.89446
2020-06-05,11.08539
2020-06-06,6.46841
2020-06-07,5.71048
2020-06-08,11.49039
2020-06-09,12.36982
2020-06-10,12.67067
2020-06-11,11.87225
2020-06-12,10.21754
2020-06-13,6.26591
2020-06-14,5.79726
2020-06-15,12.1731
2020-06-16,12.1731
2020-06-17,11.60032
2020-06-18,11.7276
2020-06-19,10.90604
2020-06-20,6.24855
2020-06-21,5.62948
2020-06-22,11.44411
2020-06-23,11.82596
2020-06-24,12.08632
2020-06-25,11.71603
2020-06-26,10.58782
2020-06-27,6.94283
2020-06-28,5.70469
2020-06-29,11.18375
2020-06-30,11.36889
2020-07-01,10.77296
2020-07-02,10.37375
2020-07-03,9.98032
2020-07-04,5.93612
2020-07-05,5.56584
2020-07-06,13.3071
2020-07-07,12.0111
2020-07-08,9.41333
2020-07-09,10.44318
2020-07-10,10.48368
2020-07-11,6.18491
2020-07-12,5.39227
2020-07-13,11.28211
2020-07-14,11.07382
2020-07-15,9.94561
2020-07-16,9.91668
2020-07-17,9.55797
2020-07-18,6.17912
2020-07-19,5.38069
2020-07-20,10.72089
2020-07-21,11.09696
2020-07-22,11.47882
2020-07-23,9.65054
2020-07-24,10.17125
2020-07-25,6.51469
2020-07-26,5.65841
2020-07-27,10.92918
2020-07-28,11.40939
2020-07-29,11.18953
2020-07-30,11.36311
2020-07-31,11.84332
2020-08-01,6.90812
2020-08-02,6.10969
2020-08-03,12.20203
2020-08-04,10.22332
2020-08-05,10.83082
2020-08-06,10.76718
2020-08-07,9.90511
2020-08-08,6.90812
2020-08-09,5.42119
2020-08-10,10.80189
2020-08-11,10.48368
2020-08-12,10.20018
2020-08-13,9.91668
2020-08-14,9.24554
2020-08-15,6.44526
2020-08-16,5.66419
2020-08-17,8.4529
2020-08-18,9.9919
2020-08-19,9.76047
2020-08-20,11.35153
2020-08-21,9.61004
2020-08-22,6.43948
2020-08-23,5.53112
2020-08-24,10.72668
2020-08-25,10.76139
2020-08-26,10.16547
2020-08-27,9.59847
2020-08-28,9.68525
2020-08-29,5.63526
2020-08-30,5.60634
2020-08-31,10.16547
2020-09-01,11.13168
2020-09-02,10.54732
2020-09-03,9.9919
2020-09-04,10.00347
2020-09-05,6.16755
2020-09-06,5.19555
2020-09-07,10.94075
2020-09-08,9.49433
2020-09-09,9.8299
2020-09-10,9.75468
2020-09-11,8.70747
2020-09-12,5.35755
2020-09-13,7.85697
2020-09-14,9.23397
2020-09-15,9.59847
2020-09-16,10.02082
2020-09-17,9.9919
2020-09-18,13.04674
2020-09-19,6.13283
2020-09-20,5.35177
2020-09-21,12.10367
2020-09-22,11.21846
2020-09-23,10.59939
2020-09-24,10.73825
2020-09-25,10.86554
2020-09-26,6.02291
2020-09-27,5.25919
2020-09-28,10.94654
2020-09-29,9.93404
2020-09-30,7.20897
2020-10-01,6.52048
2020-10-02,6.17333
2020-10-03,5.31127
2020-10-04,5.33441
2020-10-05,11.05068
2020-10-06,10.88289
2020-10-07,10.57625
2020-10-08,11.90118
2020-10-09,7.99004
2020-10-10,6.64198
2020-10-11,5.79148
2020-10-12,13.13931
2020-10-13,12.83846
2020-10-14,12.28303
2020-10-15,12.02267
2020-10-16,10.63411
2020-10-17,5.82619
2020-10-18,5.11455
2020-10-19,11.55403
2020-10-20,12.16732
2020-10-21,13.16824
2020-10-22,11.5251
2020-10-23,12.32932
2020-10-24,6.82133
2020-10-25,5.65841
2020-10-26,12.02846
2020-10-27,12.22517
2020-10-28,11.18375
2020-10-29,11.42675
2020-10-30,12.9021
2020-10-31,7.21476
2020-11-01,6.24276
2020-11-02,10.69196
2020-11-03,11.03911
2020-11-04,12.30039
2020-11-05,13.04674
2020-11-06,11.87225
2020-11-07,6.89655
2020-11-08,5.56584
2020-11-09,13.70053
2020-11-10,13.2666
2020-11-11,13.15089
2020-11-12,11.24739
2020-11-13,11.6061
2020-11-14,6.49155
2020-11-15,5.58898
2020-11-16,12.04582
2020-11-17,12.18467
2020-11-18,11.06803
2020-11-19,11.75653
2020-11-20,10.80189
2020-11-21,5.73941
2020-11-22,5.51376
2020-11-23,10.63411
2020-11-24,10.33904
2020-11-25,10.70932
2020-11-26,10.92918
2020-11-27,10.70932
2020-11-28,6.5494
2020-11-29,5.59476
2020-11-30,10.23489
2020-12-01,11.25318
2020-12-02,10.76718
2020-12-03,12.50289
2020-12-04,15.50566
2020-12-05,7.9669
2020-12-06,6.45105
2020-12-07,13.41124
2020-12-08,11.66975
2020-12-09,11.66396
2020-12-10,11.86068
2020-12-11,11.57718
2020-12-12,6.9949
2020-12-13,5.92455
2020-12-14,11.09118
2020-12-15,11.65239
2020-12-16,11.09118
2020-12-17,10.51839
2020-12-18,10.20597
2020-12-19,6.8329
2020-12-20,6.08655
2020-12-21,11.40939
2020-12-22,11.69289
2020-12-23,10.92918
2020-12-24,9.40754
2020-12-25,7.09326
2020-12-26,6.37005
2020-12-27,6.21962
2020-12-28,10.88868
2020-12-29,11.39203
2020-12-30,10.92918
2020-12-31,9.37861
2021-01-01,7.11062
2021-01-02,6.5494
2021-01-03,6.47998
2021-01-04,12.23675
