date,학생돈버는법
2020-03-20,57.37704
2020-03-21,37.70491
2020-03-22,55.19125
2020-03-23,56.8306
2020-03-24,51.91256
2020-03-25,48.08743
2020-03-26,60.65573
2020-03-27,44.26229
2020-03-28,50.27322
2020-03-29,38.25136
2020-03-30,51.36612
2020-03-31,53.00546
2020-04-01,54.6448
2020-04-02,56.8306
2020-04-03,45.90163
2020-04-04,54.6448
2020-04-05,69.94535
2020-04-06,48.63387
2020-04-07,49.18032
2020-04-08,57.37704
2020-04-09,49.72677
2020-04-10,45.35519
2020-04-11,65.02732
2020-04-12,65.02732
2020-04-13,45.90163
2020-04-14,42.62295
2020-04-15,38.79781
2020-04-16,33.87978
2020-04-17,38.79781
2020-04-18,37.15846
2020-04-19,64.48087
2020-04-20,53.55191
2020-04-21,42.62295
2020-04-22,40.43715
2020-04-23,35.51912
2020-04-24,34.42622
2020-04-25,32.78688
2020-04-26,62.29508
2020-04-27,50.81967
2020-04-28,46.44808
2020-04-29,37.15846
2020-04-30,30.05464
2020-05-01,30.60109
2020-05-02,38.79781
2020-05-03,40.9836
2020-05-04,42.0765
2020-05-05,46.44808
2020-05-06,43.16939
2020-05-07,30.05464
2020-05-08,28.96174
2020-05-09,30.05464
2020-05-10,50.27322
2020-05-11,38.79781
2020-05-12,34.42622
2020-05-13,49.18032
2020-05-14,45.35519
2020-05-15,36.06557
2020-05-16,32.78688
2020-05-17,36.61202
2020-05-18,39.89071
2020-05-19,43.71584
2020-05-20,33.87978
2020-05-21,26.77595
2020-05-22,32.78688
2020-05-23,27.3224
2020-05-24,35.51912
2020-05-25,28.96174
2020-05-26,24.04371
2020-05-27,23.49726
2020-05-28,28.4153
2020-05-29,22.95081
2020-05-30,23.49726
2020-05-31,39.89071
2020-06-01,36.06557
2020-06-02,23.49726
2020-06-03,30.05464
2020-06-04,27.86885
2020-06-05,30.60109
2020-06-06,26.77595
2020-06-07,43.71584
2020-06-08,38.25136
2020-06-09,32.78688
2020-06-10,27.86885
2020-06-11,43.16939
2020-06-12,31.69398
2020-06-13,36.06557
2020-06-14,55.7377
2020-06-15,46.44808
2020-06-16,39.34426
2020-06-17,26.2295
2020-06-18,31.14754
2020-06-19,33.33333
2020-06-20,26.2295
2020-06-21,42.0765
2020-06-22,33.33333
2020-06-23,27.3224
2020-06-24,34.42622
2020-06-25,30.05464
2020-06-26,16.93989
2020-06-27,30.05464
2020-06-28,39.34426
2020-06-29,40.43715
2020-06-30,33.33333
2020-07-01,32.78688
2020-07-02,22.40437
2020-07-03,31.14754
2020-07-04,31.69398
2020-07-05,43.16939
2020-07-06,31.69398
2020-07-07,33.33333
2020-07-08,19.12568
2020-07-09,24.59016
2020-07-10,24.04371
2020-07-11,28.4153
2020-07-12,32.78688
2020-07-13,22.40437
2020-07-14,24.04371
2020-07-15,36.06557
2020-07-16,28.4153
2020-07-17,15.30054
2020-07-18,31.69398
2020-07-19,39.89071
2020-07-20,31.69398
2020-07-21,24.04371
2020-07-22,22.95081
2020-07-23,28.96174
2020-07-24,28.4153
2020-07-25,36.06557
2020-07-26,36.06557
2020-07-27,36.61202
2020-07-28,27.86885
2020-07-29,27.86885
2020-07-30,14.75409
2020-07-31,19.67213
2020-08-01,25.13661
2020-08-02,40.43715
2020-08-03,34.97267
2020-08-04,36.06557
2020-08-05,39.89071
2020-08-06,42.0765
2020-08-07,28.96174
2020-08-08,37.15846
2020-08-09,43.16939
2020-08-10,34.42622
2020-08-11,39.34426
2020-08-12,44.26229
2020-08-13,53.55191
2020-08-14,62.29508
2020-08-15,42.62295
2020-08-16,37.15846
2020-08-17,38.25136
2020-08-18,40.43715
2020-08-19,33.33333
