date,한국조선해양주가
2020-03-20,15.25051
2020-03-21,1.75921
2020-03-22,1.32439
2020-03-23,13.59901
2020-03-24,13.95404
2020-03-25,15.19865
2020-03-26,15.23456
2020-03-27,14.60028
2020-03-28,1.65948
2020-03-29,0.81777
2020-03-30,12.55385
2020-03-31,12.17089
2020-04-01,11.86771
2020-04-02,11.69618
2020-04-03,11.78793
2020-04-04,1.20871
2020-04-05,0.78187
2020-04-06,12.54986
2020-04-07,12.21876
2020-04-08,11.56055
2020-04-09,14.2612
2020-04-10,13.43944
2020-04-11,1.59964
2020-04-12,1.08105
2020-04-13,12.23073
2020-04-14,11.49672
2020-04-15,1.67544
2020-04-16,10.38375
2020-04-17,12.56582
2020-04-18,1.45603
2020-04-19,0.97734
2020-04-20,11.34514
2020-04-21,13.95404
2020-04-22,13.60299
2020-04-23,15.31434
2020-04-24,13.1961
2020-04-25,1.34833
2020-04-26,0.91351
2020-04-27,12.1669
2020-04-28,12.00734
2020-04-29,18.35008
2020-04-30,2.48125
2020-05-01,2.73655
2020-05-02,1.11297
2020-05-03,1.30445
2020-05-04,12.30253
2020-05-05,1.81107
2020-05-06,15.23855
2020-05-07,12.74932
2020-05-08,11.27333
2020-05-09,1.49992
2020-05-10,0.85766
2020-05-11,11.21349
2020-05-12,10.41965
2020-05-13,10.89037
2020-05-14,10.57124
2020-05-15,10.88638
2020-05-16,1.0651
2020-05-17,0.90952
2020-05-18,10.63906
2020-05-19,13.44742
2020-05-20,11.20552
2020-05-21,12.29455
2020-05-22,10.94622
2020-05-23,1.16882
2020-05-24,1.12892
2020-05-25,15.72522
2020-05-26,16.14009
2020-05-27,24.41359
2020-05-28,19.7024
2020-05-29,15.60156
2020-05-30,1.79511
2020-05-31,1.36827
2020-06-01,16.79033
2020-06-02,37.17488
2020-06-03,32.26823
2020-06-04,26.64352
2020-06-05,23.42029
2020-06-06,2.93202
2020-06-07,2.32966
2020-06-08,23.39636
2020-06-09,19.89388
2020-06-10,18.81282
2020-06-11,17.19323
2020-06-12,16.84218
2020-06-13,1.59964
2020-06-14,1.24062
2020-06-15,17.34881
2020-06-16,18.43385
2020-06-17,16.64672
2020-06-18,16.98579
2020-06-19,15.78905
2020-06-20,1.26456
2020-06-21,0.96138
2020-06-22,12.88096
2020-06-23,14.80373
2020-06-24,15.44997
2020-06-25,13.08042
2020-06-26,12.55385
2020-06-27,1.14887
2020-06-28,0.79384
2020-06-29,11.4329
2020-06-30,12.31849
2020-07-01,11.4688
2020-07-02,11.76799
2020-07-03,10.87841
2020-07-04,0.90553
2020-07-05,0.69012
2020-07-06,11.75602
2020-07-07,11.63634
2020-07-08,10.87043
2020-07-09,11.97143
2020-07-10,10.63507
2020-07-11,0.87761
2020-07-12,0.79384
2020-07-13,16.23583
2020-07-14,11.44088
2020-07-15,14.76783
2020-07-16,12.97271
2020-07-17,10.95819
2020-07-18,1.06909
2020-07-19,0.66618
2020-07-20,12.35439
2020-07-21,15.50582
2020-07-22,13.34769
2020-07-23,12.69746
2020-07-24,11.68022
2020-07-25,0.98133
2020-07-26,0.8816
2020-07-27,12.38232
2020-07-28,15.1468
2020-07-29,12.74134
2020-07-30,14.02186
2020-07-31,12.45013
2020-08-01,1.38822
2020-08-02,1.15685
2020-08-03,12.58576
2020-08-04,13.80245
2020-08-05,13.51922
2020-08-06,14.13355
2020-08-07,13.44742
2020-08-08,1.32838
2020-08-09,1.14089
2020-08-10,14.16546
2020-08-11,20.50821
2020-08-12,18.05887
2020-08-13,18.74102
2020-08-14,23.91894
2020-08-15,4.60746
2020-08-16,3.29503
2020-08-17,6.2111
2020-08-18,27.20599
2020-08-19,21.08664
2020-08-20,19.31546
2020-08-21,20.27285
2020-08-22,2.58496
2020-08-23,1.53582
2020-08-24,20.28482
2020-08-25,24.86436
2020-08-26,22.65438
2020-08-27,19.31945
2020-08-28,20.04148
2020-08-29,2.11026
2020-08-30,1.60363
2020-08-31,18.83277
2020-09-01,18.82479
2020-09-02,17.6081
2020-09-03,16.53901
2020-09-04,14.95532
2020-09-05,1.7273
2020-09-06,1.40816
2020-09-07,18.08281
2020-09-08,20.02951
2020-09-09,16.64273
2020-09-10,17.55225
2020-09-11,15.37817
2020-09-12,1.86293
2020-09-13,1.28849
2020-09-14,15.92069
2020-09-15,15.80899
2020-09-16,16.45923
2020-09-17,15.39811
2020-09-18,13.39157
2020-09-19,1.48396
2020-09-20,1.20073
2020-09-21,13.60698
2020-09-22,13.0126
2020-09-23,14.16945
2020-09-24,14.38886
2020-09-25,14.51651
2020-09-26,1.68342
2020-09-27,1.20472
2020-09-28,13.61496
2020-09-29,15.24254
2020-09-30,1.63555
2020-10-01,1.14488
2020-10-02,0.93745
2020-10-03,0.87362
2020-10-04,1.09701
2020-10-05,15.8808
2020-10-06,14.40082
2020-10-07,14.54044
2020-10-08,13.48731
2020-10-09,1.84298
2020-10-10,1.06909
2020-10-11,1.27253
2020-10-12,15.05903
2020-10-13,13.83835
2020-10-14,13.35966
2020-10-15,13.05249
2020-10-16,12.8291
2020-10-17,1.1369
2020-10-18,0.86165
2020-10-19,14.09366
2020-10-20,13.2719
2020-10-21,13.54715
2020-10-22,11.90761
2020-10-23,12.75331
2020-10-24,1.03318
2020-10-25,0.85367
2020-10-26,15.64544
2020-10-27,13.17616
2020-10-28,12.3145
2020-10-29,11.89963
2020-10-30,11.38902
2020-10-31,1.31243
2020-11-01,1.05712
2020-11-02,13.20009
2020-11-03,14.67608
2020-11-04,19.5947
2020-11-05,16.92197
2020-11-06,13.93409
2020-11-07,1.40418
2020-11-08,0.99728
2020-11-09,30.78027
2020-11-10,33.34928
2020-11-11,29.06893
2020-11-12,24.23408
2020-11-13,24.38966
2020-11-14,2.88814
2020-11-15,3.12749
2020-11-16,39.72395
2020-11-17,41.16403
2020-11-18,32.18844
2020-11-19,31.48236
2020-11-20,28.24317
2020-11-21,3.59821
2020-11-22,2.97191
2020-11-23,41.21988
2020-11-24,36.97542
2020-11-25,42.88335
2020-11-26,35.06063
2020-11-27,30.3295
2020-11-28,3.47056
2020-11-29,3.75378
2020-11-30,29.72714
2020-12-01,28.64608
2020-12-02,26.9108
2020-12-03,27.86022
2020-12-04,30.81219
