date,한신기계주가
2020-03-20,0.30725
2020-03-23,0.27509
2020-03-24,0.20364
2020-03-25,0.22865
2020-03-26,0.24651
2020-03-27,0.22865
2020-03-30,0.15362
2020-03-31,0.1429
2020-04-01,0.17506
2020-04-02,0.24651
2020-04-03,0.17506
2020-04-06,0.21793
2020-04-07,0.20007
2020-04-08,0.23222
2020-04-09,0.16791
2020-04-10,0.17506
2020-04-13,0.15719
2020-04-14,0.18578
2020-04-15,0.01786
2020-04-16,0.15719
2020-04-17,0.20364
2020-04-18,0.01786
2020-04-20,0.21436
2020-04-21,0.25008
2020-04-22,0.23222
2020-04-23,0.22508
2020-04-24,0.16791
2020-04-27,0.17863
2020-04-28,0.15719
2020-04-29,0.14648
2020-05-04,0.11432
2020-05-06,0.09646
2020-05-07,0.15719
2020-05-08,0.11075
2020-05-11,0.08574
2020-05-12,0.12861
2020-05-13,0.09289
2020-05-14,0.12861
2020-05-15,0.09289
2020-05-18,0.07145
2020-05-19,0.12504
2020-05-20,0.11789
2020-05-21,0.10718
2020-05-22,0.09289
2020-05-24,0.02858
2020-05-25,0.14648
2020-05-26,0.10003
2020-05-27,0.13933
2020-05-28,0.15719
2020-05-29,0.10718
2020-06-01,0.07859
2020-06-02,0.12147
2020-06-03,0.13576
2020-06-04,0.13219
2020-06-05,0.15719
2020-06-08,0.17148
2020-06-09,0.12861
2020-06-10,0.1036
2020-06-11,0.11075
2020-06-12,0.10718
2020-06-15,0.12504
2020-06-16,0.17148
2020-06-17,0.08931
2020-06-18,0.10003
2020-06-19,0.11075
2020-06-22,0.15362
2020-06-23,0.10718
2020-06-24,0.08217
2020-06-25,0.07502
2020-06-26,0.0643
2020-06-29,0.07502
2020-06-30,0.1036
2020-07-01,0.08931
2020-07-02,0.08217
2020-07-03,0.0643
2020-07-04,0.01786
2020-07-06,0.08574
2020-07-07,0.09289
2020-07-08,0.07859
2020-07-09,0.06788
2020-07-10,0.05359
2020-07-12,0.01786
2020-07-13,0.15362
2020-07-14,0.17148
2020-07-15,0.13576
2020-07-16,0.15005
2020-07-17,0.12147
2020-07-20,0.15005
2020-07-21,0.13219
2020-07-22,0.15719
2020-07-23,0.10718
2020-07-24,0.12147
2020-07-27,0.1036
2020-07-28,0.1036
2020-07-29,0.08931
2020-07-30,0.11432
2020-07-31,0.1036
2020-08-01,0.02143
2020-08-03,0.13219
2020-08-04,0.08574
2020-08-05,0.07859
2020-08-06,0.10718
2020-08-07,0.08217
2020-08-10,0.08931
2020-08-11,0.07502
2020-08-12,0.08931
2020-08-13,0.09646
2020-08-14,0.22865
2020-08-15,0.09289
2020-08-16,0.05716
2020-08-17,0.86102
2020-08-18,2.27224
2020-08-19,0.62522
2020-08-20,0.45016
2020-08-21,0.30725
2020-08-22,0.05001
2020-08-23,0.02143
2020-08-24,0.35012
2020-08-25,0.26795
2020-08-26,0.4573
2020-08-27,0.20721
2020-08-28,0.23222
2020-08-29,0.02858
2020-08-30,0.025
2020-08-31,0.20721
2020-09-01,0.21436
2020-09-02,0.27152
2020-09-03,0.20364
2020-09-04,0.20721
2020-09-05,0.025
2020-09-07,0.20721
2020-09-08,0.19292
2020-09-09,0.22865
2020-09-10,0.16791
2020-09-11,0.19649
2020-09-14,0.2215
2020-09-15,0.17863
2020-09-16,0.21436
2020-09-17,0.20721
2020-09-18,0.15362
2020-09-21,0.23937
2020-09-22,0.20007
2020-09-23,0.17863
2020-09-24,0.17863
2020-09-25,0.15362
2020-09-28,0.19292
2020-09-29,0.19649
2020-10-05,0.16791
2020-10-06,0.25366
2020-10-07,0.19649
2020-10-08,0.17863
2020-10-11,0.05716
2020-10-12,0.28581
2020-10-13,0.15005
2020-10-14,0.48231
2020-10-15,0.2215
2020-10-16,0.11432
2020-10-19,0.23579
2020-10-20,0.3787
2020-10-21,0.18935
2020-10-22,0.13933
2020-10-23,0.10718
2020-10-26,0.13219
2020-10-27,0.08574
2020-10-28,0.10003
2020-10-29,0.09646
2020-10-30,0.09289
2020-11-02,0.07145
2020-11-03,0.07859
2020-11-04,0.10718
2020-11-05,0.1036
2020-11-06,0.1036
2020-11-09,0.09646
2020-11-10,0.10003
2020-11-11,0.07859
2020-11-12,0.06073
2020-11-13,0.04287
2020-11-15,0.025
2020-11-16,0.07859
2020-11-17,0.07859
2020-11-18,0.04644
2020-11-19,0.06788
2020-11-20,0.05001
2020-11-23,0.10718
2020-11-24,0.12861
2020-11-25,0.09646
2020-11-26,0.16791
2020-11-27,0.15719
2020-11-30,0.09289
2020-12-01,0.08574
2020-12-02,0.14648
2020-12-03,0.11075
2020-12-04,0.1822
2020-12-07,0.12861
2020-12-08,0.12147
2020-12-09,0.09289
2020-12-10,0.11432
2020-12-11,0.12147
2020-12-14,0.06073
2020-12-15,0.07859
2020-12-16,0.07502
2020-12-17,0.07859
2020-12-18,0.08931
2020-12-21,0.07502
2020-12-22,0.08931
2020-12-23,0.07859
2020-12-24,0.08931
2020-12-28,0.07502
2020-12-29,0.09289
2020-12-30,0.08574
2020-12-31,0.025
2021-01-02,0.01786
2021-01-04,0.13576
2021-01-05,0.09646
2021-01-06,0.07145
2021-01-07,0.11789
2021-01-08,0.14648
2021-01-09,0.02143
2021-01-10,0.04287
2021-01-11,0.15362
2021-01-12,0.12861
2021-01-13,0.10003
2021-01-14,0.08931
2021-01-15,0.09289
2021-01-16,0.02143
2021-01-17,0.02143
2021-01-18,0.10003
2021-01-19,0.10003
2021-01-20,0.25366
2021-01-21,0.21078
2021-01-22,0.16791
2021-01-23,0.01786
2021-01-25,0.12147
2021-01-26,0.17148
2021-01-27,0.11432
2021-01-28,0.13933
2021-01-29,0.17506
2021-02-01,0.12504
2021-02-02,0.07859
2021-02-03,0.16791
2021-02-04,0.12504
2021-02-05,0.06788
2021-02-08,0.10003
2021-02-09,0.17863
2021-02-10,0.47516
2021-02-11,0.04287
2021-02-12,0.03929
2021-02-13,0.01786
2021-02-14,0.03215
2021-02-15,0.18935
2021-02-16,0.29653
2021-02-17,0.32868
2021-02-18,0.28224
2021-02-19,0.52876
2021-02-22,0.46087
2021-02-23,0.35012
2021-02-24,0.31797
2021-02-25,0.28581
2021-02-26,0.19292
2021-02-28,0.03215
2021-03-01,0.01786
2021-03-02,0.18578
2021-03-03,0.17506
2021-03-04,0.11075
2021-03-05,0.12861
2021-03-06,0.02143
2021-03-08,0.15005
2021-03-09,0.11789
2021-03-10,0.13219
2021-03-11,0.1429
2021-03-12,0.1429
2021-03-15,0.11432
2021-03-16,0.19649
2021-03-17,0.23937
2021-03-18,0.13219
2021-03-19,0.11075
2021-03-21,0.03572
2021-03-22,0.12504
2021-03-23,0.10718
2021-03-24,0.06073
2021-03-25,0.08931
2021-03-26,0.10718
2021-03-29,0.11075
2021-03-30,1.18613
2021-03-31,0.6145
2021-04-01,0.50375
2021-04-02,0.67166
2021-04-03,0.08574
2021-04-04,0.1036
2021-04-05,0.77884
2021-04-06,0.49303
2021-04-07,0.28581
2021-04-08,0.37156
2021-04-09,0.34655
2021-04-10,0.0643
2021-04-11,0.03215
2021-04-12,0.33583
2021-04-13,0.3787
2021-04-14,0.30367
2021-04-15,0.30725
2021-04-16,0.3001
2021-04-17,0.0643
2021-04-18,0.07859
2021-04-19,0.34297
2021-04-20,0.33583
2021-04-21,0.38585
2021-04-22,1.29689
2021-04-23,1.80064
2021-04-24,0.28224
2021-04-25,0.22865
2021-04-26,0.95391
2021-04-27,0.62165
2021-04-28,0.65737
2021-04-29,0.56806
2021-04-30,0.52161
2021-05-01,0.12147
2021-05-02,0.06788
