date,한정승인상속포기
2020-03-20,1.63934
2020-03-21,1.96721
2020-03-22,1.63934
2020-03-23,1.63934
2020-03-24,1.63934
2020-03-25,1.63934
2020-03-26,1.63934
2020-03-27,3.60655
2020-03-31,1.63934
2020-04-02,5.2459
2020-04-06,4.59016
2020-04-07,2.29508
2020-04-09,1.96721
2020-04-13,3.60655
2020-04-20,4.59016
2020-04-22,1.96721
2020-04-23,1.63934
2020-04-27,4.59016
2020-04-28,1.63934
2020-04-29,1.63934
2020-05-07,1.63934
2020-05-08,3.60655
2020-05-11,2.62295
2020-05-18,1.63934
2020-05-21,1.96721
2020-05-22,1.96721
2020-05-25,3.60655
2020-05-26,1.96721
2020-05-27,1.63934
2020-05-29,1.63934
2020-06-01,2.29508
2020-06-02,1.63934
2020-06-03,2.29508
2020-06-04,4.59016
2020-06-08,4.59016
2020-06-09,4.26229
2020-06-10,4.26229
2020-06-11,1.63934
2020-06-12,1.63934
2020-06-15,5.2459
2020-06-20,1.63934
2020-06-22,1.63934
2020-06-23,3.27868
2020-06-24,1.63934
2020-06-29,3.93442
2020-07-04,1.63934
2020-07-07,1.63934
2020-07-09,1.63934
2020-07-10,1.63934
2020-07-13,1.63934
2020-07-15,2.62295
2020-07-16,2.62295
2020-07-17,3.93442
2020-07-21,1.63934
2020-07-23,2.62295
2020-07-24,4.26229
2020-07-31,6.55737
2020-08-10,1.96721
2020-08-11,2.62295
2020-09-02,1.63934
2020-09-07,4.59016
2020-09-13,1.63934
2020-09-15,2.62295
2020-09-21,1.96721
2020-09-22,1.96721
2020-09-24,2.29508
2020-10-05,1.63934
2020-10-07,4.26229
2020-10-12,4.59016
2020-10-13,5.57377
2020-10-14,3.60655
2020-10-16,1.96721
2020-10-19,4.59016
2020-10-20,2.29508
2020-10-21,2.29508
2020-10-22,2.29508
2020-10-24,1.63934
2020-10-26,7.21311
2020-10-28,2.29508
2020-10-29,1.63934
2020-11-02,2.95081
2020-11-05,2.29508
2020-11-06,3.27868
2020-11-07,1.96721
2020-11-09,1.63934
2020-11-10,3.60655
2020-11-11,5.2459
2020-11-12,3.27868
2020-11-13,1.63934
2020-11-16,2.62295
2020-11-18,1.63934
2020-11-23,3.93442
2020-11-24,1.96721
2020-11-26,5.2459
2020-11-29,1.63934
2020-12-07,3.60655
2020-12-09,1.96721
2020-12-10,2.95081
2020-12-14,3.93442
2020-12-15,2.29508
2020-12-19,2.29508
2020-12-28,1.63934
2020-12-29,2.29508
2021-01-05,1.63934
2021-01-06,1.63934
2021-01-07,1.63934
2021-01-12,4.26229
2021-01-18,2.62295
2021-01-19,1.63934
2021-01-20,4.26229
2021-01-22,3.27868
2021-01-26,2.95081
2021-01-29,3.60655
2021-02-16,1.96721
2021-02-22,3.60655
2021-02-24,1.63934
2021-02-25,1.63934
2021-02-26,2.29508
2021-03-02,2.29508
2021-03-03,1.63934
2021-03-05,1.96721
2021-03-09,2.95081
2021-03-10,4.59016
2021-03-11,2.95081
2021-03-19,1.96721
2021-03-21,2.29508
2021-03-23,1.96721
2021-03-24,1.63934
2021-03-25,2.29508
2021-03-30,1.96721
2021-03-31,1.96721
2021-04-05,2.62295
2021-04-08,1.96721
2021-04-09,1.96721
2021-04-10,1.63934
2021-04-13,1.63934
2021-04-14,2.29508
2021-04-21,1.96721
2021-04-26,1.63934
2021-04-27,1.63934
2021-04-28,1.96721
2021-05-15,1.63934
2021-05-24,1.63934
2021-05-25,1.96721
2021-05-26,1.96721
2021-06-02,1.96721
2021-06-07,2.95081
2021-06-09,2.29508
2021-06-16,2.95081
2021-06-19,1.63934
2021-06-24,2.62295
2021-06-25,1.96721
2021-06-29,1.96721
2021-07-01,1.63934
2021-07-03,1.96721
2021-07-12,2.29508
2021-07-13,4.59016
2021-07-14,1.63934
2021-07-19,1.63934
2021-07-21,3.60655
2021-07-25,2.62295
2021-08-05,1.63934
2021-08-06,2.62295
2021-08-10,1.63934
2021-08-11,2.29508
2021-08-12,1.63934
2021-08-13,2.29508
2021-08-16,1.63934
2021-08-18,2.29508
2021-08-19,1.96721
2021-08-23,2.62295
2021-08-24,1.63934
2021-08-25,2.62295
2021-08-30,1.96721
2021-09-09,2.29508
2021-09-13,3.93442
2021-09-14,2.29508
2021-09-16,2.62295
2021-09-17,2.29508
2021-09-22,1.63934
2021-09-23,7.21311
2021-09-28,1.96721
2021-10-05,2.95081
2021-10-09,1.96721
2021-10-10,1.63934
2021-10-12,3.60655
2021-10-14,1.63934
2021-10-17,1.63934
2021-10-20,2.29508
2021-10-21,1.96721
2021-10-28,2.29508
2021-10-31,1.96721
2021-11-01,1.63934
2021-11-05,2.29508
2021-11-06,1.63934
2021-11-10,1.96721
2021-11-16,1.63934
2021-11-17,1.96721
2021-11-22,1.63934
2021-11-23,1.63934
2021-11-24,4.26229
2021-11-25,2.95081
2021-11-29,1.63934
2021-11-30,1.96721
2021-12-02,1.63934
2021-12-07,1.96721
2021-12-08,4.59016
2021-12-09,2.29508
2021-12-14,2.29508
2021-12-15,3.27868
2021-12-17,1.63934
2021-12-18,1.63934
2021-12-20,2.62295
2021-12-22,1.63934
2021-12-27,1.63934
2021-12-28,1.96721
2021-12-29,3.27868
2021-12-30,1.63934
2021-12-31,1.63934
2022-01-01,1.96721
2022-01-04,1.63934
2022-01-10,2.29508
2022-01-11,3.27868
2022-01-14,1.63934
2022-01-17,1.96721
2022-01-18,2.62295
2022-01-19,2.62295
2022-01-20,1.63934
2022-01-24,4.26229
2022-01-25,2.29508
2022-01-26,4.26229
2022-01-27,1.96721
2022-01-29,1.63934
2022-02-02,2.29508
2022-02-03,3.27868
2022-02-04,1.63934
2022-02-07,3.27868
2022-02-08,6.88524
2022-02-09,2.62295
2022-02-10,3.60655
2022-02-11,2.29508
2022-02-15,1.96721
2022-02-18,1.63934
2022-02-22,1.96721
2022-03-03,1.96721
2022-03-04,3.60655
2022-03-07,1.63934
2022-03-08,1.63934
2022-03-10,1.63934
2022-03-11,4.59016
2022-03-15,1.63934
2022-03-17,1.96721
2022-03-18,1.63934
2022-03-21,2.95081
2022-03-23,2.29508
2022-03-24,1.63934
2022-03-25,1.96721
2022-03-28,1.96721
2022-03-29,1.63934
2022-04-04,2.62295
2022-04-05,1.96721
2022-04-06,1.96721
2022-04-07,3.27868
2022-04-09,2.95081
2022-04-11,3.60655
2022-04-12,1.96721
2022-04-13,3.60655
2022-04-14,6.55737
2022-04-16,1.63934
2022-04-17,2.62295
2022-04-18,4.59016
2022-04-19,4.26229
2022-04-20,1.63934
2022-04-21,1.63934
2022-04-23,1.63934
2022-04-25,1.63934
2022-05-03,3.93442
2022-05-04,1.96721
2022-05-09,3.60655
2022-05-10,1.63934
2022-05-11,1.96721
2022-05-13,1.63934
2022-05-15,1.63934
2022-05-17,3.93442
2022-05-19,5.2459
2022-05-26,3.93442
2022-05-27,1.96721
2022-05-30,1.63934
2022-05-31,1.63934
2022-06-09,1.63934
2022-06-10,3.60655
2022-06-13,4.91803
2022-06-14,2.29508
2022-06-15,1.96721
2022-06-17,2.62295
2022-06-20,1.63934
2022-06-23,2.95081
2022-06-28,4.26229
2022-06-29,1.63934
2022-07-01,3.27868
2022-07-08,3.60655
2022-07-11,1.96721
2022-07-13,1.63934
2022-07-15,1.96721
2022-07-20,1.63934
2022-07-21,2.29508
2022-07-25,1.63934
2022-07-26,3.93442
2022-07-29,2.29508
2022-08-01,1.63934
2022-08-03,1.96721
2022-08-07,1.96721
2022-08-16,1.63934
2022-08-18,6.2295
2022-08-19,1.96721
2022-08-23,1.96721
2022-09-01,1.96721
2022-09-11,1.96721
2022-09-13,1.96721
2022-09-14,3.60655
2022-09-19,3.93442
2022-09-21,1.63934
2022-09-22,2.62295
2022-09-23,1.63934
2022-09-25,3.27868
2022-09-26,5.90163
2022-09-29,3.60655
2022-09-30,7.21311
2022-10-01,20.0
2022-10-02,4.26229
2022-10-03,2.95081
2022-10-04,14.42622
2022-10-05,11.80327
2022-10-06,12.45901
2022-10-07,7.86885
2022-10-08,5.2459
2022-10-09,9.18032
2022-10-10,7.54098
2022-10-11,9.18032
2022-10-12,8.52459
2022-10-13,12.78688
2022-10-14,8.85245
2022-10-15,7.21311
2022-10-16,4.59016
2022-10-17,10.4918
2022-10-18,15.40983
2022-10-19,14.09836
2022-10-20,18.03278
2022-10-21,11.4754
2022-10-22,3.93442
2022-10-23,4.59016
2022-10-24,16.39344
2022-10-25,12.13114
2022-10-26,10.4918
2022-10-27,15.7377
2022-10-28,9.50819
2022-10-29,3.27868
2022-10-30,5.90163
2022-10-31,9.83606
2022-11-01,16.06557
2022-11-02,15.40983
2022-11-03,12.78688
2022-11-04,11.14754
2022-11-05,3.93442
2022-11-06,4.59016
2022-11-07,12.45901
2022-11-08,13.77049
2022-11-09,12.45901
2022-11-10,9.18032
2022-11-11,9.18032
2022-11-12,6.55737
2022-11-13,7.21311
2022-11-14,10.81967
2022-11-15,18.68852
2022-11-16,9.83606
2022-11-17,20.9836
2022-11-18,14.09836
2022-11-19,8.19672
2022-11-20,9.83606
2022-11-21,16.72131
2022-11-22,16.72131
2022-11-23,16.39344
2022-11-24,19.01639
2022-11-25,12.45901
2022-11-26,9.18032
2022-11-27,11.14754
2022-11-28,20.0
2022-11-29,24.26229
2022-11-30,22.62295
2022-12-01,26.88524
2022-12-02,21.31147
2022-12-03,8.52459
2022-12-04,8.19672
2022-12-05,20.65573
2022-12-06,16.39344
2022-12-07,23.60655
2022-12-08,17.70491
2022-12-09,24.59016
2022-12-10,12.78688
2022-12-11,12.45901
2022-12-12,35.08196
2022-12-13,18.68852
2022-12-14,24.26229
2022-12-15,19.01639
2022-12-16,25.2459
2022-12-17,13.44262
2022-12-18,14.75409
2022-12-19,21.63934
2022-12-20,23.27868
2022-12-21,25.2459
2022-12-22,20.32786
2022-12-23,24.59016
2022-12-24,9.83606
2022-12-25,9.83606
2022-12-26,23.27868
2022-12-27,20.9836
2022-12-28,27.21311
2022-12-29,19.67213
2022-12-30,15.08196
2022-12-31,9.50819
2023-01-01,13.11475
2023-01-02,30.16393
2023-01-03,29.83606
2023-01-04,25.2459
2023-01-05,24.59016
2023-01-06,13.44262
2023-01-07,28.85245
2023-01-08,21.96721
2023-01-09,25.90163
2023-01-10,26.88524
2023-01-11,29.50819
2023-01-12,26.2295
2023-01-13,27.21311
2023-01-14,14.09836
2023-01-15,15.7377
2023-01-16,28.52459
2023-01-17,21.96721
2023-01-18,23.93442
2023-01-19,29.18032
2023-01-20,18.03278
2023-01-21,8.52459
2023-01-22,10.4918
2023-01-23,14.09836
2023-01-24,11.80327
2023-01-25,24.91803
2023-01-26,25.57377
2023-01-27,26.2295
2023-01-28,8.85245
2023-01-29,15.08196
2023-01-30,35.7377
2023-01-31,31.80327
2023-02-01,28.52459
2023-02-02,32.13114
2023-02-03,28.19672
2023-02-04,16.72131
2023-02-05,13.77049
2023-02-06,34.75409
2023-02-07,54.75409
2023-02-08,32.78688
2023-02-09,32.13114
2023-02-10,32.78688
2023-02-11,21.96721
2023-02-12,18.68852
2023-02-13,33.11475
2023-02-14,37.70491
2023-02-15,26.2295
2023-02-16,35.40983
2023-02-17,33.77049
2023-02-18,22.95081
2023-02-19,19.01639
2023-02-20,39.67213
2023-02-21,38.03278
2023-02-22,40.32786
2023-02-23,35.08196
2023-02-24,33.77049
2023-02-25,22.29508
2023-02-26,21.31147
2023-02-27,42.95081
2023-02-28,39.34426
2023-03-01,27.54098
2023-03-02,40.9836
2023-03-03,38.36065
2023-03-04,34.75409
2023-03-05,15.08196
2023-03-06,47.54098
2023-03-07,40.0
2023-03-08,47.54098
2023-03-09,40.32786
2023-03-10,37.04918
2023-03-11,20.0
2023-03-12,26.2295
2023-03-13,42.62295
2023-03-14,47.21311
2023-03-15,40.9836
2023-03-16,43.60655
2023-03-17,40.0
2023-03-18,23.93442
2023-03-19,20.0
2023-03-20,55.40983
2023-03-21,48.85245
2023-03-22,42.95081
2023-03-23,100.0
2023-03-24,74.42622
2023-03-25,33.11475
2023-03-26,27.86885
2023-03-27,60.9836
2023-03-28,50.4918
2023-03-29,54.09836
2023-03-30,46.2295
2023-03-31,36.72131
2023-04-01,20.9836
2023-04-02,28.85245
2023-04-03,47.86885
2023-04-04,75.40983
2023-04-05,58.03278
2023-04-06,50.81967
2023-04-07,47.86885
2023-04-08,24.91803
2023-04-09,27.21311
2023-04-10,56.06557
2023-04-11,54.75409
2023-04-12,68.19672
2023-04-13,57.04918
2023-04-14,53.44262
2023-04-15,25.90163
2023-04-16,27.54098
2023-04-17,71.14754
2023-04-18,52.45901
2023-04-19,49.18032
2023-04-20,59.67213
2023-04-21,57.37704
2023-04-22,32.45901
2023-04-23,25.57377
2023-04-24,60.0
2023-04-25,61.31147
2023-04-26,60.65573
2023-04-27,56.06557
2023-04-28,50.81967
2023-04-29,25.90163
2023-04-30,25.90163
2023-05-01,51.14754
2023-05-02,78.68852
2023-05-03,57.04918
2023-05-04,53.11475
2023-05-05,33.11475
2023-05-06,28.52459
2023-05-07,29.50819
2023-05-08,60.9836
2023-05-09,56.06557
2023-05-10,52.78688
2023-05-11,55.08196
2023-05-12,51.14754
2023-05-13,24.91803
2023-05-14,21.63934
2023-05-15,68.52459
2023-05-16,67.86885
2023-05-17,54.42622
2023-05-18,57.04918
2023-05-19,65.90163
2023-05-20,23.60655
2023-05-21,33.44262
2023-05-22,82.95081
2023-05-23,60.65573
2023-05-24,56.72131
2023-05-25,58.36065
2023-05-26,61.63934
2023-05-27,24.26229
2023-05-28,27.86885
2023-05-29,48.52459
2023-05-30,68.52459
2023-05-31,57.37704
2023-06-01,60.32786
2023-06-02,52.78688
2023-06-03,32.78688
2023-06-04,23.27868
2023-06-05,58.03278
2023-06-06,30.16393
2023-06-07,60.65573
2023-06-08,58.36065
