date,한화솔루션주가
2020-03-20,4.0306
2020-03-21,0.47859
2020-03-22,0.47208
2020-03-23,3.26224
2020-03-24,3.71805
2020-03-25,5.34592
2020-03-26,7.24727
2020-03-27,6.52775
2020-03-28,0.72277
2020-03-29,0.63812
2020-03-30,5.57056
2020-03-31,4.87384
2020-04-01,5.63893
2020-04-02,4.94546
2020-04-03,4.68175
2020-04-04,0.6251
2020-04-05,0.55347
2020-04-06,4.31059
2020-04-07,4.79895
2020-04-08,4.33013
2020-04-09,4.26827
2020-04-10,5.34592
2020-04-11,0.74556
2020-04-12,0.63812
2020-04-13,4.70128
2020-04-14,4.67849
2020-04-15,0.77812
2020-04-16,4.87709
2020-04-17,6.19566
2020-04-18,0.80742
2020-04-19,0.75858
2020-04-20,5.4794
2020-04-21,4.99755
2020-04-22,4.8543
2020-04-23,4.90639
2020-04-24,4.80546
2020-04-25,0.6544
2020-04-26,0.73579
2020-04-27,5.65196
2020-04-28,4.97802
2020-04-29,4.59059
2020-04-30,0.72602
2020-05-01,0.65765
2020-05-02,0.48836
2020-05-03,0.39068
2020-05-04,4.00455
2020-05-05,0.75207
2020-05-06,4.07618
2020-05-07,4.23245
2020-05-08,4.40501
2020-05-09,1.1102
2020-05-10,2.42226
2020-05-11,16.98193
2020-05-12,12.87318
2020-05-13,12.3132
2020-05-14,9.30164
2020-05-15,7.63145
2020-05-16,1.07113
2020-05-17,0.99951
2020-05-18,7.20169
2020-05-19,8.23701
2020-05-20,8.81002
2020-05-21,11.54159
2020-05-22,9.81279
2020-05-23,1.07764
2020-05-24,1.30229
2020-05-25,9.22025
2020-05-26,9.8193
2020-05-27,13.36154
2020-05-28,9.71837
2020-05-29,7.99934
2020-05-30,0.80091
2020-05-31,1.0223
2020-06-01,10.87416
2020-06-02,10.14813
2020-06-03,9.62396
2020-06-04,9.17467
2020-06-05,7.53703
2020-06-06,0.92788
2020-06-07,1.0223
2020-06-08,9.91046
2020-06-09,23.59433
2020-06-10,19.97395
2020-06-11,13.78479
2020-06-12,13.84665
2020-06-13,2.52645
2020-06-14,2.09669
2020-06-15,15.56568
2020-06-16,15.13267
2020-06-17,13.92153
2020-06-18,12.21552
2020-06-19,10.06674
2020-06-20,1.16229
2020-06-21,0.86277
2020-06-22,11.04346
2020-06-23,14.59873
2020-06-24,14.9243
2020-06-25,11.60996
2020-06-26,12.32296
2020-06-27,1.43578
2020-06-28,1.17206
2020-06-29,9.82581
2020-06-30,10.27185
2020-07-01,9.43512
2020-07-02,9.42861
2020-07-03,8.71235
2020-07-04,1.35438
2020-07-05,1.05485
2020-07-06,10.87742
2020-07-07,10.34673
2020-07-08,10.69835
2020-07-09,25.92869
2020-07-10,20.98974
2020-07-11,2.30831
2020-07-12,2.30506
2020-07-13,26.13055
2020-07-14,25.51522
2020-07-15,20.43952
2020-07-16,17.08611
2020-07-17,15.95311
2020-07-18,2.05762
2020-07-19,2.17808
2020-07-20,22.89435
2020-07-21,26.43659
2020-07-22,26.15334
2020-07-23,24.01432
2020-07-24,19.51163
2020-07-25,2.25948
2020-07-26,2.35064
2020-07-27,22.90411
2020-07-28,22.96597
2020-07-29,21.76135
2020-07-30,20.16929
2020-07-31,15.3508
2020-08-01,1.80367
2020-08-02,1.86228
2020-08-03,16.41543
2020-08-04,23.54549
2020-08-05,25.21894
2020-08-06,25.47289
2020-08-07,24.34966
2020-08-08,4.1999
2020-08-09,3.68875
2020-08-10,32.34575
2020-08-11,30.05046
2020-08-12,33.67735
2020-08-13,27.68679
2020-08-14,22.46784
2020-08-15,2.70226
2020-08-16,3.21015
2020-08-17,6.04265
2020-08-18,30.91323
2020-08-19,25.1115
2020-08-20,25.73335
2020-08-21,23.07667
2020-08-22,2.85528
2020-08-23,2.30831
2020-08-24,23.4055
2020-08-25,35.81312
2020-08-26,31.55787
2020-08-27,36.01172
2020-08-28,35.74475
2020-08-29,4.68826
2020-08-30,4.05013
2020-08-31,44.91616
2020-09-01,38.79212
2020-09-02,36.02799
2020-09-03,71.35275
2020-09-04,78.72375
2020-09-05,9.48396
2020-09-06,7.59563
2020-09-07,71.89646
2020-09-08,63.49666
2020-09-09,66.05892
2020-09-10,57.76005
2020-09-11,55.2922
2020-09-12,7.97655
2020-09-13,7.10402
2020-09-14,58.32329
2020-09-15,58.08888
2020-09-16,53.80433
2020-09-17,47.19192
2020-09-18,38.70421
2020-09-19,5.18313
2020-09-20,4.78919
2020-09-21,49.30164
2020-09-22,47.31564
2020-09-23,44.07292
2020-09-24,42.33762
2020-09-25,36.95914
2020-09-26,5.67475
2020-09-27,4.4571
2020-09-28,42.14553
2020-09-29,36.19729
2020-09-30,3.54549
2020-10-01,3.41852
2020-10-02,3.63991
2020-10-03,3.36317
2020-10-04,3.52596
2020-10-05,45.96125
2020-10-06,41.0223
2020-10-07,45.40778
2020-10-08,60.13674
2020-10-09,8.6277
2020-10-10,5.83428
2020-10-11,5.7594
2020-10-12,50.03744
2020-10-13,44.27804
2020-10-14,40.13348
2020-10-15,38.4991
2020-10-16,34.5271
2020-10-17,4.14129
2020-10-18,3.2362
2020-10-19,35.39964
2020-10-20,35.76754
2020-10-21,48.23701
2020-10-22,41.986
2020-10-23,36.44473
2020-10-24,3.47387
2020-10-25,2.87481
2020-10-26,34.14292
2020-10-27,39.62884
2020-10-28,42.35389
2020-10-29,38.7856
2020-10-30,35.14569
2020-10-31,3.88083
2020-11-01,3.41526
2020-11-02,43.4641
2020-11-03,43.16132
2020-11-04,60.39068
2020-11-05,80.50789
2020-11-06,65.21894
2020-11-07,7.11704
2020-11-08,9.70209
2020-11-09,81.60833
2020-11-10,75.86195
2020-11-11,67.18867
2020-11-12,60.26697
2020-11-13,53.42992
2020-11-14,7.62819
2020-11-15,5.87009
2020-11-16,53.43317
2020-11-17,50.28487
2020-11-18,50.00813
2020-11-19,44.93895
2020-11-20,39.40419
2020-11-21,4.63942
2020-11-22,3.92642
2020-11-23,43.04085
2020-11-24,50.00488
2020-11-25,45.22871
2020-11-26,43.59433
2020-11-27,38.4405
2020-11-28,4.95848
2020-11-29,4.92593
2020-11-30,41.23392
2020-12-01,43.92642
2020-12-02,42.62412
2020-12-03,43.47712
2020-12-04,48.93048
2020-12-05,7.12355
2020-12-06,6.17287
2020-12-07,50.6137
2020-12-08,49.9886
2020-12-09,45.49243
2020-12-10,39.49861
2020-12-11,40.74881
2020-12-12,5.03011
2020-12-13,3.79619
2020-12-14,39.3228
2020-12-15,36.32752
2020-12-16,58.37538
2020-12-17,49.84209
2020-12-18,44.20315
2020-12-19,5.54777
2020-12-20,4.65896
2020-12-21,46.68728
2020-12-22,57.67865
2020-12-23,50.40533
2020-12-24,43.20039
2020-12-25,5.89939
2020-12-26,5.13104
2020-12-27,5.99706
2020-12-28,47.56633
2020-12-29,65.11802
2020-12-30,54.41315
2020-12-31,9.3928
2021-01-01,6.10125
2021-01-02,5.59335
2021-01-03,5.83428
2021-01-04,58.12143
2021-01-05,90.62021
2021-01-06,83.49666
2021-01-07,95.61126
2021-01-08,97.62005
2021-01-09,12.53459
2021-01-10,12.33273
2021-01-11,100.0
2021-01-12,86.17939
2021-01-13,85.59661
2021-01-14,82.3018
2021-01-15,88.75468
2021-01-16,10.53231
2021-01-17,9.89744
2021-01-18,71.3495
2021-01-19,77.96841
2021-01-20,82.26924
2021-01-21,82.61761
2021-01-22,72.85691
2021-01-23,9.38954
2021-01-24,7.66726
2021-01-25,66.88263
2021-01-26,60.03581
2021-01-27,53.68386
2021-01-28,51.31043
2021-01-29,55.58847
2021-01-30,6.97704
2021-01-31,5.66172
2021-02-01,57.95214
2021-02-02,58.79212
2021-02-03,50.93602
2021-02-04,48.26631
2021-02-05,65.27429
2021-02-06,9.72489
