date,해외ETF
2020-03-20,67.11956
2020-03-21,36.68478
2020-03-22,42.11956
2020-03-23,56.79347
2020-03-24,52.44565
2020-03-25,58.96739
2020-03-26,55.16304
2020-03-27,42.66304
2020-03-28,29.34782
2020-03-29,26.90217
2020-03-30,33.96739
2020-03-31,40.21739
2020-04-01,30.97826
2020-04-02,32.88043
2020-04-03,26.63043
2020-04-04,25.0
2020-04-05,23.09782
2020-04-06,29.8913
2020-04-07,36.41304
2020-04-08,28.80434
2020-04-09,33.42391
2020-04-10,35.86956
2020-04-11,18.75
2020-04-12,24.45652
2020-04-13,26.35869
2020-04-14,37.22826
2020-04-15,27.17391
2020-04-16,28.26086
2020-04-17,38.04347
2020-04-18,22.55434
2020-04-19,24.45652
2020-04-20,26.35869
2020-04-21,28.26086
2020-04-22,34.7826
2020-04-23,25.81521
2020-04-24,23.6413
2020-04-25,20.38043
2020-04-26,34.23913
2020-04-27,40.76086
2020-04-28,37.5
2020-04-29,35.59782
2020-04-30,30.97826
2020-05-01,25.0
2020-05-02,20.65217
2020-05-03,20.92391
2020-05-04,25.54347
2020-05-05,25.27173
2020-05-06,26.63043
2020-05-07,25.0
2020-05-08,21.19565
2020-05-09,19.02173
2020-05-10,16.84782
2020-05-11,32.88043
2020-05-12,24.72826
2020-05-13,31.52173
2020-05-14,29.8913
2020-05-15,22.2826
2020-05-16,17.11956
2020-05-17,44.02173
2020-05-18,44.02173
2020-05-19,41.84782
2020-05-20,32.06521
2020-05-21,32.88043
2020-05-22,27.98913
2020-05-23,25.54347
2020-05-24,39.40217
2020-05-25,42.66304
2020-05-26,49.18478
2020-05-27,35.59782
2020-05-28,32.88043
2020-05-29,24.18478
2020-05-30,22.82608
2020-05-31,20.92391
2020-06-01,32.88043
2020-06-02,36.95652
2020-06-03,40.48913
2020-06-04,22.82608
2020-06-05,32.33695
2020-06-06,26.63043
2020-06-07,23.6413
2020-06-08,39.13043
2020-06-09,39.13043
2020-06-10,33.42391
2020-06-11,26.90217
2020-06-12,22.82608
2020-06-13,17.93478
2020-06-14,21.19565
2020-06-15,32.33695
2020-06-16,33.96739
2020-06-17,22.55434
2020-06-18,24.18478
2020-06-19,21.46739
2020-06-20,13.58695
2020-06-21,14.13043
2020-06-22,20.65217
2020-06-23,26.35869
2020-06-24,23.91304
2020-06-25,25.27173
2020-06-26,20.10869
2020-06-27,18.75
2020-06-28,16.30434
2020-06-29,24.18478
2020-06-30,23.36956
2020-07-01,56.79347
2020-07-02,55.70652
2020-07-03,27.17391
2020-07-04,15.21739
2020-07-05,18.75
2020-07-06,28.5326
2020-07-07,26.08695
2020-07-08,26.63043
2020-07-09,41.30434
2020-07-10,28.5326
2020-07-11,16.30434
2020-07-12,28.5326
2020-07-13,30.97826
2020-07-14,33.69565
2020-07-15,31.79347
2020-07-16,28.80434
2020-07-17,24.72826
2020-07-18,11.95652
2020-07-19,16.84782
2020-07-20,25.0
2020-07-21,34.51086
2020-07-22,31.52173
2020-07-23,37.5
2020-07-24,22.01086
2020-07-25,11.41304
2020-07-26,19.29347
2020-07-27,28.26086
2020-07-28,33.69565
2020-07-29,35.59782
2020-07-30,29.61956
2020-07-31,35.32608
2020-08-01,22.2826
2020-08-02,23.09782
2020-08-03,33.96739
2020-08-04,35.86956
2020-08-05,36.68478
2020-08-06,40.76086
2020-08-07,33.15217
2020-08-08,25.54347
2020-08-09,26.08695
2020-08-10,37.5
2020-08-11,27.44565
2020-08-12,35.32608
2020-08-13,38.31521
2020-08-14,27.44565
2020-08-15,20.38043
2020-08-16,21.46739
2020-08-17,24.45652
2020-08-18,25.54347
2020-08-19,33.96739
2020-08-20,27.44565
2020-08-21,28.80434
2020-08-22,19.02173
2020-08-23,20.65217
2020-08-24,28.5326
2020-08-25,30.16304
2020-08-26,33.96739
2020-08-27,33.42391
2020-08-28,27.98913
2020-08-29,21.46739
2020-08-30,18.47826
2020-08-31,39.40217
2020-09-01,32.88043
2020-09-02,43.75
2020-09-03,47.2826
2020-09-04,26.35869
2020-09-05,15.76086
2020-09-06,20.10869
2020-09-07,32.88043
2020-09-08,28.5326
2020-09-09,26.35869
2020-09-10,30.43478
2020-09-11,26.63043
2020-09-12,15.48913
2020-09-13,17.3913
2020-09-14,21.19565
2020-09-15,24.72826
2020-09-16,25.54347
2020-09-17,26.90217
2020-09-18,26.08695
2020-09-19,13.58695
