date,해외선물거래
2020-03-20,73.94957
2020-03-21,52.66106
2020-03-22,35.29411
2020-03-23,57.14285
2020-03-24,61.06442
2020-03-25,55.74229
2020-03-26,57.98319
2020-03-27,53.78151
2020-03-28,46.49859
2020-03-29,31.09243
2020-03-30,53.78151
2020-03-31,60.5042
2020-04-01,64.70588
2020-04-02,74.5098
2020-04-03,87.39495
2020-04-04,56.30252
2020-04-05,43.13725
2020-04-06,62.74509
2020-04-07,60.5042
2020-04-08,65.2661
2020-04-09,58.54341
2020-04-10,85.99439
2020-04-11,29.69187
2020-04-12,30.81232
2020-04-13,54.34173
2020-04-14,54.90196
2020-04-15,55.18207
2020-04-16,55.74229
2020-04-17,66.94677
2020-04-18,39.49579
2020-04-19,36.97478
2020-04-20,42.29691
2020-04-21,95.5182
2020-04-22,100.0
2020-04-23,77.31092
2020-04-24,62.18487
2020-04-25,37.2549
2020-04-26,33.89355
2020-04-27,42.29691
2020-04-28,51.54061
2020-04-29,49.0196
2020-04-30,51.54061
2020-05-01,40.89635
2020-05-02,28.0112
2020-05-03,28.85154
2020-05-04,39.49579
2020-05-05,40.89635
2020-05-06,43.97759
2020-05-07,25.21008
2020-05-08,28.57142
2020-05-09,28.85154
2020-05-10,15.12605
2020-05-11,27.45098
2020-05-12,28.29131
2020-05-13,29.41176
2020-05-14,29.97198
2020-05-15,27.45098
2020-05-16,20.44817
2020-05-17,18.48739
2020-05-18,31.09243
2020-05-19,32.21288
2020-05-20,26.05042
2020-05-21,33.61344
2020-05-22,26.05042
2020-05-23,15.96638
2020-05-24,15.12605
2020-05-25,21.0084
2020-05-26,21.56862
2020-05-27,24.08963
2020-05-28,23.80952
2020-05-29,22.12885
2020-05-30,10.92436
2020-05-31,12.32492
2020-06-01,18.48739
2020-06-02,26.89075
2020-06-03,23.24929
2020-06-04,18.7675
2020-06-05,19.04761
2020-06-06,12.60504
2020-06-07,12.88515
2020-06-08,25.21008
2020-06-09,26.33053
2020-06-10,30.53221
2020-06-11,38.37535
2020-06-12,26.33053
2020-06-13,12.32492
2020-06-14,10.64425
2020-06-15,31.37254
2020-06-16,32.7731
2020-06-17,33.33333
2020-06-18,42.57703
2020-06-19,28.85154
2020-06-20,18.48739
2020-06-21,15.40616
2020-06-22,30.53221
2020-06-23,29.97198
2020-06-24,30.53221
2020-06-25,34.17366
2020-06-26,23.24929
2020-06-27,22.40896
2020-06-28,14.84593
2020-06-29,22.12885
2020-06-30,28.29131
2020-07-01,31.37254
2020-07-02,39.21568
2020-07-03,34.73389
2020-07-04,21.84873
2020-07-05,15.40616
2020-07-06,31.37254
2020-07-07,40.05602
2020-07-08,33.33333
2020-07-09,31.93277
2020-07-10,27.17086
2020-07-11,17.36694
2020-07-12,15.12605
2020-07-13,36.41456
2020-07-14,49.0196
2020-07-15,39.77591
2020-07-16,34.45378
2020-07-17,29.97198
2020-07-18,24.92997
2020-07-19,25.21008
2020-07-20,33.61344
2020-07-21,39.77591
2020-07-22,35.014
2020-07-23,38.93557
2020-07-24,38.09523
2020-07-25,31.65266
2020-07-26,19.04761
2020-07-27,38.37535
2020-07-28,40.33613
2020-07-29,41.45658
2020-07-30,39.49579
2020-07-31,25.21008
2020-08-01,27.45098
2020-08-02,13.72549
2020-08-03,29.41176
2020-08-04,30.2521
2020-08-05,34.73389
2020-08-06,36.97478
2020-08-07,33.61344
2020-08-08,25.21008
2020-08-09,17.08683
2020-08-10,36.13445
2020-08-11,45.09803
2020-08-12,53.22128
2020-08-13,47.33893
2020-08-14,38.65546
2020-08-15,25.21008
2020-08-16,24.64985
2020-08-17,34.73389
2020-08-18,46.77871
2020-08-19,41.45658
2020-08-20,28.57142
2020-08-21,31.93277
2020-08-22,22.12885
2020-08-23,17.08683
2020-08-24,26.61064
2020-08-25,37.2549
2020-08-26,38.65546
2020-08-27,33.61344
2020-08-28,37.53501
2020-08-29,18.20728
2020-08-30,13.16526
2020-08-31,29.97198
2020-09-01,38.65546
2020-09-02,34.73389
2020-09-03,44.81792
2020-09-04,46.49859
2020-09-05,27.45098
2020-09-06,19.88795
2020-09-07,27.45098
2020-09-08,42.29691
2020-09-09,58.82352
2020-09-10,53.5014
2020-09-11,38.37535
2020-09-12,24.36974
2020-09-13,12.32492
2020-09-14,23.80952
2020-09-15,31.37254
2020-09-16,24.36974
2020-09-17,28.0112
2020-09-18,25.21008
2020-09-19,23.24929
2020-09-20,13.72549
2020-09-21,37.53501
2020-09-22,39.49579
2020-09-23,36.69467
2020-09-24,36.13445
2020-09-25,28.57142
2020-09-26,18.48739
2020-09-27,13.72549
2020-09-28,21.56862
2020-09-29,20.16806
2020-09-30,25.7703
2020-10-01,17.64705
2020-10-02,19.88795
2020-10-03,14.0056
2020-10-04,10.64425
2020-10-05,19.32773
2020-10-06,24.36974
2020-10-07,24.08963
2020-10-08,24.08963
2020-10-09,23.80952
2020-10-10,16.52661
2020-10-11,11.48459
2020-10-12,24.92997
2020-10-13,18.7675
2020-10-14,22.68907
2020-10-15,22.68907
2020-10-16,22.40896
2020-10-17,15.68627
2020-10-18,13.72549
2020-10-19,22.96918
2020-10-20,45.65826
2020-10-21,29.97198
2020-10-22,21.28851
2020-10-23,22.68907
2020-10-24,10.64425
2020-10-25,10.36414
2020-10-26,24.36974
2020-10-27,26.05042
2020-10-28,28.29131
2020-10-29,28.29131
2020-10-30,26.33053
2020-10-31,16.24649
2020-11-01,11.7647
2020-11-02,27.45098
2020-11-03,27.73109
2020-11-04,29.41176
2020-11-05,35.85434
2020-11-06,30.81232
2020-11-07,19.88795
2020-11-08,12.88515
2020-11-09,26.05042
2020-11-10,37.53501
2020-11-11,26.61064
