date,해외주식수수료비교
2020-03-20,12.87988
2020-03-21,10.56439
2020-03-22,7.81476
2020-03-23,9.55137
2020-03-24,12.15629
2020-03-25,14.18234
2020-03-26,13.31403
2020-03-27,10.99855
2020-03-28,6.22286
2020-03-29,6.22286
2020-03-30,9.26193
2020-03-31,7.09117
2020-04-01,9.69609
2020-04-02,5.93342
2020-04-03,8.24891
2020-04-04,5.78871
2020-04-05,4.63096
2020-04-06,7.67004
2020-04-07,10.41968
2020-04-08,11.14327
2020-04-09,10.85383
2020-04-10,8.53835
2020-04-11,5.20984
2020-04-12,4.19681
2020-04-13,5.93342
2020-04-14,6.80173
2020-04-15,7.81476
2020-04-16,7.09117
2020-04-17,6.07814
2020-04-18,5.78871
2020-04-19,3.90738
2020-04-20,6.07814
2020-04-21,4.34153
2020-04-22,7.67004
2020-04-23,6.94645
2020-04-24,5.78871
2020-04-25,4.63096
2020-04-26,6.07814
2020-04-27,6.36758
2020-04-28,7.23589
2020-04-29,8.10419
2020-04-30,6.80173
2020-05-01,7.3806
2020-05-02,5.35455
2020-05-03,6.65701
2020-05-04,5.06512
2020-05-05,7.09117
2020-05-06,7.09117
2020-05-07,6.94645
2020-05-08,5.35455
2020-05-09,7.95947
2020-05-10,3.76266
2020-05-11,3.47322
2020-05-12,4.77568
2020-05-13,3.90738
2020-05-14,4.77568
2020-05-15,3.03907
2020-05-16,3.3285
2020-05-17,2.89435
2020-05-18,6.80173
2020-05-19,3.90738
2020-05-20,4.63096
2020-05-21,4.9204
2020-05-22,5.06512
2020-05-23,3.18379
2020-05-24,2.4602
2020-05-25,3.76266
2020-05-26,5.78871
2020-05-27,6.36758
2020-05-28,6.07814
2020-05-29,5.06512
2020-05-30,6.07814
2020-05-31,4.9204
2020-06-01,9.11722
2020-06-02,7.3806
2020-06-03,6.36758
2020-06-04,6.36758
2020-06-05,6.36758
2020-06-06,4.77568
2020-06-07,5.93342
2020-06-08,10.70911
2020-06-09,13.16931
2020-06-10,11.28798
2020-06-11,12.15629
