date,해외주식시간
2020-03-20,2.61363
2020-03-21,1.19318
2020-03-22,0.51136
2020-03-23,3.26704
2020-03-24,3.23863
2020-03-25,3.55113
2020-03-26,3.32386
2020-03-27,3.38068
2020-03-28,1.22159
2020-03-29,0.9659
2020-03-30,2.95454
2020-03-31,2.38636
2020-04-01,2.38636
2020-04-02,2.5284
2020-04-03,2.04545
2020-04-04,0.99431
2020-04-05,0.45454
2020-04-06,2.58522
2020-04-07,3.35227
2020-04-08,2.30113
2020-04-09,2.5284
2020-04-10,4.57386
2020-04-11,1.25
2020-04-12,1.19318
2020-04-13,3.1534
2020-04-14,2.98295
2020-04-15,1.76136
2020-04-16,2.44318
2020-04-17,3.03977
2020-04-18,1.16477
2020-04-19,1.02272
2020-04-20,3.35227
2020-04-21,2.78409
2020-04-22,2.8409
2020-04-23,2.35795
2020-04-24,1.98863
2020-04-25,1.05113
2020-04-26,0.59659
2020-04-27,2.8125
2020-04-28,2.10227
2020-04-29,2.38636
2020-04-30,2.27272
2020-05-01,1.61931
2020-05-02,1.13636
2020-05-03,0.68181
2020-05-04,2.8409
2020-05-05,1.70454
2020-05-06,2.41477
2020-05-07,1.81818
2020-05-08,2.61363
2020-05-09,1.16477
2020-05-10,0.88068
2020-05-11,2.95454
2020-05-12,2.15909
2020-05-13,2.47159
2020-05-14,2.04545
2020-05-15,1.73295
2020-05-16,0.82386
2020-05-17,0.625
2020-05-18,2.8409
2020-05-19,3.72159
2020-05-20,3.06818
2020-05-21,2.72727
2020-05-22,2.13068
2020-05-23,0.9375
2020-05-24,0.68181
2020-05-25,4.77272
2020-05-26,4.74431
2020-05-27,3.4375
2020-05-28,3.32386
2020-05-29,2.01704
2020-05-30,1.53409
2020-05-31,0.82386
2020-06-01,3.89204
2020-06-02,3.4375
2020-06-03,3.38068
2020-06-04,3.75
2020-06-05,5.625
2020-06-06,3.125
2020-06-07,1.61931
2020-06-08,8.75
2020-06-09,10.14204
2020-06-10,7.55681
2020-06-11,7.1875
2020-06-12,7.38636
2020-06-13,2.92613
2020-06-14,1.73295
2020-06-15,5.88068
2020-06-16,5.625
2020-06-17,3.97727
2020-06-18,4.23295
2020-06-19,2.58522
2020-06-20,2.01704
2020-06-21,1.16477
2020-06-22,3.72159
2020-06-23,4.26136
2020-06-24,5.22727
2020-06-25,5.25568
2020-06-26,4.20454
2020-06-27,2.41477
2020-06-28,1.33522
2020-06-29,4.20454
2020-06-30,4.0625
2020-07-01,3.35227
2020-07-02,4.80113
2020-07-03,7.44318
2020-07-04,2.47159
2020-07-05,2.72727
2020-07-06,9.00568
2020-07-07,9.48863
2020-07-08,7.69886
2020-07-09,8.35227
2020-07-10,7.58522
2020-07-11,4.34659
2020-07-12,3.1534
2020-07-13,13.23863
2020-07-14,12.67045
2020-07-15,12.24431
2020-07-16,8.60795
2020-07-17,6.25
2020-07-18,3.55113
2020-07-19,2.13068
2020-07-20,8.69318
2020-07-21,11.78977
2020-07-22,9.77272
2020-07-23,11.02272
2020-07-24,9.34659
2020-07-25,2.95454
2020-07-26,2.07386
2020-07-27,8.94886
2020-07-28,10.14204
2020-07-29,8.66477
2020-07-30,7.8125
2020-07-31,9.60227
2020-08-01,4.0909
2020-08-02,2.92613
2020-08-03,11.30681
2020-08-04,11.19318
2020-08-05,10.11363
2020-08-06,9.85795
2020-08-07,10.17045
2020-08-08,3.86363
2020-08-09,2.58522
2020-08-10,12.38636
2020-08-11,13.03977
2020-08-12,12.32954
2020-08-13,10.25568
2020-08-14,9.97159
2020-08-15,3.7784
2020-08-16,2.5284
2020-08-17,6.16477
2020-08-18,11.5625
2020-08-19,10.08522
2020-08-20,9.28977
2020-08-21,14.00568
2020-08-22,5.68181
2020-08-23,3.92045
2020-08-24,17.27272
2020-08-25,15.3125
2020-08-26,15.68181
2020-08-27,18.21022
2020-08-28,15.53977
2020-08-29,7.95454
2020-08-30,6.07954
2020-08-31,27.24431
2020-09-01,51.875
2020-09-02,41.42045
2020-09-03,32.38636
2020-09-04,32.8125
2020-09-05,13.60795
2020-09-06,6.10795
2020-09-07,31.93181
2020-09-08,27.10227
2020-09-09,30.625
2020-09-10,22.44318
2020-09-11,16.5909
2020-09-12,7.35795
2020-09-13,3.23863
2020-09-14,18.72159
2020-09-15,25.3409
2020-09-16,21.25
2020-09-17,14.77272
2020-09-18,12.01704
2020-09-19,6.39204
2020-09-20,4.63068
2020-09-21,15.71022
2020-09-22,12.92613
2020-09-23,11.42045
2020-09-24,14.20454
2020-09-25,9.77272
2020-09-26,4.7159
2020-09-27,2.67045
2020-09-28,12.95454
2020-09-29,10.73863
2020-09-30,8.03977
2020-10-01,7.67045
2020-10-02,8.49431
2020-10-03,5.25568
2020-10-04,3.66477
2020-10-05,14.74431
2020-10-06,11.36363
2020-10-07,12.86931
2020-10-08,10.9375
2020-10-09,7.72727
2020-10-10,4.77272
2020-10-11,3.125
2020-10-12,12.67045
2020-10-13,14.03409
2020-10-14,10.73863
2020-10-15,9.74431
2020-10-16,7.47159
2020-10-17,3.63636
2020-10-18,2.41477
2020-10-19,8.26704
