date,현대모비스주가
2020-03-20,10.49374
2020-03-21,1.64017
2020-03-22,1.29052
2020-03-23,11.81818
2020-03-24,13.87899
2020-03-25,17.71879
2020-03-26,17.34583
2020-03-27,14.80716
2020-03-28,2.29179
2020-03-29,1.65395
2020-03-30,12.67005
2020-03-31,10.60606
2020-04-01,10.70565
2020-04-02,9.8506
2020-04-03,8.75503
2020-04-04,1.59249
2020-04-05,1.20152
2020-04-06,8.8578
2020-04-07,9.55181
2020-04-08,9.33036
2020-04-09,10.30726
2020-04-10,10.62407
2020-04-11,1.46853
2020-04-12,1.2047
2020-04-13,9.69061
2020-04-14,8.40962
2020-04-15,1.37211
2020-04-16,7.74846
2020-04-17,9.05806
2020-04-18,1.32125
2020-04-19,1.01504
2020-04-20,8.71371
2020-04-21,8.6406
2020-04-22,9.00508
2020-04-23,8.05149
2020-04-24,7.68277
2020-04-25,1.19622
2020-04-26,0.83598
2020-04-27,8.59821
2020-04-28,8.24539
2020-04-29,8.33439
2020-04-30,1.50561
2020-05-01,1.43038
2020-05-02,0.71307
2020-05-03,0.67916
2020-05-04,7.41894
2020-05-05,1.16867
2020-05-06,7.29073
2020-05-07,6.48972
2020-05-08,7.82157
2020-05-09,1.08391
2020-05-10,0.8222
2020-05-11,7.07988
2020-05-12,6.41873
2020-05-13,6.77791
2020-05-14,6.0108
2020-05-15,6.15066
2020-05-16,0.71519
2020-05-17,0.66327
2020-05-18,5.86564
2020-05-19,10.0837
2020-05-20,7.89997
2020-05-21,7.71455
2020-05-22,6.71222
2020-05-23,0.75015
2020-05-24,0.64208
2020-05-25,6.76944
2020-05-26,9.84424
2020-05-27,8.6745
2020-05-28,7.96778
2020-05-29,8.13625
2020-05-30,1.10298
2020-05-31,0.783
2020-06-01,10.34223
2020-06-02,10.83492
2020-06-03,13.18287
2020-06-04,11.19304
2020-06-05,10.14727
2020-06-06,1.04577
2020-06-07,0.78618
2020-06-08,9.49459
2020-06-09,8.68616
2020-06-10,8.71371
2020-06-11,8.84191
2020-06-12,9.20957
2020-06-13,0.99703
2020-06-14,0.74803
2020-06-15,10.71943
2020-06-16,9.65988
2020-06-17,8.6851
2020-06-18,8.2687
2020-06-19,7.80038
2020-06-20,1.01292
2020-06-21,0.68552
2020-06-22,7.45602
2020-06-23,10.44712
2020-06-24,14.17885
2020-06-25,11.29688
2020-06-26,10.09218
2020-06-27,1.02564
2020-06-28,0.92604
2020-06-29,9.4734
2020-06-30,8.66709
2020-07-01,8.77834
2020-07-02,8.07904
2020-07-03,7.509
2020-07-04,0.90167
2020-07-05,0.71625
2020-07-06,10.3613
2020-07-07,9.35897
2020-07-08,8.42869
2020-07-09,8.24962
2020-07-10,7.8025
2020-07-11,0.86353
2020-07-12,0.76817
2020-07-13,10.9716
2020-07-14,10.85187
2020-07-15,13.81012
2020-07-16,11.63699
2020-07-17,11.93261
2020-07-18,1.39966
2020-07-19,1.2598
2020-07-20,11.75672
2020-07-21,12.43695
2020-07-22,10.60076
2020-07-23,11.19834
2020-07-24,11.2884
2020-07-25,1.31171
2020-07-26,1.15808
2020-07-27,10.86458
2020-07-28,10.6389
2020-07-29,12.16677
2020-07-30,12.12333
2020-07-31,11.5374
2020-08-01,1.2937
2020-08-02,0.98961
2020-08-03,11.08391
2020-08-04,10.65268
2020-08-05,11.34986
2020-08-06,15.19389
2020-08-07,15.15999
2020-08-08,1.6603
2020-08-09,1.52998
2020-08-10,21.76414
2020-08-11,18.77304
2020-08-12,16.83725
2020-08-13,17.34583
2020-08-14,14.33566
2020-08-15,1.39648
2020-08-16,1.06272
2020-08-17,2.22398
2020-08-18,13.49968
2020-08-19,12.52913
2020-08-20,13.8578
2020-08-21,14.28586
2020-08-22,1.56071
2020-08-23,1.2492
2020-08-24,12.93176
2020-08-25,13.40114
2020-08-26,13.81224
2020-08-27,14.10998
2020-08-28,16.6317
2020-08-29,2.07247
2020-08-30,1.71434
2020-08-31,16.97287
2020-09-01,20.55626
2020-09-02,18.13201
2020-09-03,16.30536
2020-09-04,14.4183
2020-09-05,1.75672
2020-09-06,1.49713
2020-09-07,14.24348
2020-09-08,13.12354
2020-09-09,12.53761
2020-09-10,11.72812
2020-09-11,11.25132
2020-09-12,1.30112
2020-09-13,1.29264
2020-09-14,14.24242
2020-09-15,13.6406
2020-09-16,17.31616
2020-09-17,16.3827
2020-09-18,13.65119
2020-09-19,1.57342
2020-09-20,1.44734
2020-09-21,14.21911
2020-09-22,13.30366
2020-09-23,13.6353
2020-09-24,13.10659
2020-09-25,12.40305
2020-09-26,1.43038
2020-09-27,0.99491
2020-09-28,10.7385
2020-09-29,9.97563
2020-09-30,1.39012
2020-10-01,1.19728
2020-10-02,1.07438
2020-10-03,1.04365
2020-10-04,1.20364
2020-10-05,13.09281
2020-10-06,11.43144
2020-10-07,10.84657
2020-10-08,11.62852
2020-10-09,1.72388
2020-10-10,1.0998
2020-10-11,1.06802
2020-10-12,10.55626
2020-10-13,11.79487
2020-10-14,11.62004
2020-10-15,11.76414
2020-10-16,11.15702
2020-10-17,1.24072
2020-10-18,1.11888
2020-10-19,11.60945
2020-10-20,16.10404
2020-10-21,13.22737
2020-10-22,11.60945
2020-10-23,11.08709
2020-10-24,1.05742
2020-10-25,0.84233
2020-10-26,13.94257
2020-10-27,14.14812
2020-10-28,12.68912
2020-10-29,13.09705
2020-10-30,14.79444
2020-10-31,1.5766
2020-11-01,1.41025
2020-11-02,12.05657
2020-11-03,12.5143
2020-11-04,13.06738
2020-11-05,13.26658
2020-11-06,11.72812
2020-11-07,1.30536
2020-11-08,1.05212
2020-11-09,12.54185
2020-11-10,14.55393
2020-11-11,14.13223
2020-11-12,11.89129
2020-11-13,12.73786
2020-11-14,1.4484
2020-11-15,1.22801
2020-11-16,13.4361
2020-11-17,13.00699
2020-11-18,11.0659
2020-11-19,10.32422
2020-11-20,9.62174
2020-11-21,1.23543
2020-11-22,1.07438
2020-11-23,12.18054
2020-11-24,12.16359
2020-11-25,12.18372
2020-11-26,10.67175
2020-11-27,10.46302
2020-11-28,1.37741
2020-11-29,1.45899
2020-11-30,11.0553
2020-12-01,10.65162
2020-12-02,11.23331
2020-12-03,13.5908
2020-12-04,14.87179
2020-12-05,2.02055
2020-12-06,1.81606
2020-12-07,12.77495
2020-12-08,11.3986
2020-12-09,11.97393
2020-12-10,11.77262
2020-12-11,11.10404
2020-12-12,1.99618
2020-12-13,1.49713
2020-12-14,21.35833
2020-12-15,19.37698
2020-12-16,16.01504
2020-12-17,14.057
2020-12-18,12.46132
2020-12-19,1.78427
2020-12-20,1.8203
2020-12-21,12.52595
