date,현대미술작가
2020-03-20,37.5
2020-03-21,30.1282
2020-03-22,31.08974
2020-03-23,44.87179
2020-03-24,44.23076
2020-03-25,38.78205
2020-03-26,41.34615
2020-03-27,41.34615
2020-03-28,31.08974
2020-03-29,32.6923
2020-03-30,48.39743
2020-03-31,30.76923
2020-04-01,24.35897
2020-04-02,26.28205
2020-04-03,25.0
2020-04-04,19.23076
2020-04-05,25.64102
2020-04-06,32.05128
2020-04-07,34.93589
2020-04-08,29.48717
2020-04-09,39.10256
2020-04-10,38.78205
2020-04-11,21.15384
2020-04-12,29.16666
2020-04-13,33.01282
2020-04-14,25.32051
2020-04-15,25.64102
2020-04-16,38.46153
2020-04-17,37.17948
2020-04-18,14.74358
2020-04-19,24.03846
2020-04-20,42.6282
2020-04-21,54.80769
2020-04-22,55.76923
2020-04-23,55.1282
2020-04-24,37.17948
2020-04-25,34.29487
2020-04-26,37.82051
2020-04-27,70.1923
2020-04-28,81.41025
2020-04-29,50.0
2020-04-30,21.47435
2020-05-01,26.92307
2020-05-02,14.74358
2020-05-03,23.39743
2020-05-04,29.16666
2020-05-05,20.83333
2020-05-06,43.91025
2020-05-07,38.46153
2020-05-08,37.5
2020-05-09,13.14102
2020-05-10,22.75641
2020-05-11,25.96153
2020-05-12,34.61538
2020-05-13,24.03846
2020-05-14,21.79487
2020-05-15,24.67948
2020-05-16,14.42307
2020-05-17,13.78205
2020-05-18,30.44871
2020-05-19,31.41025
2020-05-20,29.16666
2020-05-21,30.44871
2020-05-22,26.60256
2020-05-23,16.98717
2020-05-24,25.0
2020-05-25,49.03846
2020-05-26,43.91025
2020-05-27,44.55128
2020-05-28,46.79487
2020-05-29,41.98717
2020-05-30,21.15384
2020-05-31,40.0641
2020-06-01,52.5641
2020-06-02,63.78205
2020-06-03,33.01282
2020-06-04,29.48717
2020-06-05,32.05128
2020-06-06,18.91025
2020-06-07,22.11538
2020-06-08,33.97435
2020-06-09,25.0
2020-06-10,27.24358
2020-06-11,37.5
2020-06-12,28.52564
2020-06-13,15.0641
2020-06-14,22.43589
2020-06-15,42.6282
2020-06-16,38.46153
2020-06-17,27.88461
2020-06-18,33.01282
2020-06-19,24.67948
2020-06-20,18.91025
2020-06-21,22.75641
2020-06-22,39.10256
2020-06-23,30.76923
2020-06-24,36.85897
2020-06-25,34.29487
2020-06-26,56.08974
2020-06-27,25.32051
2020-06-28,33.65384
2020-06-29,31.08974
2020-06-30,48.39743
2020-07-01,31.41025
2020-07-02,38.78205
2020-07-03,24.67948
2020-07-04,21.79487
2020-07-05,19.87179
2020-07-06,47.75641
2020-07-07,31.08974
2020-07-08,43.26923
2020-07-09,40.38461
2020-07-10,33.65384
2020-07-11,16.34615
2020-07-12,23.39743
2020-07-13,34.29487
2020-07-14,50.32051
2020-07-15,41.98717
2020-07-16,33.33333
2020-07-17,40.0641
2020-07-18,14.74358
2020-07-19,19.23076
2020-07-20,35.57692
2020-07-21,25.64102
2020-07-22,45.51282
2020-07-23,30.44871
2020-07-24,18.91025
2020-07-25,12.17948
2020-07-26,7.05128
2020-07-27,29.80769
2020-07-28,23.07692
2020-07-29,33.65384
2020-07-30,16.34615
2020-07-31,11.53846
2020-08-01,7.37179
2020-08-02,9.93589
2020-08-03,12.17948
2020-08-04,15.70512
2020-08-05,16.02564
2020-08-06,13.14102
2020-08-07,10.57692
2020-08-08,7.05128
2020-08-09,6.73076
2020-08-10,10.89743
2020-08-11,17.94871
2020-08-12,12.17948
2020-08-13,9.29487
2020-08-14,14.10256
2020-08-15,7.6923
2020-08-16,10.25641
2020-08-17,10.25641
2020-08-18,12.82051
2020-08-19,15.38461
2020-08-20,21.47435
2020-08-21,15.70512
2020-08-22,12.17948
2020-08-23,14.10256
2020-08-24,21.47435
2020-08-25,21.79487
2020-08-26,22.43589
2020-08-27,17.30769
2020-08-28,18.91025
2020-08-29,14.74358
2020-08-30,21.79487
2020-08-31,40.70512
2020-09-01,38.78205
2020-09-02,46.15384
2020-09-03,52.5641
2020-09-04,47.75641
2020-09-05,23.39743
2020-09-06,29.48717
2020-09-07,68.58974
2020-09-08,48.07692
2020-09-09,39.10256
2020-09-10,43.91025
2020-09-11,34.29487
2020-09-12,13.14102
2020-09-13,24.35897
2020-09-14,52.5641
2020-09-15,36.85897
2020-09-16,29.16666
2020-09-17,24.03846
2020-09-18,26.28205
2020-09-19,11.85897
2020-09-20,19.23076
2020-09-21,35.89743
2020-09-22,31.41025
2020-09-23,33.01282
2020-09-24,25.32051
2020-09-25,22.43589
2020-09-26,11.53846
2020-09-27,18.58974
2020-09-28,35.57692
2020-09-29,23.07692
2020-09-30,14.74358
2020-10-01,9.93589
2020-10-02,8.97435
2020-10-03,18.91025
2020-10-04,16.66666
2020-10-05,27.5641
2020-10-06,24.03846
2020-10-07,25.0
2020-10-08,25.0
2020-10-09,14.10256
2020-10-10,15.0641
2020-10-11,19.87179
2020-10-12,33.33333
2020-10-13,33.97435
2020-10-14,27.88461
2020-10-15,33.01282
2020-10-16,24.67948
2020-10-17,15.38461
2020-10-18,15.38461
2020-10-19,26.28205
2020-10-20,25.96153
2020-10-21,28.84615
2020-10-22,27.88461
2020-10-23,21.79487
2020-10-24,14.10256
2020-10-25,15.38461
2020-10-26,26.60256
2020-10-27,26.60256
2020-10-28,28.52564
2020-10-29,25.96153
2020-10-30,19.87179
2020-10-31,15.70512
2020-11-01,17.94871
2020-11-02,22.11538
2020-11-03,24.35897
2020-11-04,25.32051
2020-11-05,24.35897
2020-11-06,21.15384
2020-11-07,10.25641
2020-11-08,8.97435
2020-11-09,24.35897
2020-11-10,30.44871
2020-11-11,26.92307
2020-11-12,25.64102
2020-11-13,16.98717
2020-11-14,12.5
2020-11-15,23.07692
2020-11-16,38.78205
2020-11-17,36.53846
2020-11-18,25.32051
2020-11-19,22.43589
2020-11-20,22.11538
2020-11-21,17.94871
2020-11-22,18.26923
2020-11-23,24.03846
2020-11-24,24.03846
2020-11-25,24.35897
2020-11-26,31.08974
2020-11-27,25.64102
2020-11-28,12.5
2020-11-29,14.74358
2020-11-30,33.65384
2020-12-01,36.53846
2020-12-02,27.88461
2020-12-03,22.43589
2020-12-04,36.85897
2020-12-05,19.87179
2020-12-06,21.79487
2020-12-07,31.41025
2020-12-08,35.57692
2020-12-09,33.01282
2020-12-10,38.14102
2020-12-11,26.60256
2020-12-12,25.64102
2020-12-13,19.55128
2020-12-14,40.38461
2020-12-15,24.35897
2020-12-16,30.44871
2020-12-17,42.30769
2020-12-18,21.47435
2020-12-19,13.78205
2020-12-20,17.6282
2020-12-21,23.71794
2020-12-22,28.52564
2020-12-23,21.15384
2020-12-24,16.66666
2020-12-25,5.44871
2020-12-26,8.97435
2020-12-27,16.34615
2020-12-28,17.30769
2020-12-29,18.26923
2020-12-30,15.38461
2020-12-31,17.30769
2021-01-01,8.97435
2021-01-02,9.61538
2021-01-03,13.14102
2021-01-04,18.91025
2021-01-05,15.70512
2021-01-06,21.15384
2021-01-07,17.94871
2021-01-08,8.65384
2021-01-09,13.14102
2021-01-10,8.65384
2021-01-11,13.78205
2021-01-12,13.46153
2021-01-13,14.42307
2021-01-14,14.10256
2021-01-15,12.17948
2021-01-16,12.5
2021-01-17,8.65384
2021-01-18,22.75641
2021-01-19,14.10256
2021-01-20,16.98717
2021-01-21,9.61538
2021-01-22,13.46153
2021-01-23,12.5
2021-01-24,11.85897
2021-01-25,12.17948
2021-01-26,19.23076
2021-01-27,18.26923
2021-01-28,13.14102
2021-01-29,13.46153
2021-01-30,13.78205
2021-01-31,12.17948
2021-02-01,12.5
2021-02-02,11.85897
2021-02-03,16.66666
2021-02-04,15.38461
2021-02-05,12.5
2021-02-06,9.29487
2021-02-07,10.57692
2021-02-08,12.5
2021-02-09,12.5
2021-02-10,8.97435
2021-02-11,11.21794
2021-02-12,11.21794
2021-02-13,12.5
2021-02-14,7.37179
2021-02-15,12.17948
2021-02-16,12.82051
2021-02-17,11.85897
2021-02-18,12.5
2021-02-19,14.42307
2021-02-20,10.89743
2021-02-21,11.53846
2021-02-22,10.89743
2021-02-23,13.78205
2021-02-24,14.10256
2021-02-25,10.25641
2021-02-26,13.14102
2021-02-27,14.74358
2021-02-28,14.42307
2021-03-01,12.5
2021-03-02,23.39743
2021-03-03,26.28205
2021-03-04,37.17948
2021-03-05,27.88461
2021-03-06,24.67948
2021-03-07,23.71794
2021-03-08,33.97435
2021-03-09,45.51282
