date,현대미포조선주가
2020-03-20,28.14612
2020-03-21,3.30526
2020-03-22,2.00055
2020-03-23,24.402
2020-03-24,23.89989
2020-03-25,30.42343
2020-03-26,30.09923
2020-03-27,27.38702
2020-03-28,2.88222
2020-03-29,1.70798
2020-03-30,23.04194
2020-03-31,23.22381
2020-04-01,23.91175
2020-04-02,23.0459
2020-04-03,25.31925
2020-04-04,2.39196
2020-04-05,1.37982
2020-04-06,23.85244
2020-04-07,27.54121
2020-04-08,23.69034
2020-04-09,24.86458
2020-04-10,26.73071
2020-04-11,2.90198
2020-04-12,1.74751
2020-04-13,21.74514
2020-04-14,20.68161
2020-04-15,2.77151
2020-04-16,19.82366
2020-04-17,22.3461
2020-04-18,1.98869
2020-04-19,1.32843
2020-04-20,19.89087
2020-04-21,21.63839
2020-04-22,19.79203
2020-04-23,23.70221
2020-04-24,19.35713
2020-04-25,1.66844
2020-04-26,1.194
2020-04-27,18.85897
2020-04-28,17.26564
2020-04-29,21.62653
2020-04-30,2.46708
2020-05-01,3.24991
2020-05-02,1.02004
2020-05-03,1.11493
2020-05-04,15.89767
2020-05-05,1.90961
2020-05-06,20.48392
2020-05-07,16.98098
2020-05-08,15.97675
2020-05-09,1.77519
2020-05-10,1.04376
2020-05-11,16.52631
2020-05-12,14.64436
2020-05-13,15.35998
2020-05-14,14.71553
2020-05-15,15.1188
2020-05-16,1.3047
2020-05-17,0.87771
2020-05-18,14.32807
2020-05-19,18.07614
2020-05-20,15.2809
2020-05-21,15.81465
2020-05-22,12.9601
2020-05-23,1.25726
2020-05-24,0.96074
2020-05-25,18.7364
2020-05-26,17.92986
2020-05-27,30.35622
2020-05-28,27.64401
2020-05-29,22.10888
2020-05-30,2.13497
2020-05-31,1.63286
2020-06-01,22.42913
2020-06-02,42.09069
2020-06-03,45.61736
2020-06-04,38.95544
2020-06-05,30.62902
2020-06-06,2.90594
2020-06-07,2.19823
2020-06-08,31.11928
2020-06-09,28.52567
2020-06-10,26.09812
2020-06-11,23.61918
2020-06-12,21.98236
2020-06-13,1.85031
2020-06-14,1.28098
2020-06-15,21.84794
2020-06-16,24.48108
2020-06-17,22.93915
2020-06-18,22.74542
2020-06-19,20.63812
2020-06-20,1.8424
2020-06-21,1.30075
2020-06-22,18.39639
2020-06-23,19.112
2020-06-24,19.36899
2020-06-25,16.33653
2020-06-26,16.61329
2020-06-27,1.54192
2020-06-28,0.92911
2020-06-29,15.17415
2020-06-30,17.47914
2020-07-01,15.52208
2020-07-02,15.27695
2020-07-03,14.65227
2020-07-04,1.2968
2020-07-05,0.96074
2020-07-06,15.76325
2020-07-07,14.98042
2020-07-08,13.84572
2020-07-09,13.81014
2020-07-10,12.88894
2020-07-11,1.22563
2020-07-12,0.84608
2020-07-13,16.9533
2020-07-14,13.50571
2020-07-15,16.97702
2020-07-16,15.9214
2020-07-17,13.39105
2020-07-18,1.18214
2020-07-19,0.83422
2020-07-20,15.24137
2020-07-21,18.70082
2020-07-22,17.26564
2020-07-23,14.64832
2020-07-24,13.38314
2020-07-25,1.16633
2020-07-26,0.71165
2020-07-27,14.86577
2020-07-28,16.04001
2020-07-29,14.5732
2020-07-30,14.1976
2020-07-31,12.45799
2020-08-01,1.11888
2020-08-02,0.71165
2020-08-03,11.66725
2020-08-04,13.16174
2020-08-05,12.82568
2020-08-06,14.54948
2020-08-07,12.5252
2020-08-08,1.42727
2020-08-09,0.88166
2020-08-10,13.4464
2020-08-11,18.05637
2020-08-12,16.15466
2020-08-13,16.28909
2020-08-14,18.42802
2020-08-15,1.621
2020-08-16,1.20191
2020-08-17,5.20697
2020-08-18,16.91772
2020-08-19,15.47463
2020-08-20,14.98438
2020-08-21,16.55794
2020-08-22,1.99659
2020-08-23,1.10702
2020-08-24,15.37579
2020-08-25,16.64096
2020-08-26,14.13039
2020-08-27,12.77823
2020-08-28,13.60455
2020-08-29,1.40355
2020-08-30,0.98446
2020-08-31,12.98382
2020-09-01,13.19337
2020-09-02,12.29984
2020-09-03,11.34701
2020-09-04,12.02704
2020-09-05,1.20191
2020-09-06,0.82631
2020-09-07,13.2764
2020-09-08,14.20155
2020-09-09,11.7661
2020-09-10,12.50148
2020-09-11,10.99909
2020-09-12,1.15842
2020-09-13,0.85794
2020-09-14,12.25635
2020-09-15,10.9042
2020-09-16,11.52888
2020-09-17,10.68279
2020-09-18,10.47325
2020-09-19,0.93306
2020-09-20,0.69189
2020-09-21,10.34673
2020-09-22,11.03071
2020-09-23,10.99513
2020-09-24,12.16542
2020-09-25,11.76214
2020-09-26,1.17819
2020-09-27,0.72352
2020-09-28,12.40264
2020-09-29,11.61586
2020-09-30,1.17028
2020-10-01,0.8698
2020-10-02,0.75119
2020-10-03,0.77096
2020-10-04,0.67212
2020-10-05,12.53706
2020-10-06,11.85703
2020-10-07,11.66725
2020-10-08,11.63958
2020-10-09,1.6803
2020-10-10,0.82631
2020-10-11,0.7591
2020-10-12,11.35096
2020-10-13,10.12137
2020-10-14,10.08184
2020-10-15,9.81299
2020-10-16,10.51279
2020-10-17,0.90143
2020-10-18,0.70375
2020-10-19,11.48143
2020-10-20,10.96746
2020-10-21,11.73842
2020-10-22,9.03807
2020-10-23,9.51646
2020-10-24,1.06748
2020-10-25,0.69189
2020-10-26,12.97592
2020-10-27,13.07081
2020-10-28,10.80536
2020-10-29,10.20045
2020-10-30,9.81299
2020-10-31,1.02795
2020-11-01,0.81445
2020-11-02,10.22021
2020-11-03,10.88048
2020-11-04,14.05922
2020-11-05,13.3871
2020-11-06,12.37101
2020-11-07,1.15051
2020-11-08,0.8184
2020-11-09,28.27659
2020-11-10,29.32036
2020-11-11,28.46242
2020-11-12,28.03937
2020-11-13,29.17803
2020-11-14,3.53457
2020-11-15,3.38828
2020-11-16,45.72015
2020-11-17,47.12371
2020-11-18,39.83315
2020-11-19,39.18475
2020-11-20,39.35871
2020-11-21,5.80793
2020-11-22,4.20669
2020-11-23,58.49049
2020-11-24,50.085
2020-11-25,58.54188
2020-11-26,52.36231
2020-11-27,42.35559
2020-11-28,5.38884
2020-11-29,5.32163
2020-11-30,40.90064
2020-12-01,38.44146
2020-12-02,36.75325
2020-12-03,39.8292
2020-12-04,44.20986
2020-12-05,5.63792
2020-12-06,5.12394
2020-12-07,39.71059
2020-12-08,35.72134
2020-12-09,37.1328
2020-12-10,37.67445
2020-12-11,55.78618
2020-12-12,7.21148
2020-12-13,6.40098
2020-12-14,53.82121
2020-12-15,42.19744
2020-12-16,42.94468
2020-12-17,38.69054
2020-12-18,34.72106
2020-12-19,4.60206
2020-12-20,3.82714
2020-12-21,37.30281
2020-12-22,38.71426
2020-12-23,36.99442
2020-12-24,35.04131
2020-12-25,5.63792
2020-12-26,3.62946
2020-12-27,3.89435
2020-12-28,35.57901
2020-12-29,33.37286
2020-12-30,33.51915
2020-12-31,8.48851
2021-01-01,3.55038
2021-01-02,2.90989
2021-01-03,2.7557
2021-01-04,36.57929
2021-01-05,65.58731
2021-01-06,58.09512
