date,현대상선주가
2020-03-20,19.01679
2020-03-21,2.10776
2020-03-22,1.23839
2020-03-23,15.58932
2020-03-24,16.64008
2020-03-25,20.11445
2020-03-26,20.85874
2020-03-27,19.17002
2020-03-28,1.55424
2020-03-29,1.09766
2020-03-30,17.58764
2020-03-31,22.30978
2020-04-01,25.68095
2020-04-02,22.32229
2020-04-03,19.60158
2020-04-04,1.75751
2020-04-05,1.38224
2020-04-06,18.96675
2020-04-07,18.63526
2020-04-08,17.36247
2020-04-09,16.7683
2020-04-10,16.13972
2020-04-11,1.79504
2020-04-12,1.38849
2020-04-13,20.2458
2020-04-14,22.56309
2020-04-15,3.07095
2020-04-16,22.7257
2020-04-17,27.81374
2020-04-18,3.00528
2020-04-19,2.55183
2020-04-20,24.44569
2020-04-21,23.38868
2020-04-22,18.96363
2020-04-23,21.55611
2020-04-24,22.46614
2020-04-25,2.21409
2020-04-26,1.64805
2020-04-27,18.57585
2020-04-28,16.5275
2020-04-29,15.8739
2020-04-30,1.99831
2020-05-01,2.75823
2020-05-02,1.06639
2020-05-03,0.98195
2020-05-04,12.71538
2020-05-05,1.74813
2020-05-06,14.28526
2020-05-07,14.24774
2020-05-08,13.85058
2020-05-09,1.87322
2020-05-10,1.2978
2020-05-11,17.12793
2020-05-12,13.36272
2020-05-13,13.07502
2020-05-14,12.44331
2020-05-15,13.37836
2020-05-16,1.94514
2020-05-17,1.22588
2020-05-18,14.06636
2020-05-19,15.26722
2020-05-20,13.43152
2020-05-21,13.52221
2020-05-22,22.36294
2020-05-23,2.01082
2020-05-24,1.48231
2020-05-25,19.46398
2020-05-26,27.03505
2020-05-27,33.93063
2020-05-28,27.58232
2020-05-29,23.97973
2020-05-30,2.49241
2020-05-31,2.24849
2020-06-01,25.13056
2020-06-02,25.94364
2020-06-03,30.16543
2020-06-04,39.8724
2020-06-05,32.7329
2020-06-06,3.4212
2020-06-07,2.68005
2020-06-08,26.83803
2020-06-09,25.38074
2020-06-10,25.87797
2020-06-11,28.47359
2020-06-12,25.53085
2020-06-13,2.47052
2020-06-14,1.58864
2020-06-15,23.60759
2020-06-16,24.64896
2020-06-17,21.88135
2020-06-18,19.75169
2020-06-19,18.51017
2020-06-20,1.92013
2020-06-21,1.35722
2020-06-22,17.28742
2020-06-23,17.31557
2020-06-24,18.27876
2020-06-25,15.84263
2020-06-26,17.73149
2020-06-27,2.2047
2020-06-28,1.57926
2020-06-29,17.97854
2020-06-30,17.48444
2020-07-01,16.14597
2020-07-02,16.99971
2020-07-03,18.48828
2020-07-04,1.9514
2020-07-05,1.22275
2020-07-06,18.10989
2020-07-07,17.95352
2020-07-08,15.54242
2020-07-09,14.18206
2020-07-10,13.23451
2020-07-11,1.24777
2020-07-12,0.85373
2020-07-13,14.7137
2020-07-14,15.95834
2020-07-15,16.06154
2020-07-16,16.03339
2020-07-17,15.27035
2020-07-18,1.6418
2020-07-19,1.10704
2020-07-20,14.88882
2020-07-21,20.4991
2020-07-22,18.97926
2020-07-23,17.14982
2020-07-24,16.53688
2020-07-25,1.79816
2020-07-26,1.21337
2020-07-27,16.83397
2020-07-28,17.25615
2020-07-29,24.46758
2020-07-30,27.51665
2020-07-31,26.50967
2020-08-01,2.91772
2020-08-02,1.77002
2020-08-03,25.18372
2020-08-04,23.7702
2020-08-05,23.45435
2020-08-06,34.80626
2020-08-07,30.55633
2020-08-08,3.41182
2020-08-09,3.3399
2020-08-10,31.34753
2020-08-11,32.24505
2020-08-12,31.36629
2020-08-13,31.2412
2020-08-14,27.01629
2020-08-15,2.59248
2020-08-16,1.69184
2020-08-17,4.83159
2020-08-18,24.91165
2020-08-19,23.35115
2020-08-20,21.92513
2020-08-21,21.94076
2020-08-22,2.25474
2020-08-23,1.38224
2020-08-24,19.56718
2020-08-25,21.52171
2020-08-26,18.75097
2020-08-27,17.75963
2020-08-28,20.55539
2020-08-29,1.69496
2020-08-30,1.49169
2020-08-31,22.15029
2020-09-01,20.89001
2020-09-02,23.97035
2020-09-03,27.02567
2020-09-04,22.81639
2020-09-05,2.59248
2020-09-06,1.68558
2020-09-07,25.09929
2020-09-08,22.20658
2020-09-09,24.82409
2020-09-10,37.577
2020-09-11,33.88998
2020-09-12,3.35553
2020-09-13,2.86455
2020-09-14,34.0526
2020-09-15,32.54526
2020-09-16,32.82359
2020-09-17,27.83563
2020-09-18,25.27441
2020-09-19,2.39859
2020-09-20,1.75125
2020-09-21,25.8467
2020-09-22,24.7678
2020-09-23,24.31122
2020-09-24,22.81639
2020-09-25,21.44353
2020-09-26,2.2391
2020-09-27,1.43227
2020-09-28,24.05478
2020-09-29,19.97685
2020-09-30,2.08587
2020-10-01,1.46042
2020-10-02,1.43853
2020-10-03,1.22275
2020-10-04,1.8482
2020-10-05,23.61384
2020-10-06,22.22534
2020-10-07,20.80245
2020-10-08,21.45604
2020-10-09,2.83015
2020-10-10,1.66995
2020-10-11,1.32908
2020-10-12,18.92297
2020-10-13,18.88544
2020-10-14,15.97085
2020-10-15,18.36945
2020-10-16,17.20611
2020-10-17,1.6074
2020-10-18,1.0914
2020-10-19,16.11158
2020-10-20,16.55877
2020-10-21,23.88591
2020-10-22,22.41611
2020-10-23,28.52675
2020-10-24,3.28048
2020-10-25,2.95524
2020-10-26,36.64821
2020-10-27,34.60612
2020-10-28,39.68164
2020-10-29,35.82262
2020-10-30,31.03793
2020-10-31,3.24921
2020-11-01,2.62376
2020-11-02,29.67445
2020-11-03,28.52675
2020-11-04,34.14954
2020-11-05,43.46248
2020-11-06,38.44012
2020-11-07,4.19051
2020-11-08,3.3868
2020-11-09,56.6626
2020-11-10,55.6994
2020-11-11,55.08646
2020-11-12,72.39578
2020-11-13,66.04434
2020-11-14,7.29899
2020-11-15,5.21937
2020-11-16,56.88463
2020-11-17,55.22094
2020-11-18,52.04052
2020-11-19,44.75091
2020-11-20,41.71435
2020-11-21,4.64083
2020-11-22,3.66513
2020-11-23,47.83438
2020-11-24,41.79879
2020-11-25,39.33452
2020-11-26,36.0384
2020-11-27,32.72664
2020-11-28,4.16236
2020-11-29,3.89342
2020-11-30,38.23685
2020-12-01,38.20558
2020-12-02,34.94386
2020-12-03,33.30206
2020-12-04,34.23398
2020-12-05,3.69953
2020-12-06,3.21168
2020-12-07,33.0894
2020-12-08,37.0485
2020-12-09,35.42233
2020-12-10,43.27172
2020-12-11,37.63642
2020-12-12,4.04978
2020-12-13,2.98339
2020-12-14,32.71413
2020-12-15,34.28088
2020-12-16,31.94483
2020-12-17,41.25465
2020-12-18,36.02902
2020-12-19,3.74331
2020-12-20,3.21481
2020-12-21,31.07858
2020-12-22,28.87387
2020-12-23,30.46251
2020-12-24,28.66435
2020-12-25,3.31488
2020-12-26,2.29539
2020-12-27,2.35169
2020-12-28,32.71101
2020-12-29,35.32851
2020-12-30,35.81636
2020-12-31,8.52487
2021-01-01,3.78709
2021-01-02,3.23044
2021-01-03,2.91772
2021-01-04,59.02992
2021-01-05,54.12953
2021-01-06,46.50842
2021-01-07,45.99243
2021-01-08,44.78531
2021-01-09,5.25377
2021-01-10,3.73706
2021-01-11,43.30299
2021-01-12,41.36097
2021-01-13,38.29314
2021-01-14,37.52384
2021-01-15,33.34896
2021-01-16,3.318
2021-01-17,2.31103
2021-01-18,34.43412
2021-01-19,38.51831
2021-01-20,32.44206
2021-01-21,35.71942
2021-01-22,31.57269
2021-01-23,3.25859
2021-01-24,2.55808
2021-01-25,30.63139
2021-01-26,30.15292
2021-01-27,31.19429
2021-01-28,36.20414
2021-01-29,31.67589
2021-01-30,3.10535
2021-01-31,2.29539
2021-02-01,31.22869
2021-02-02,29.59314
2021-02-03,26.38458
2021-02-04,24.68962
2021-02-05,25.93113
2021-02-06,2.85517
2021-02-07,2.10151
2021-02-08,28.18588
2021-02-09,25.72473
2021-02-10,27.41345
2021-02-11,2.71132
2021-02-12,2.07961
2021-02-13,2.01394
2021-02-14,2.3767
2021-02-15,35.31288
2021-02-16,30.08099
2021-02-17,36.18225
2021-02-18,32.88613
2021-02-19,37.02974
2021-02-20,4.03727
2021-02-21,2.99277
2021-02-22,45.62028
2021-02-23,39.04994
2021-02-24,41.9489
2021-02-25,46.20195
2021-02-26,47.60296
2021-02-27,5.65093
2021-02-28,4.66585
2021-03-01,5.18184
2021-03-02,43.29987
2021-03-03,52.7379
2021-03-04,48.20965
2021-03-05,58.50455
2021-03-06,7.40844
2021-03-07,5.14744
2021-03-08,50.68017
2021-03-09,63.39556
2021-03-10,54.8613
2021-03-11,50.46126
2021-03-12,49.41989
2021-03-13,6.36394
2021-03-14,4.4657
2021-03-15,42.36482
2021-03-16,44.71026
2021-03-17,41.32657
2021-03-18,47.87503
2021-03-19,50.88657
2021-03-20,6.15755
2021-03-21,4.8785
2021-03-22,68.98708
2021-03-23,76.49247
2021-03-24,74.82252
2021-03-25,68.4617
2021-03-26,99.15564
2021-03-27,13.17196
2021-03-28,10.44188
2021-03-29,90.3712
2021-03-30,80.3515
2021-03-31,70.70081
2021-04-01,66.39772
2021-04-02,57.92913
2021-04-03,7.10823
2021-04-04,5.21624
2021-04-05,56.525
2021-04-06,53.99193
2021-04-07,58.98301
2021-04-08,55.64937
2021-04-09,49.30418
2021-04-10,5.28192
2021-04-11,4.22803
2021-04-12,48.77255
2021-04-13,48.64121
2021-04-14,46.621
2021-04-15,43.32801
2021-04-16,53.79178
2021-04-17,6.24511
2021-04-18,4.77218
2021-04-19,65.053
2021-04-20,58.69843
2021-04-21,49.38236
2021-04-22,57.66332
2021-04-23,52.16561
2021-04-24,6.19195
