date,현물ETF
2020-03-21,0.06755
2020-07-29,0.06755
2021-01-28,0.11258
2021-03-31,0.05629
2021-04-14,0.05629
2021-04-15,0.12384
2021-08-22,0.10132
2021-10-15,0.23643
2021-10-16,0.49538
2021-10-17,0.4616
2021-10-18,0.9795
2021-10-19,0.45034
2021-10-20,0.41657
2021-10-21,0.41657
2021-10-22,0.28146
2021-10-23,0.09006
2021-10-24,0.21391
2021-10-25,0.36027
2021-10-26,0.34902
2021-10-27,0.31524
2021-10-28,0.20265
2021-10-29,0.19139
2021-10-30,0.16888
2021-10-31,0.14636
2021-11-01,0.14636
2021-11-02,0.20265
2021-11-03,0.23643
2021-11-04,0.21391
2021-11-05,0.30398
2021-11-06,0.30398
2021-11-07,0.34902
2021-11-08,0.96825
2021-11-09,1.26097
2021-11-10,1.44111
2021-11-11,2.02657
2021-11-12,5.16775
2021-11-13,3.80544
2021-11-14,0.48412
2021-11-15,0.50664
2021-11-16,0.29272
2021-11-17,0.11258
2021-11-18,0.06755
2021-11-19,0.40531
2021-11-20,0.16888
2021-11-22,0.12384
2021-11-23,0.05629
2021-11-25,0.1351
2021-11-29,0.06755
2021-12-01,0.12384
2021-12-02,0.2702
2021-12-03,0.45034
2021-12-04,0.61922
2021-12-05,0.20265
2021-12-06,0.15762
2021-12-07,0.23643
2021-12-08,0.15762
2021-12-09,0.12384
2021-12-10,0.10132
2021-12-11,0.25895
2021-12-12,0.09006
2021-12-13,0.14636
2021-12-14,0.36027
2021-12-15,0.11258
2021-12-16,0.36027
2021-12-17,0.28146
2021-12-18,0.23643
2021-12-19,0.06755
2021-12-20,0.06755
2021-12-21,0.16888
2021-12-22,0.19139
2021-12-23,0.4616
2021-12-24,0.19139
2021-12-25,0.09006
2021-12-26,0.06755
2021-12-27,0.10132
2021-12-28,0.19139
2021-12-30,0.11258
2021-12-31,0.05629
2022-01-01,0.06755
2022-01-02,0.16888
2022-01-03,0.11258
2022-01-04,0.20265
2022-01-05,0.34902
2022-01-06,0.21391
2022-01-07,0.5179
2022-01-08,0.20265
2022-01-09,0.16888
2022-01-10,0.38279
2022-01-11,0.34902
2022-01-12,0.28146
2022-01-13,0.25895
2022-01-14,0.12384
2022-01-15,0.14636
2022-01-16,0.10132
2022-01-17,0.22517
2022-01-18,0.09006
2022-01-19,0.20265
2022-01-20,0.23643
2022-01-21,1.82391
2022-01-22,0.58545
2022-01-23,0.21391
2022-01-24,0.41657
2022-01-25,0.57419
2022-01-26,0.3265
2022-01-27,0.47286
2022-01-28,0.56293
2022-01-29,0.19139
2022-01-30,0.15762
2022-01-31,0.06755
2022-02-01,0.20265
2022-02-02,0.10132
2022-02-03,0.20265
2022-02-04,0.16888
2022-02-05,0.20265
2022-02-06,0.12384
2022-02-07,0.07881
2022-02-08,0.33776
2022-02-09,0.18013
2022-02-10,0.09006
2022-02-11,0.28146
2022-02-12,0.1351
2022-02-13,0.06755
2022-02-14,0.11258
2022-02-15,0.24769
2022-02-16,0.09006
2022-02-18,0.22517
2022-02-19,0.14636
2022-02-20,0.14636
2022-02-21,0.12384
2022-02-22,0.25895
2022-02-23,0.30398
2022-02-24,0.52916
2022-02-25,0.20265
2022-02-26,0.22517
2022-02-27,0.12384
2022-02-28,0.06755
2022-03-01,0.15762
2022-03-02,0.09006
2022-03-03,0.19139
2022-03-04,0.1351
2022-03-05,0.10132
2022-03-06,0.14636
2022-03-07,0.24769
2022-03-08,0.19139
2022-03-09,0.25895
2022-03-10,0.34902
2022-03-11,0.59671
2022-03-12,0.34902
2022-03-13,0.1351
2022-03-14,0.19139
2022-03-15,0.19139
2022-03-16,0.3265
2022-03-17,0.31524
2022-03-18,0.3265
2022-03-20,0.10132
2022-03-21,0.06755
2022-03-22,0.05629
2022-03-23,0.15762
2022-03-24,0.19139
2022-03-25,0.25895
2022-03-26,0.09006
2022-03-27,0.06755
2022-03-28,0.14636
2022-03-29,0.11258
2022-03-30,0.12384
2022-03-31,0.15762
2022-04-01,0.06755
2022-04-02,0.05629
2022-04-07,0.59671
2022-04-08,0.23643
2022-04-09,0.07881
2022-04-10,0.10132
2022-04-11,0.16888
2022-04-12,0.29272
2022-04-13,0.40531
2022-04-14,0.19139
2022-04-15,0.16888
2022-04-16,0.23643
2022-04-17,0.09006
2022-04-18,0.64174
2022-04-19,1.49741
2022-04-20,1.0358
2022-04-21,0.8444
2022-04-22,0.40531
2022-04-23,0.2702
2022-04-24,0.3265
2022-04-25,0.58545
2022-04-26,0.43909
2022-04-27,0.50664
2022-04-28,0.57419
2022-04-29,0.3265
2022-04-30,0.24769
2022-05-01,0.30398
2022-05-02,0.31524
2022-05-03,0.38279
2022-05-04,0.29272
2022-05-05,0.14636
2022-05-06,0.43909
2022-05-07,0.33776
2022-05-08,0.23643
2022-05-09,0.49538
2022-05-10,0.47286
2022-05-11,0.77685
2022-05-12,1.76761
2022-05-13,0.78811
2022-05-14,0.52916
2022-05-15,0.52916
2022-05-16,0.70929
2022-05-17,0.55167
2022-05-18,0.37153
2022-05-19,1.00202
2022-05-20,0.42783
2022-05-21,0.2702
2022-05-22,0.22517
2022-05-23,0.24769
2022-05-24,0.42783
2022-05-25,0.36027
2022-05-26,0.2702
2022-05-27,0.2702
2022-05-28,0.11258
2022-05-29,0.18013
2022-05-30,0.19139
2022-05-31,0.15762
2022-06-01,0.10132
2022-06-02,0.14636
2022-06-03,0.15762
2022-06-04,0.11258
2022-06-06,0.12384
2022-06-07,0.21391
2022-06-08,0.4616
2022-06-09,0.36027
2022-06-10,0.29272
2022-06-11,0.34902
2022-06-12,0.2702
2022-06-13,1.20468
2022-06-14,0.69804
2022-06-15,0.34902
2022-06-16,0.55167
2022-06-17,0.93447
2022-06-18,0.34902
2022-06-19,0.73181
2022-06-20,0.36027
2022-06-21,0.64174
2022-06-22,0.42783
2022-06-23,0.50664
2022-06-24,0.28146
2022-06-25,0.34902
2022-06-26,0.33776
2022-06-27,0.67552
2022-06-28,0.79936
2022-06-29,0.54041
2022-06-30,2.11664
2022-07-01,0.55167
2022-07-02,0.14636
2022-07-03,0.11258
2022-07-04,0.19139
2022-07-05,0.06755
2022-07-06,0.30398
2022-07-07,0.20265
2022-07-08,0.05629
2022-07-09,0.12384
2022-07-10,0.12384
2022-07-13,0.06755
2022-07-14,0.06755
2022-07-21,0.09006
2022-07-29,0.05629
2022-07-30,0.07881
2022-07-31,0.05629
2022-08-07,0.05629
2022-08-12,0.18013
2022-08-13,0.05629
2022-08-14,0.05629
2022-08-15,0.07881
2022-08-17,0.05629
2022-08-18,0.10132
2022-08-19,0.10132
2022-08-20,0.1351
2022-08-22,0.16888
2022-08-23,0.09006
2022-08-24,0.06755
2022-08-25,0.07881
2022-08-26,0.07881
2022-08-27,0.07881
2022-08-28,0.05629
2022-08-29,0.05629
2022-08-30,0.41657
2022-08-31,0.33776
2022-09-01,0.07881
2022-09-06,0.11258
2022-09-15,0.14636
2022-09-16,0.05629
2022-09-19,0.07881
2022-09-20,0.05629
2022-09-22,0.06755
2022-09-30,0.11258
2022-10-07,0.06755
2022-10-11,0.23643
2022-10-12,0.10132
2022-10-25,0.1351
2022-11-11,0.05629
2022-11-13,0.10132
2022-11-22,0.07881
2022-11-23,0.06755
2022-12-04,0.09006
2022-12-08,0.05629
2022-12-10,0.05629
2022-12-19,0.06755
2022-12-28,0.07881
2022-12-29,0.05629
2023-01-01,0.05629
2023-01-03,0.07881
2023-01-09,0.05629
2023-01-12,0.06755
2023-01-13,0.05629
2023-01-14,0.11258
