date,호텔신라주가
2020-03-20,34.04637
2020-03-21,3.61635
2020-03-22,2.73966
2020-03-23,28.60868
2020-03-24,28.82347
2020-03-25,32.8453
2020-03-26,35.94003
2020-03-27,32.90667
2020-03-28,3.43225
2020-03-29,2.50515
2020-03-30,29.7177
2020-03-31,29.64099
2020-04-01,30.01358
2020-04-02,28.55389
2020-04-03,26.93201
2020-04-04,3.00924
2020-04-05,2.30789
2020-04-06,29.36045
2020-04-07,35.44031
2020-04-08,39.62214
2020-04-09,33.99815
2020-04-10,31.79765
2020-04-11,3.75443
2020-04-12,3.39061
2020-04-13,28.26458
2020-04-14,26.00929
2020-04-15,4.03498
2020-04-16,25.97641
2020-04-17,37.48739
2020-04-18,4.68592
2020-04-19,3.71498
2020-04-20,37.39972
2020-04-21,32.57353
2020-04-22,30.99548
2020-04-23,30.41248
2020-04-24,26.58791
2020-04-25,4.11607
2020-04-26,2.6498
2020-04-27,28.07609
2020-04-28,35.53675
2020-04-29,38.43641
2020-04-30,4.64428
2020-05-01,4.59168
2020-05-02,2.37145
2020-05-03,2.54021
2020-05-04,28.45526
2020-05-05,3.58129
2020-05-06,26.22408
2020-05-07,25.59286
2020-05-08,22.91675
2020-05-09,2.41748
2020-05-10,1.75119
2020-05-11,23.89646
2020-05-12,23.69482
2020-05-13,21.27076
2020-05-14,21.68719
2020-05-15,20.24065
2020-05-16,1.79722
2020-05-17,1.38517
2020-05-18,19.49765
2020-05-19,26.38846
2020-05-20,21.95458
2020-05-21,22.23293
2020-05-22,19.78477
2020-05-23,1.95064
2020-05-24,1.62188
2020-05-25,20.05216
2020-05-26,21.9239
2020-05-27,20.88282
2020-05-28,21.4987
2020-05-29,18.10152
2020-05-30,1.80598
2020-05-31,1.39613
2020-06-01,20.10914
2020-06-02,20.28887
2020-06-03,24.10029
2020-06-04,24.81479
2020-06-05,23.65537
2020-06-06,2.50515
2020-06-07,1.92653
2020-06-08,23.25209
2020-06-09,22.42361
2020-06-10,20.77981
2020-06-11,20.80831
2020-06-12,21.52281
2020-06-13,1.89584
2020-06-14,1.56051
2020-06-15,22.35129
2020-06-16,21.13707
2020-06-17,20.6242
2020-06-18,20.63078
2020-06-19,21.54254
2020-06-20,1.9353
2020-06-21,1.45092
2020-06-22,19.73217
2020-06-23,22.53539
2020-06-24,20.9968
2020-06-25,20.07846
2020-06-26,19.73436
2020-06-27,1.97475
