date,홍콩ELS
2020-03-20,0.06181
2020-03-23,0.10301
2020-03-24,0.08241
2020-03-26,0.09271
2020-04-01,0.11332
2020-04-03,0.06181
2020-04-06,0.14422
2020-04-07,0.09271
2020-04-12,0.06181
2020-04-14,0.06181
2020-04-17,0.0515
2020-04-21,0.08241
2020-04-22,0.0515
2020-04-28,0.09271
2020-04-29,0.06181
2020-05-04,0.07211
2020-05-08,0.06181
2020-05-23,0.06181
2020-05-24,0.0515
2020-05-25,0.37086
2020-05-26,0.10301
2020-05-27,0.10301
2020-05-28,0.26784
2020-05-29,0.26784
2020-05-30,0.42237
2020-05-31,0.19573
2020-06-01,0.62841
2020-06-02,0.28845
2020-06-03,0.13392
2020-06-04,0.26784
2020-06-05,0.07211
2020-06-07,0.0515
2020-06-08,0.18543
2020-06-09,0.25754
2020-06-10,0.0515
2020-06-12,0.07211
2020-06-15,0.14422
2020-06-16,0.07211
2020-06-24,0.06181
2020-06-29,0.0515
2020-06-30,0.42237
2020-07-01,0.23694
2020-07-02,0.22664
2020-07-03,0.13392
2020-07-04,0.06181
2020-07-05,0.08241
2020-07-06,0.09271
2020-07-09,0.06181
2020-07-10,0.06181
2020-07-14,0.06181
2020-07-15,0.08241
2020-07-17,0.10301
2020-07-22,0.0515
2020-08-08,0.08241
2020-08-10,0.09271
2020-08-11,0.06181
2020-08-12,0.07211
2020-08-13,0.07211
2020-08-20,0.06181
2020-09-06,0.0515
2020-09-17,0.07211
2020-09-21,0.0515
2020-09-23,0.06181
2020-09-26,0.06181
2020-09-28,0.15452
2020-09-30,0.06181
2020-10-13,0.06181
2020-11-02,0.0515
2021-05-18,0.06181
2021-07-03,0.06181
2021-07-08,0.14422
2021-07-26,0.14422
2021-07-27,0.35026
2021-07-28,0.20603
2021-08-10,0.13392
2021-08-20,0.17513
2021-08-24,0.06181
2021-08-26,0.35026
2021-08-27,0.08241
2021-09-16,0.08241
2021-09-19,0.08241
2021-09-20,0.29875
2021-09-21,0.22664
2021-09-22,0.0515
2021-09-23,0.0515
2021-09-24,0.12362
2021-09-25,0.0515
2021-09-28,0.08241
2021-09-29,0.0515
2021-10-04,0.0515
2021-10-05,0.06181
2021-10-06,0.06181
2021-10-07,0.0515
2021-11-30,0.28845
2021-12-06,0.08241
2021-12-07,0.06181
2021-12-08,0.0515
2021-12-17,0.06181
2021-12-20,0.28845
2021-12-21,0.07211
2022-01-03,0.09271
2022-01-05,0.0515
2022-01-06,0.06181
2022-01-11,0.0515
2022-02-22,0.06181
2022-02-25,0.06181
2022-03-03,0.07211
2022-03-04,0.17513
2022-03-05,0.07211
2022-03-06,0.06181
2022-03-07,0.28845
2022-03-08,0.17513
2022-03-09,0.37086
2022-03-10,0.10301
2022-03-11,0.62841
2022-03-12,0.27814
2022-03-13,0.13392
2022-03-14,3.33779
2022-03-15,6.87132
2022-03-16,2.71968
2022-03-17,1.06108
2022-03-18,0.5872
2022-03-19,0.49448
2022-03-20,0.28845
2022-03-21,0.30905
2022-03-22,0.35026
2022-03-23,0.18543
2022-03-24,0.21633
2022-03-25,0.38116
2022-03-26,0.16482
2022-03-27,0.13392
2022-03-28,0.09271
2022-03-29,0.16482
2022-03-30,0.16482
2022-03-31,0.15452
2022-04-01,0.15452
2022-04-02,0.10301
2022-04-03,0.10301
2022-04-04,0.15452
2022-04-05,0.10301
2022-04-06,0.11332
2022-04-07,0.0515
2022-04-08,0.08241
2022-04-09,0.11332
2022-04-11,0.21633
2022-04-12,0.07211
2022-04-13,0.09271
2022-04-18,0.07211
2022-04-20,0.06181
2022-04-21,0.25754
2022-04-22,0.11332
2022-04-25,0.39147
2022-04-26,0.14422
2022-04-27,0.06181
2022-04-29,0.09271
2022-05-01,0.06181
2022-05-04,0.0515
2022-05-08,0.0515
2022-05-10,0.15452
2022-05-11,0.0515
2022-05-12,0.0515
2022-05-13,0.0515
2022-05-17,0.0515
2022-05-18,0.0515
2022-05-19,0.09271
2022-05-30,0.07211
2022-05-31,0.08241
2022-06-02,0.07211
2022-06-03,0.0515
2022-06-04,0.06181
2022-06-08,0.0515
2022-06-09,0.08241
2022-06-14,0.06181
2022-06-15,0.0515
2022-06-22,0.0515
2022-06-23,0.0515
2022-07-29,0.07211
2022-07-30,0.08241
2022-08-02,0.15452
2022-08-08,0.0515
2022-08-10,0.11332
2022-08-18,0.0515
2022-08-19,0.0515
2022-08-20,0.06181
2022-08-24,0.10301
2022-08-25,0.12362
2022-09-03,0.10301
2022-09-07,0.15452
2022-09-08,0.09271
2022-09-09,0.06181
2022-09-11,0.0515
2022-09-12,0.08241
2022-09-13,0.08241
2022-09-16,0.08241
2022-09-19,0.21633
2022-09-21,0.18543
2022-09-22,0.33996
2022-09-23,0.24724
2022-09-24,0.13392
2022-09-25,0.13392
2022-09-26,0.12362
2022-09-27,0.21633
2022-09-28,0.72112
2022-09-29,0.36056
2022-09-30,0.21633
2022-10-01,0.16482
2022-10-02,0.08241
2022-10-03,0.22664
2022-10-04,0.17513
2022-10-05,0.22664
2022-10-06,0.07211
2022-10-08,0.06181
2022-10-09,0.12362
2022-10-10,0.24724
2022-10-11,0.66961
2022-10-12,0.65931
2022-10-13,0.98897
2022-10-14,0.35026
2022-10-15,0.19573
2022-10-16,0.12362
2022-10-17,0.40177
2022-10-18,0.31935
2022-10-19,0.37086
2022-10-20,1.06108
2022-10-21,0.53569
2022-10-22,0.17513
2022-10-23,0.18543
2022-10-24,4.65643
2022-10-25,2.77119
2022-10-26,0.86535
2022-10-27,0.50479
2022-10-28,1.52467
2022-10-29,0.33996
2022-10-30,0.13392
2022-10-31,1.23622
2022-11-01,0.81384
2022-11-02,0.41207
2022-11-03,0.46358
2022-11-04,0.31935
2022-11-05,0.20603
2022-11-06,0.14422
2022-11-07,0.33996
2022-11-08,0.24724
2022-11-09,0.16482
2022-11-10,0.11332
2022-11-11,0.13392
2022-11-12,0.08241
2022-11-13,0.0515
2022-11-14,0.16482
2022-11-15,0.27814
2022-11-16,0.09271
2022-11-17,0.14422
2022-11-18,0.14422
2022-11-19,0.0515
2022-11-20,0.14422
2022-11-21,0.11332
2022-11-22,0.25754
2022-11-23,0.16482
2022-11-24,0.08241
2022-11-25,0.12362
2022-11-28,0.10301
2022-11-29,0.17513
2022-12-01,0.09271
2022-12-02,0.06181
2022-12-03,0.0515
2022-12-05,0.17513
2022-12-07,0.09271
2022-12-08,0.06181
2022-12-09,0.25754
2022-12-10,0.0515
2022-12-11,0.06181
2022-12-12,0.06181
2022-12-13,0.06181
2022-12-14,0.10301
2022-12-15,0.06181
2022-12-16,0.0515
2022-12-21,0.06181
2022-12-22,0.06181
