date,환급금조회
2020-03-20,0.70877
2020-03-21,0.31269
2020-03-22,0.16677
2020-03-23,1.75109
2020-03-24,1.58432
2020-03-25,0.91723
2020-03-26,0.66708
2020-03-27,0.60454
2020-03-28,0.10423
2020-03-30,0.47946
2020-03-31,0.58369
2020-04-01,0.50031
2020-04-02,0.45861
2020-04-03,0.87554
2020-04-04,0.20846
2020-04-05,0.16677
2020-04-06,0.35438
2020-04-07,0.52115
2020-04-08,0.52115
2020-04-09,0.33354
2020-04-10,0.41692
2020-04-11,0.14592
2020-04-12,0.10423
2020-04-13,0.33354
2020-04-14,0.271
2020-04-15,0.93808
2020-04-16,0.75046
2020-04-17,0.60454
2020-04-18,0.12507
2020-04-19,0.75046
2020-04-20,0.66708
2020-04-21,0.31269
2020-04-22,0.60454
2020-04-23,0.64623
2020-04-24,0.45861
2020-04-25,0.10423
2020-04-26,0.18761
2020-04-27,0.70877
2020-04-28,0.56285
2020-04-29,0.62539
2020-04-30,0.43777
2020-05-01,0.62539
2020-05-02,0.271
2020-05-03,0.64623
2020-05-04,0.97977
2020-05-05,0.50031
2020-05-06,0.89639
2020-05-07,0.97977
2020-05-08,0.87554
2020-05-09,0.58369
2020-05-10,0.66708
2020-05-11,1.10485
2020-05-12,1.02147
2020-05-13,0.91723
2020-05-14,1.18824
2020-05-15,1.10485
2020-05-16,0.47946
2020-05-17,0.25015
2020-05-18,0.77131
2020-05-19,0.64623
2020-05-20,0.79216
2020-05-21,0.64623
2020-05-22,0.60454
2020-05-23,0.37523
2020-05-24,0.20846
2020-05-25,100.0
2020-05-26,72.94142
2020-05-27,25.99541
2020-05-28,18.40733
2020-05-29,10.90264
2020-05-30,6.39983
2020-05-31,6.35814
2020-06-01,9.23493
2020-06-02,8.29685
2020-06-03,7.25453
2020-06-04,4.52366
2020-06-05,3.29372
2020-06-06,2.18886
2020-06-07,1.77194
2020-06-08,4.91974
2020-06-09,2.98102
2020-06-10,3.56472
2020-06-11,2.66833
2020-06-12,2.77256
2020-06-13,1.56347
2020-06-14,1.79278
2020-06-15,3.50218
2020-06-16,3.29372
2020-06-17,2.98102
2020-06-18,3.23118
2020-06-19,4.19011
2020-06-20,1.35501
2020-06-21,1.29247
2020-06-22,2.60579
2020-06-23,2.23056
2020-06-24,1.3967
2020-06-25,1.64686
2020-06-26,0.75046
2020-06-27,0.68792
2020-06-28,0.33354
2020-06-29,1.04231
2020-06-30,0.95893
2020-07-01,1.08401
2020-07-02,0.62539
2020-07-03,0.68792
2020-07-04,0.12507
2020-07-05,0.35438
2020-07-06,0.68792
2020-07-07,0.52115
2020-07-08,0.35438
2020-07-09,0.64623
2020-07-10,0.37523
2020-07-11,0.2293
2020-07-12,0.12507
2020-07-13,0.64623
2020-07-14,0.31269
2020-07-15,0.542
2020-07-16,0.35438
2020-07-17,0.58369
2020-07-18,0.29184
2020-07-19,0.2293
2020-07-20,0.56285
2020-07-21,0.45861
2020-07-22,0.43777
2020-07-23,0.79216
2020-07-24,0.56285
2020-07-25,0.271
2020-07-26,0.2293
2020-07-27,0.56285
2020-07-28,0.60454
2020-07-29,0.39608
2020-07-30,0.50031
2020-07-31,0.542
2020-08-01,0.14592
2020-08-02,0.18761
2020-08-03,0.58369
2020-08-04,0.56285
2020-08-05,0.35438
2020-08-06,0.72962
2020-08-07,0.39608
2020-08-08,0.14592
2020-08-09,0.18761
2020-08-10,0.20846
2020-08-11,0.60454
2020-08-12,0.50031
2020-08-13,0.64623
2020-08-14,0.68792
2020-08-15,0.41692
2020-08-16,0.16677
2020-08-17,0.58369
2020-08-18,0.66708
2020-08-19,2.06378
2020-08-20,1.14654
2020-08-21,0.72962
2020-08-22,0.39608
2020-08-23,0.31269
2020-08-24,1.22993
2020-08-25,0.83385
2020-08-26,0.52115
2020-08-27,0.52115
2020-08-28,0.64623
2020-08-29,0.25015
2020-08-30,0.25015
2020-08-31,0.37523
2020-09-01,0.813
2020-09-02,0.79216
2020-09-03,0.52115
2020-09-04,0.56285
2020-09-05,0.41692
