date,환율
2020-03-20,100.0
2020-03-21,19.18104
2020-03-22,12.62404
2020-03-23,83.10326
2020-03-24,66.80217
2020-03-25,60.46457
2020-03-26,53.96582
2020-03-27,51.56572
2020-03-28,13.36253
2020-03-29,9.63341
2020-03-30,49.8807
2020-03-31,41.61513
2020-04-01,41.0579
2020-04-02,42.72855
2020-04-03,36.68968
2020-04-04,10.76512
2020-04-05,8.00033
2020-04-06,37.25055
2020-04-07,36.61972
2020-04-08,34.50595
2020-04-09,32.66806
2020-04-10,31.82204
2020-04-11,8.75305
2020-04-12,7.21691
2020-04-13,32.45596
2020-04-14,29.32914
2020-04-15,11.85338
2020-04-16,33.25557
2020-04-17,29.98493
2020-04-18,8.23332
2020-04-19,6.47386
2020-04-20,29.31519
2020-04-21,40.51637
2020-04-22,33.473
2020-04-23,29.51433
2020-04-24,28.41948
2020-04-25,8.3217
2020-04-26,6.7168
2020-04-27,28.74941
2020-04-28,27.06993
2020-04-29,23.88703
2020-04-30,9.67133
2020-05-01,9.50101
2020-05-02,6.35884
2020-05-03,5.84331
2020-05-04,22.42351
2020-05-05,9.09216
2020-05-06,23.21289
2020-05-07,20.87103
2020-05-08,20.56957
2020-05-09,6.52103
2020-05-10,5.12045
2020-05-11,22.12926
2020-05-12,20.96531
2020-05-13,19.63643
2020-05-14,19.88007
2020-05-15,19.59696
2020-05-16,6.18017
2020-05-17,5.28411
2020-05-18,21.3253
2020-05-19,22.43661
2020-05-20,20.66594
2020-05-21,20.19695
2020-05-22,22.23692
2020-05-23,7.1546
2020-05-24,5.81604
2020-05-25,26.05036
2020-05-26,25.73915
2020-05-27,23.36232
2020-05-28,24.54611
2020-05-29,21.70576
2020-05-30,6.89554
2020-05-31,5.44722
2020-06-01,24.78029
2020-06-02,23.37249
2020-06-03,25.60149
2020-06-04,23.73311
2020-06-05,23.98579
2020-06-06,7.36193
2020-06-07,5.6106
2020-06-08,26.61334
2020-06-09,28.72081
2020-06-10,28.06461
2020-06-11,27.52342
2020-06-12,26.86371
2020-06-13,6.89694
2020-06-14,5.62694
2020-06-15,27.33242
2020-06-16,26.63276
2020-06-17,25.13979
2020-06-18,22.3211
2020-06-19,20.1277
2020-06-20,5.99807
2020-06-21,4.83987
2020-06-22,21.67983
2020-06-23,21.74018
2020-06-24,21.78476
2020-06-25,21.30336
2020-06-26,20.45279
2020-06-27,6.07013
2020-06-28,4.9851
2020-06-29,22.72371
2020-06-30,22.14881
2020-07-01,20.50725
2020-07-02,19.26963
2020-07-03,17.94685
2020-07-04,5.56532
2020-07-05,4.58957
2020-07-06,20.27595
2020-07-07,21.23923
2020-07-08,19.27945
2020-07-09,18.97181
2020-07-10,18.73301
2020-07-11,5.65371
2020-07-12,4.53749
2020-07-13,19.2151
2020-07-14,19.05375
2020-07-15,18.6006
2020-07-16,18.16154
2020-07-17,16.16356
2020-07-18,5.06697
2020-07-19,4.1756
2020-07-20,17.37539
2020-07-21,18.43329
2020-07-22,19.37926
2020-07-23,18.43771
2020-07-24,17.74569
2020-07-25,5.67691
2020-07-26,4.52894
2020-07-27,20.08537
2020-07-28,21.71263
2020-07-29,20.01885
2020-07-30,21.21911
2020-07-31,20.89886
2020-08-01,6.10525
2020-08-02,4.9019
2020-08-03,18.396
2020-08-04,17.42761
2020-08-05,18.76896
2020-08-06,20.0738
2020-08-07,18.4764
2020-08-08,6.04258
2020-08-09,4.89104
2020-08-10,19.06447
2020-08-11,18.68282
2020-08-12,18.42523
2020-08-13,17.47569
2020-08-14,16.05162
2020-08-15,5.27248
2020-08-16,4.30016
2020-08-17,8.71163
2020-08-18,18.77408
2020-08-19,18.33495
2020-08-20,21.10079
2020-08-21,18.50156
2020-08-22,6.25819
2020-08-23,4.88445
2020-08-24,19.93285
2020-08-25,18.32227
2020-08-26,17.3395
2020-08-27,17.12768
2020-08-28,16.36052
2020-08-29,5.70502
2020-08-30,4.69197
2020-08-31,19.52239
2020-09-01,18.9723
2020-09-02,17.99171
2020-09-03,17.70118
2020-09-04,19.16646
2020-09-05,5.80819
2020-09-06,4.67459
2020-09-07,16.50758
2020-09-08,16.28307
2020-09-09,17.76181
2020-09-10,16.05814
2020-09-11,14.80293
2020-09-12,5.06459
2020-09-13,4.1667
2020-09-14,15.80511
2020-09-15,17.42109
2020-09-16,18.91609
2020-09-17,18.91076
2020-09-18,24.09114
2020-09-19,6.95406
2020-09-20,5.22601
2020-09-21,23.84133
2020-09-22,22.86845
2020-09-23,20.13212
2020-09-24,21.88274
2020-09-25,18.68752
2020-09-26,6.08478
2020-09-27,4.70165
2020-09-28,17.54354
2020-09-29,15.6235
2020-09-30,6.20632
2020-10-01,5.29281
2020-10-02,5.82235
2020-10-03,4.89048
2020-10-04,4.55529
2020-10-05,19.07232
2020-10-06,19.08466
2020-10-07,18.06566
2020-10-08,18.92057
2020-10-09,8.35563
2020-10-10,6.10798
2020-10-11,5.06164
2020-10-12,22.52752
2020-10-13,21.39504
2020-10-14,21.75062
2020-10-15,19.88497
2020-10-16,17.73034
2020-10-17,5.88291
2020-10-18,4.61705
2020-10-19,19.16562
2020-10-20,20.38676
2020-10-21,22.72441
2020-10-22,22.16508
2020-10-23,20.11824
2020-10-24,7.15081
2020-10-25,5.69738
2020-10-26,22.67198
2020-10-27,22.10431
2020-10-28,21.47137
2020-10-29,21.70205
2020-10-30,20.48973
2020-10-31,6.54641
2020-11-01,5.4393
2020-11-02,20.16394
2020-11-03,18.95289
2020-11-04,26.80322
2020-11-05,26.51501
2020-11-06,23.91921
2020-11-07,7.45004
2020-11-08,6.51367
2020-11-09,28.39285
2020-11-10,27.41835
2020-11-11,25.5143
2020-11-12,23.36478
2020-11-13,20.69307
2020-11-14,6.88881
2020-11-15,5.57514
2020-11-16,26.27802
2020-11-17,24.31607
2020-11-18,24.12934
2020-11-19,26.12032
2020-11-20,22.52486
2020-11-21,7.40336
2020-11-22,6.43307
2020-11-23,24.18409
2020-11-24,23.63407
2020-11-25,24.5206
2020-11-26,23.5412
2020-11-27,23.4894
2020-11-28,8.76006
2020-11-29,6.65288
2020-11-30,23.3802
2020-12-01,21.67948
2020-12-02,23.10789
2020-12-03,28.97595
2020-12-04,32.73374
2020-12-05,10.40758
2020-12-06,7.83302
2020-12-07,29.96957
2020-12-08,27.7972
2020-12-09,26.20702
2020-12-10,25.5035
2020-12-11,23.91823
2020-12-12,8.3667
2020-12-13,6.9003
2020-12-14,25.14274
2020-12-15,24.7041
2020-12-16,23.42295
2020-12-17,23.09093
2020-12-18,23.42162
2020-12-19,8.09334
2020-12-20,6.52601
2020-12-21,26.47898
2020-12-22,26.46615
2020-12-23,23.99014
2020-12-24,21.02727
2020-12-25,7.95786
2020-12-26,6.49776
2020-12-27,6.27298
2020-12-28,23.87498
2020-12-29,22.90434
2020-12-30,24.02168
2020-12-31,18.71618
2021-01-01,7.65555
2021-01-02,6.73131
2021-01-03,6.63774
2021-01-04,27.2713
2021-01-05,25.63387
2021-01-06,24.53181
2021-01-07,23.09962
2021-01-08,25.54058
2021-01-09,8.76896
2021-01-10,6.67972
2021-01-11,27.3873
2021-01-12,26.81381
2021-01-13,24.14518
2021-01-14,23.76683
2021-01-15,22.39168
2021-01-16,8.15383
2021-01-17,6.39655
2021-01-18,25.33304
2021-01-19,24.10243
2021-01-20,22.80698
2021-01-21,22.28767
2021-01-22,20.8444
2021-01-23,7.68807
2021-01-24,5.94642
2021-01-25,22.59334
2021-01-26,22.16529
2021-01-27,20.77073
2021-01-28,29.69425
2021-01-29,28.26262
2021-01-30,8.90165
2021-01-31,6.58026
2021-02-01,25.72212
2021-02-02,23.11469
2021-02-03,21.83585
2021-02-04,21.38859
2021-02-05,24.18114
2021-02-06,7.99528
2021-02-07,6.05604
2021-02-08,22.84525
2021-02-09,22.0033
2021-02-10,20.79288
2021-02-11,8.2364
2021-02-12,6.83575
2021-02-13,6.1513
2021-02-14,5.65252
2021-02-15,22.20096
2021-02-16,24.01201
2021-02-17,22.39757
2021-02-18,21.59298
2021-02-19,19.92472
2021-02-20,6.94649
2021-02-21,5.38589
2021-02-22,21.2428
2021-02-23,22.34052
2021-02-24,21.26439
2021-02-25,19.91525
2021-02-26,26.12312
2021-02-27,7.92666
2021-02-28,5.8342
2021-03-01,9.28547
2021-03-02,24.32308
2021-03-03,20.65276
2021-03-04,21.67429
2021-03-05,22.95572
2021-03-06,7.11114
2021-03-07,5.44477
2021-03-08,24.0139
2021-03-09,26.8361
2021-03-10,26.18964
2021-03-11,23.91802
2021-03-12,22.45841
2021-03-13,7.20948
2021-03-14,5.70292
2021-03-15,21.93426
2021-03-16,20.64134
2021-03-17,19.39608
2021-03-18,20.78412
2021-03-19,19.6939
2021-03-20,6.38751
2021-03-21,5.06641
2021-03-22,19.46442
2021-03-23,18.65682
2021-03-24,18.43077
2021-03-25,18.56913
2021-03-26,16.73755
2021-03-27,5.84275
2021-03-28,4.71924
2021-03-29,17.68337
2021-03-30,17.23976
2021-03-31,17.54508
2021-04-01,17.62947
2021-04-02,16.12459
2021-04-03,5.79383
2021-04-04,4.9497
2021-04-05,17.1902
2021-04-06,18.77212
2021-04-07,19.97231
2021-04-08,18.17675
2021-04-09,17.47275
2021-04-10,6.04742
2021-04-11,4.91291
2021-04-12,17.97755
2021-04-13,17.54473
2021-04-14,18.49602
2021-04-15,18.06538
2021-04-16,17.25953
2021-04-17,5.9898
2021-04-18,4.9497
2021-04-19,17.36417
2021-04-20,18.43596
2021-04-21,18.1293
2021-04-22,16.28454
2021-04-23,15.94901
2021-04-24,5.33269
2021-04-25,4.4559
2021-04-26,16.93367
2021-04-27,17.6744
2021-04-28,16.01966
2021-04-29,17.44976
2021-04-30,15.78373
2021-05-01,5.42675
2021-05-02,4.38721
2021-05-03,16.94292
2021-05-04,16.37804
2021-05-05,7.88839
2021-05-06,17.07441
2021-05-07,14.91571
2021-05-08,5.49719
2021-05-09,4.44714
2021-05-10,17.30144
2021-05-11,17.78732
