date,환율계산기
2020-03-20,83.37061
2020-03-21,37.06415
2020-03-22,32.15883
2020-03-23,72.42324
2020-03-24,63.65586
2020-03-25,63.10895
2020-03-26,60.34989
2020-03-27,58.56057
2020-03-28,34.46902
2020-03-29,31.40664
2020-03-30,59.60689
2020-03-31,56.08646
2020-04-01,55.73258
2020-04-02,53.91414
2020-04-03,50.47643
2020-04-04,30.27759
2020-04-05,29.10257
2020-04-06,52.65947
2020-04-07,53.13438
2020-04-08,50.4412
2020-04-09,49.08082
2020-04-10,47.89968
2020-04-11,28.69048
2020-04-12,28.24162
2020-04-13,50.28341
2020-04-14,48.04522
2020-04-15,35.12929
2020-04-16,51.10147
2020-04-17,50.03983
2020-04-18,30.78313
2020-04-19,29.64948
2020-04-20,50.50401
2020-04-21,54.3676
2020-04-22,51.73264
2020-04-23,48.9889
2020-04-24,48.27501
2020-04-25,28.7732
2020-04-26,28.75788
2020-04-27,49.90655
2020-04-28,49.27998
2020-04-29,46.70169
2020-04-30,33.4564
2020-05-01,31.91678
2020-05-02,26.79698
2020-05-03,27.50474
2020-05-04,45.23561
2020-05-05,36.12966
2020-05-06,51.21484
2020-05-07,46.89472
2020-05-08,45.49604
2020-05-09,28.59243
2020-05-10,27.66866
2020-05-11,48.60132
2020-05-12,46.61284
2020-05-13,44.8419
2020-05-14,44.19694
2020-05-15,43.26398
2020-05-16,27.75292
2020-05-17,28.38868
2020-05-18,49.78705
2020-05-19,48.67945
2020-05-20,49.97548
2020-05-21,46.05214
2020-05-22,43.8691
2020-05-23,28.56026
2020-05-24,28.5189
2020-05-25,51.74949
2020-05-26,53.19719
2020-05-27,48.51093
2020-05-28,47.54886
2020-05-29,43.67914
2020-05-30,28.19872
2020-05-31,27.59973
2020-06-01,49.03793
2020-06-02,49.39181
2020-06-03,48.92763
2020-06-04,46.71242
2020-06-05,43.11232
2020-06-06,26.88277
2020-06-07,25.83951
2020-06-08,48.71315
2020-06-09,50.02604
2020-06-10,49.74875
2020-06-11,47.08315
2020-06-12,44.1755
2020-06-13,26.49059
2020-06-14,26.99154
2020-06-15,46.8748
2020-06-16,46.53165
2020-06-17,45.48072
2020-06-18,44.2046
2020-06-19,41.45015
2020-06-20,26.10913
2020-06-21,25.16851
2020-06-22,44.89552
2020-06-23,42.38617
2020-06-24,42.32642
2020-06-25,41.19124
2020-06-26,39.40805
2020-06-27,25.91611
2020-06-28,25.87627
2020-06-29,45.99546
2020-06-30,46.22219
2020-07-01,44.6933
2020-07-02,43.99319
2020-07-03,39.09859
2020-07-04,23.73307
2020-07-05,25.18077
2020-07-06,46.54543
2020-07-07,46.49947
2020-07-08,43.88596
2020-07-09,43.27624
2020-07-10,40.54323
2020-07-11,27.32551
2020-07-12,26.81996
2020-07-13,48.68711
2020-07-14,48.02377
2020-07-15,44.98896
2020-07-16,43.23181
2020-07-17,40.06372
2020-07-18,26.64991
2020-07-19,26.36956
2020-07-20,47.00962
2020-07-21,48.96133
2020-07-22,48.4037
2020-07-23,46.89319
2020-07-24,43.89362
2020-07-25,28.44537
2020-07-26,25.90998
2020-07-27,47.57031
2020-07-28,51.19799
2020-07-29,46.41675
2020-07-30,43.37275
2020-07-31,41.1698
