date,환테크
2020-03-20,28.47275
2020-03-21,13.04681
2020-03-22,10.82118
2020-03-23,16.88411
2020-03-24,12.97006
2020-03-25,13.12356
2020-03-26,12.97006
2020-03-27,12.73983
2020-03-28,6.13967
2020-03-29,6.83039
2020-03-30,11.12816
2020-03-31,8.67229
2020-04-01,9.74673
2020-04-02,10.3607
2020-04-03,8.21181
2020-04-04,5.83269
2020-04-05,7.13737
2020-04-06,7.59785
2020-04-07,9.82348
2020-04-08,7.90483
2020-04-09,6.36991
2020-04-10,9.20951
2020-04-11,4.91174
2020-04-12,5.5257
2020-04-13,6.98388
2020-04-14,7.67459
2020-04-15,4.6815
2020-04-16,6.98388
2020-04-17,10.66768
2020-04-18,7.5211
2020-04-19,5.21872
2020-04-20,6.36991
2020-04-21,8.74904
2020-04-22,7.90483
2020-04-23,8.21181
2020-04-24,8.59554
2020-04-25,3.60706
2020-04-26,4.75825
2020-04-27,6.60015
2020-04-28,5.44896
2020-04-29,5.90943
2020-04-30,5.06523
2020-05-01,5.14198
2020-05-02,4.29777
2020-05-03,4.45126
2020-05-04,6.29316
2020-05-05,4.06753
2020-05-06,5.6792
2020-05-07,4.98848
2020-05-08,5.37221
2020-05-09,2.53261
2020-05-10,3.53031
2020-05-11,5.90943
2020-05-12,4.60475
2020-05-13,3.76055
2020-05-14,5.14198
2020-05-15,4.6815
2020-05-16,4.45126
2020-05-17,3.30007
2020-05-18,3.37682
2020-05-19,5.06523
2020-05-20,4.06753
2020-05-21,5.06523
2020-05-22,4.83499
2020-05-23,3.30007
2020-05-24,4.83499
2020-05-25,5.06523
2020-05-26,4.37452
2020-05-27,4.83499
2020-05-28,3.91404
2020-05-29,5.98618
2020-05-30,2.91634
2020-05-31,3.76055
2020-06-01,5.06523
2020-06-02,6.06293
2020-06-03,7.44435
2020-06-04,6.67689
2020-06-05,7.44435
2020-06-06,4.75825
2020-06-07,3.76055
2020-06-08,7.36761
2020-06-09,12.81657
2020-06-10,12.73983
2020-06-11,8.82578
2020-06-12,6.98388
2020-06-13,3.6838
2020-06-14,6.67689
2020-06-15,7.21412
2020-06-16,6.29316
2020-06-17,6.75364
2020-06-18,5.5257
2020-06-19,6.06293
2020-06-20,3.06983
2020-06-21,3.99079
2020-06-22,3.99079
2020-06-23,5.44896
2020-06-24,6.44666
2020-06-25,5.90943
2020-06-26,6.29316
2020-06-27,3.91404
2020-06-28,3.53031
2020-06-29,5.60245
2020-06-30,6.75364
2020-07-01,5.75594
2020-07-02,6.29316
2020-07-03,6.5234
2020-07-04,4.14428
2020-07-05,3.22333
2020-07-06,6.60015
2020-07-07,6.98388
2020-07-08,5.6792
2020-07-09,6.67689
2020-07-10,2.76285
2020-07-11,3.22333
