date,회사채금리
2020-03-20,23.43966
2020-03-21,9.15395
2020-03-22,17.47572
2020-03-23,41.60887
2020-03-24,39.25104
2020-03-25,25.93619
2020-03-26,28.57142
2020-03-27,31.34535
2020-03-28,17.05963
2020-03-29,12.76005
2020-03-30,25.38141
2020-03-31,26.76837
2020-04-01,25.93619
2020-04-02,32.31622
2020-04-03,24.13314
2020-04-04,9.98613
2020-04-05,18.58529
2020-04-06,27.04576
2020-04-07,100.0
2020-04-08,36.19972
2020-04-09,27.87794
2020-04-10,21.08183
2020-04-11,11.51178
2020-04-12,15.95006
2020-04-13,25.7975
2020-04-14,23.57836
2020-04-15,11.78918
2020-04-16,19.83356
2020-04-17,21.35922
2020-04-18,6.65742
2020-04-19,9.57004
2020-04-20,22.88488
2020-04-21,23.85575
2020-04-22,25.93619
2020-04-23,16.92094
2020-04-24,12.62135
2020-04-25,8.73786
2020-04-26,8.59916
2020-04-27,15.53398
2020-04-28,17.89181
2020-04-29,12.62135
2020-04-30,6.38002
2020-05-01,13.31484
2020-05-02,4.16088
2020-05-03,7.76699
2020-05-04,10.67961
2020-05-05,6.38002
2020-05-06,13.86962
2020-05-07,11.0957
2020-05-08,10.54091
2020-05-09,5.27045
2020-05-10,4.99306
2020-05-11,12.62135
2020-05-12,12.20527
2020-05-13,12.34396
2020-05-14,13.17614
2020-05-15,10.40221
2020-05-16,4.71567
2020-05-17,4.71567
2020-05-18,14.97919
2020-05-19,10.40221
2020-05-20,12.89875
2020-05-21,10.67961
2020-05-22,9.01525
2020-05-23,4.99306
2020-05-24,6.65742
2020-05-25,13.59223
2020-05-26,14.7018
2020-05-27,12.06657
2020-05-28,18.3079
2020-05-29,13.73092
2020-05-30,4.71567
2020-05-31,5.13176
2020-06-01,11.65048
2020-06-02,10.12482
2020-06-03,10.957
2020-06-04,10.40221
2020-06-05,11.51178
2020-06-06,3.88349
2020-06-07,4.71567
2020-06-08,11.51178
2020-06-09,13.03744
2020-06-10,14.97919
2020-06-11,13.03744
2020-06-12,7.0735
2020-06-13,3.74479
2020-06-14,3.88349
2020-06-15,8.46047
2020-06-16,8.59916
2020-06-17,8.73786
2020-06-18,5.40915
2020-06-19,8.59916
2020-06-20,2.21914
2020-06-21,3.32871
2020-06-22,8.73786
2020-06-23,6.79611
2020-06-24,6.24133
2020-06-25,5.82524
2020-06-26,5.82524
2020-06-27,3.05131
2020-06-28,2.63522
2020-06-29,8.32177
2020-06-30,7.90568
2020-07-01,6.79611
2020-07-02,5.54785
2020-07-03,6.79611
2020-07-04,2.35783
2020-07-05,1.24826
2020-07-06,6.93481
2020-07-07,5.13176
2020-07-08,5.54785
2020-07-09,7.3509
2020-07-10,8.46047
2020-07-11,3.4674
2020-07-12,2.21914
2020-07-13,7.2122
2020-07-14,5.68654
2020-07-15,6.79611
2020-07-16,6.79611
2020-07-17,8.46047
2020-07-18,3.6061
2020-07-19,3.32871
2020-07-20,5.82524
2020-07-21,6.51872
2020-07-22,7.48959
2020-07-23,5.68654
2020-07-24,7.2122
2020-07-25,3.05131
2020-07-26,4.29958
2020-07-27,8.18307
2020-07-28,6.79611
2020-07-29,6.65742
2020-07-30,6.79611
2020-07-31,6.65742
2020-08-01,4.43828
2020-08-02,3.74479
2020-08-03,6.38002
2020-08-04,9.29264
2020-08-05,8.18307
2020-08-06,6.51872
2020-08-07,6.93481
2020-08-08,2.21914
2020-08-09,3.74479
2020-08-10,4.99306
2020-08-11,8.32177
2020-08-12,8.04438
2020-08-13,8.18307
2020-08-14,5.54785
2020-08-15,2.49653
2020-08-16,1.38696
2020-08-17,3.19001
2020-08-18,7.3509
2020-08-19,8.18307
2020-08-20,6.93481
2020-08-21,6.38002
2020-08-22,3.4674
2020-08-23,2.77392
2020-08-24,5.82524
2020-08-25,6.79611
2020-08-26,5.40915
2020-08-27,7.76699
2020-08-28,5.82524
2020-08-29,3.32871
2020-08-30,4.16088
2020-08-31,9.01525
2020-09-01,7.3509
2020-09-02,11.37309
2020-09-03,7.76699
2020-09-04,8.04438
2020-09-05,4.43828
2020-09-06,4.29958
2020-09-07,8.46047
2020-09-08,8.32177
2020-09-09,10.40221
2020-09-10,7.2122
2020-09-11,6.65742
2020-09-12,2.49653
2020-09-13,2.91262
2020-09-14,5.96393
2020-09-15,7.0735
2020-09-16,8.18307
2020-09-17,10.26352
2020-09-18,9.84743
2020-09-19,2.91262
2020-09-20,3.74479
2020-09-21,9.43134
2020-09-22,6.93481
2020-09-23,7.2122
2020-09-24,7.2122
2020-09-25,6.38002
2020-09-26,2.63522
2020-09-27,4.29958
2020-09-28,7.48959
2020-09-29,4.71567
2020-09-30,2.91262
2020-10-01,1.80305
2020-10-02,1.24826
2020-10-03,1.66435
2020-10-04,0.83217
2020-10-05,5.40915
2020-10-06,4.57697
2020-10-07,4.16088
2020-10-08,3.74479
2020-10-09,0.83217
2020-10-10,2.21914
2020-10-11,1.52565
2020-10-12,4.85436
2020-10-13,5.96393
2020-10-14,5.13176
2020-10-15,5.82524
2020-10-16,5.54785
2020-10-17,2.21914
2020-10-18,2.77392
2020-10-19,6.93481
2020-10-20,6.38002
2020-10-21,6.24133
2020-10-22,6.38002
2020-10-23,4.29958
2020-10-24,3.05131
2020-10-25,1.66435
2020-10-26,5.54785
2020-10-27,4.99306
2020-10-28,5.40915
2020-10-29,5.40915
2020-10-30,6.65742
2020-10-31,1.66435
2020-11-01,1.52565
2020-11-02,4.16088
2020-11-03,4.85436
2020-11-04,4.71567
2020-11-05,3.4674
